Station;Abbr.;Latitude;Longitude;Station Height;Stationstyp;Type de station;Tipo di stazione;Standorttyp;Type de site;Tipo di sito
Aadorf / Tänikon;TAE;47.479892;8.904928;539;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Acquarossa / Comprovasco;COM;46.459517;8.935486;575;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Adelboden;ABO;46.491703;7.560703;1321;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Aigle;AIG;46.326647;6.924472;381;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Altdorf;ALT;46.887069;8.621894;438;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Basel / Binningen;BAS;47.541142;7.583525;316;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Bern / Zollikofen;BER;46.990744;7.464061;553;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Buchs / Aarau;BUS;47.384381;8.07955;387;Messstation;station de mesure;Stazione di misurazione;Agglomeration;agglomération;Agglomerazione
Bullet / La Frétaz;FRE;46.840622;6.576369;1205;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Chur;CHU;46.870572;9.530761;556;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Cimetta;CIM;46.200467;8.79165;1661;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Davos;DAV;46.812969;9.843558;1594;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Disentis;DIS;46.706569;8.853478;1197;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Engelberg;ENG;46.821639;8.410514;1036;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Evolène / Villa;EVO;46.112211;7.508631;1825;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Fahy;FAH;47.423814;6.941194;596;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Genève / Cointrin;GVE;46.247519;6.127742;411;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Glarus;GLA;47.034586;9.066961;517;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Güttingen;GUT;47.601733;9.279428;440;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Hörnli;HOE;47.370864;8.941644;1133;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Interlaken;INT;46.672033;7.87045;578;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
La Chaux-de-Fonds;CDF;47.082947;6.792314;1017;Messstation;station de mesure;Stazione di misurazione;ländlich;rural;rurale
Locarno / Monti;OTL;46.172256;8.787494;367;Messstation;station de mesure;Stazione di misurazione;Agglomeration;agglomération;Agglomerazione
Lugano;LUG;46.004217;8.960322;273;Messstation;station de mesure;Stazione di misurazione;städtisch, Seeufer;urbain, bord du lac;urbana, riva lacustre
Luzern;LUZ;47.036439;8.301022;454;Messstation;station de mesure;Stazione di misurazione;Agglomeration;agglomération;Agglomerazione
