station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
AIG,2013,1,1,0,-0.5,88.3,5.2,-2.2,3.36,-1.1,7.9,0,969.1,140,0.8,3.4,0,0,0,0,0,0,0,288,100,27,97
AIG,2013,1,1,1,0.1,86.7,5.3,-1.8,3.42,-0.6,8.6,0,968.6,162,1,3,0,0,0,0,0,0,0,289,100,27,97
AIG,2013,1,1,2,-0.4,89.2,5.3,-2,3.42,-1,8.1,0,968.4,34,0.6,1.8,0,0,0,0,0,0,0,286,94,27,97
AIG,2013,1,1,3,-0.7,88.3,5.1,-2.4,3.29,-1.3,7.5,0,968.2,146,0.9,2.6,0,0,0,0,0,0,0,281,84,27,97
AIG,2013,1,1,4,-0.9,89.6,5.1,-2.4,3.29,-1.4,7.3,0,968.2,342,0.5,1.5,0,0,0,0,0,0,0,287,100,27,97
AIG,2013,1,1,5,-0.4,88.9,5.3,-2,3.42,-1,8.1,0,968.4,135,1,2.3,0,0,0,0,0,0,0,293,100,27,97
AIG,2013,1,1,6,0.2,87.7,5.4,-1.6,3.49,-0.5,8.9,0,968.5,150,0.8,2.8,0,0,0,0,0,0,0,295,100,27,97
AIG,2013,1,1,7,1.4,81.2,5.5,-1.5,3.55,0.3,10.3,0,968.1,169,2.7,4.4,7,0,7,4,4,4,4,300,100,27,97
AIG,2013,1,1,8,2.8,72.2,5.4,-1.7,3.49,1,11.5,0,968.4,360,1.8,3.3,65,50,56,33,67,73,32,304,100,27,97
AIG,2013,1,1,9,2.8,76.8,5.7,-0.9,3.68,1.3,12,0,969,207,1.3,2.9,136,152,96,57,139,198,55,306,100,27,97
AIG,2013,1,1,10,3.6,76.3,6,-0.2,3.88,2,13.3,0,969,162,1,2.3,178,228,104,65,145,288,64,310,94,27,97
AIG,2013,1,1,11,4.8,70.5,6,-0.1,3.88,2.7,14.5,0,968.9,45,0.4,1.3,45,0,45,26,25,26,25,316,100,27,97
AIG,2013,1,1,12,5.4,70.6,6.3,0.5,4.07,3.3,15.6,0,968.9,180,0.7,1.8,55,0,55,32,31,32,31,319,100,27,97
AIG,2013,1,1,13,5.7,69.1,6.3,0.5,4.07,3.5,15.9,0,968.9,322,1.1,4.1,26,0,26,15,15,15,15,319,100,27,97
AIG,2013,1,1,14,5.9,75.1,7,1.8,4.52,4.1,17.3,0.2,969.5,336,1.2,3.4,12,0,12,7,7,7,7,319,100,27,97
AIG,2013,1,1,15,4.9,86.5,7.5,2.8,4.85,4,17.1,0.1,969.7,225,0.6,2,1,0,1,1,1,1,1,319,100,27,97
AIG,2013,1,1,16,4.5,89.2,7.5,2.9,4.85,3.8,16.7,0.1,969.9,149,0.6,1.3,0,0,0,0,0,0,0,318,100,27,97
AIG,2013,1,1,17,4.3,89.9,7.5,2.8,4.85,3.6,16.5,0,970.1,135,1.3,2.1,0,0,0,0,0,0,0,318,100,27,97
AIG,2013,1,1,18,4.4,90,7.5,2.9,4.84,3.7,16.6,0,970.6,326,0.8,2.3,0,0,0,0,0,0,0,318,100,27,97
AIG,2013,1,1,19,4,91.9,7.5,2.8,4.84,3.5,16.2,0.1,970.7,159,0.9,2.3,0,0,0,0,0,0,0,318,100,27,97
AIG,2013,1,1,20,4,91.5,7.4,2.7,4.78,3.4,16,0,971,149,0.8,1.8,0,0,0,0,0,0,0,316,100,27,97
AIG,2013,1,1,21,3.8,93.3,7.5,2.8,4.84,3.4,15.9,0,971.4,315,1,2.8,0,0,0,0,0,0,0,318,100,27,97
AIG,2013,1,1,22,4.9,88.1,7.6,3.1,4.9,4.1,17.2,0.9,972.2,347,2.5,5.7,0,0,0,0,0,0,0,318,100,27,97
