station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
ALT,2013,1,1,0,0.3,79.2,5,-2.9,3.29,-0.9,8.5,0,958.7,338,4.1,10.6,0,0,0,0,0,0,0,269,53,27,96
ALT,2013,1,1,1,1.5,77.7,5.4,-1.9,3.51,0.2,10.3,0,959.1,338,6.4,9.3,0,0,0,0,0,0,0,274,71,27,96
ALT,2013,1,1,2,2.4,76.4,5.6,-1.4,3.65,0.9,11.5,0,959.4,333,5.1,8.5,0,0,0,0,0,0,0,287,94,27,96
ALT,2013,1,1,3,3.2,75,5.8,-0.8,3.77,1.6,12.7,0,959.8,340,2.9,6.6,0,0,0,0,0,0,0,288,100,27,96
ALT,2013,1,1,4,3.7,73.6,5.9,-0.6,3.82,1.9,13.3,0,959.9,328,3.2,5.8,0,0,0,0,0,0,0,291,100,27,96
ALT,2013,1,1,5,3.6,73.6,5.8,-0.7,3.81,1.9,13.2,0,959.9,333,4.6,9.8,0,0,0,0,0,0,0,288,100,27,96
ALT,2013,1,1,6,3.7,72.5,5.8,-0.8,3.79,1.9,13.3,0,959.8,332,5,10.7,0,0,0,0,0,0,0,293,100,27,96
ALT,2013,1,1,7,3.7,72.6,5.8,-0.8,3.79,1.9,13.3,0,960,356,2.3,7.5,1,0,1,1,1,1,1,295,100,27,96
ALT,2013,1,1,8,3.2,76.8,5.9,-0.5,3.85,1.7,12.8,0,960.1,162,0.6,3.1,9,0,9,5,5,5,5,302,100,27,96
ALT,2013,1,1,9,4.5,72.7,6.1,0,3.98,2.6,14.5,0,960.4,341,2.4,4.5,33,0,33,19,18,19,18,306,100,27,96
ALT,2013,1,1,10,4.9,71.4,6.2,0.2,4.04,2.9,15.1,0,960.1,330,3.3,9.1,77,4,76,43,42,46,41,310,100,27,96
