station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
BASSTA,2000,1,1,0,6.6,79.8,8,3.3,5.05,5.1,19.3,0,991.8,99,2.5,5.4,0,0,0,0,0,0,0,306,100,21,97
BASSTA,2000,1,1,1,5.2,80.5,7.3,2.1,4.61,3.9,16.8,0,992.6,103,2.1,5.2,0,0,0,0,0,0,0,307,100,21,97
BASSTA,2000,1,1,2,4.4,81,6.9,1.4,4.34,3.1,15.3,0,993.1,99,1.9,4,0,0,0,0,0,0,0,305,100,21,97
BASSTA,2000,1,1,3,3.6,81.2,6.5,0.7,4.08,2.4,13.8,0,993.6,90,2.1,4.6,0,0,0,0,0,0,0,304,100,21,97
BASSTA,2000,1,1,4,3.3,81.3,6.3,0.4,3.96,2.1,13.2,0,993.9,97,2.4,4.4,0,0,0,0,0,0,0,291,68,21,97
BASSTA,2000,1,1,5,3.4,81.4,6.3,0.5,3.99,2.2,13.4,0,994.1,107,2,3.8,0,0,0,0,0,0,0,295,75,21,97
BASSTA,2000,1,1,6,3.5,81.3,6.4,0.6,4.01,2.3,13.5,0,994.4,105,1.9,3.5,0,0,0,0,0,0,0,297,75,21,97
BASSTA,2000,1,1,7,3.6,81.8,6.4,0.8,4.06,2.4,13.7,0.1,994.7,102,1.9,3.9,15,27,13,7,29,26,7,296,68,21,97
BASSTA,2000,1,1,8,3.5,83.1,6.5,0.9,4.09,2.4,13.8,0,995,99,1.8,4,60,18,57,34,45,48,33,313,100,21,97
BASSTA,2000,1,1,9,3.9,81.9,6.6,1.1,4.15,2.7,14.3,0,995.4,99,1.8,3.7,53,0,53,31,31,31,31,316,100,21,97
BASSTA,2000,1,1,10,4.6,80.3,6.8,1.5,4.28,3.3,15.3,0,995.4,98,1.5,3,81,2,80,48,48,49,47,318,100,21,97
BASSTA,2000,1,1,11,4.8,80.3,6.9,1.7,4.34,3.5,15.7,0,994.9,99,1.8,3.4,28,0,28,17,16,16,16,320,100,21,97
BASSTA,2000,1,1,12,4.8,79.2,6.8,1.5,4.28,3.4,15.5,0,995.1,86,1.5,2.9,33,0,33,20,20,19,20,321,100,21,97
BASSTA,2000,1,1,13,4.8,79.2,6.8,1.5,4.28,3.4,15.5,0,995.1,94,1.5,4.1,15,0,15,9,9,9,9,320,100,21,97
BASSTA,2000,1,1,14,4.9,78.6,6.8,1.5,4.28,3.4,15.6,0,995.3,103,1.4,2.6,7,0,7,4,4,4,4,320,100,21,97
BASSTA,2000,1,1,15,5.1,77.5,6.8,1.5,4.28,3.5,15.9,0,995.4,107,1.4,2.8,1,0,1,1,1,1,1,320,100,21,97
BASSTA,2000,1,1,16,5,79.2,6.9,1.7,4.34,3.6,15.9,0,995.6,94,1.7,3.9,0,0,0,0,0,0,0,320,100,21,97
BASSTA,2000,1,1,17,4.9,79.7,6.9,1.7,4.34,3.5,15.8,0,995.6,102,2,3.8,0,0,0,0,0,0,0,315,88,21,97
BASSTA,2000,1,1,18,5,79.2,6.9,1.7,4.34,3.6,15.9,0,996.2,95,2.1,4,0,0,0,0,0,0,0,315,88,21,97
BASSTA,2000,1,1,19,5.4,78.1,7,1.9,4.4,3.9,16.5,0,996.4,103,1.3,2.8,0,0,0,0,0,0,0,306,68,21,97
BASSTA,2000,1,1,20,5.1,80.9,7.1,2.1,4.46,3.8,16.3,0.2,996.5,96,2,3.5,0,0,0,0,0,0,0,308,75,21,97
BASSTA,2000,1,1,21,5.1,82.1,7.2,2.3,4.53,3.9,16.5,0,996.8,93,1.8,4.3,0,0,0,0,0,0,0,318,100,21,97
BASSTA,2000,1,1,22,4.9,82.1,7.1,2.1,4.46,3.7,16.1,0,997.1,96,1.9,4.1,0,0,0,0,0,0,0,317,100,21,97
BASSTA,2000,1,1,23,5.1,82.1,7.2,2.3,4.52,3.9,16.5,0,997,101,1.7,4.2,0,0,0,0,0,0,0,316,100,21,97
BASSTA,2000,1,2,0,4.8,82.6,7.1,2.1,4.46,3.6,16,0,997,97,2.6,5.9,0,0,0,0,0,0,0,315,100,20,97
BASSTA,2000,1,2,1,4.9,82.1,7.1,2.1,4.46,3.7,16.1,0,997.4,98,2.2,4,0,0,0,0,0,0,0,314,100,20,97
BASSTA,2000,1,2,2,5,81.5,7.1,2.1,4.46,3.7,16.2,0,997.6,96,1.8,3.6,0,0,0,0,0,0,0,313,100,20,97
BASSTA,2000,1,2,3,5.1,80.9,7.1,2.1,4.46,3.8,16.3,0,997.7,97,1.7,3.5,0,0,0,0,0,0,0,312,100,20,97
BASSTA,2000,1,2,4,5.1,80.9,7.1,2.1,4.46,3.8,16.3,0,998,90,1.6,3.1,0,0,0,0,0,0,0,311,100,20,97
BASSTA,2000,1,2,5,5.1,80.9,7.1,2.1,4.45,3.8,16.3,0,998.4,103,1.7,3.9,0,0,0,0,0,0,0,310,100,20,97
BASSTA,2000,1,2,6,4.9,82.1,7.1,2.1,4.46,3.7,16.1,0,998.3,87,2.1,4.4,0,0,0,0,0,0,0,310,100,20,97
BASSTA,2000,1,2,7,4.8,83.8,7.2,2.3,4.52,3.7,16.1,0,998.6,95,2.5,5.5,16,40,14,8,39,35,8,311,100,20,97
BASSTA,2000,1,2,8,4.8,83.8,7.2,2.3,4.52,3.7,16.1,0,999,92,2.7,5.6,76,55,67,39,76,83,39,312,100,20,97
BASSTA,2000,1,2,9,4.5,84.4,7.1,2.1,4.45,3.4,15.7,0,999.4,85,2.6,5.2,132,63,116,68,100,127,68,283,38,20,97
BASSTA,2000,1,2,10,4.8,82.6,7.1,2.1,4.45,3.6,16,0,999.3,76,1.7,4.9,132,18,127,75,80,91,75,290,50,20,97
BASSTA,2000,1,2,11,5.4,80.4,7.2,2.3,4.52,4,16.7,0,999,86,1.6,3.8,99,1,99,59,58,59,58,305,80,20,97
BASSTA,2000,1,2,12,5.7,77.6,7.1,2.1,4.45,4.1,16.9,0,998.4,100,2.4,6,53,0,53,31,31,31,31,315,100,20,97
BASSTA,2000,1,2,13,5.7,77.6,7.1,2.1,4.46,4.1,16.9,0,998.3,122,3.1,6.4,28,0,28,17,16,16,17,310,100,20,97
BASSTA,2000,1,2,14,5.5,75.4,6.8,1.5,4.26,3.8,16.2,0,998.5,99,2.5,5.9,42,3,41,24,24,27,27,305,100,20,97
BASSTA,2000,1,2,15,4.9,76.4,6.6,1.1,4.14,3.3,15.3,0,998.6,82,2.8,6.6,14,82,10,6,6,59,70,300,100,20,97
BASSTA,2000,1,2,16,4.5,77.4,6.5,0.9,4.08,3,14.7,0,998.2,110,3.3,6.5,0,0,0,0,0,0,0,294,100,20,97
BASSTA,2000,1,2,17,4.7,76.3,6.5,0.9,4.07,3.1,14.9,0,998.7,92,2.9,6.7,0,0,0,0,0,0,0,287,100,20,97
BASSTA,2000,1,2,18,4.4,78,6.5,0.9,4.08,2.9,14.6,0,998.3,94,3.1,7,0,0,0,0,0,0,0,281,100,20,97
