station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
BAS,2000,1,1,0,5,89.1,8,3.3,5.08,4.2,17.8,0,985.9,99,2.5,5.4,0,0,0,0,0,0,0,306,100,21,97
BAS,2000,1,1,1,3.7,89.6,7.3,2.2,4.64,3,15.4,0,986.6,103,2.1,5.2,0,0,0,0,0,0,0,307,100,21,97
BAS,2000,1,1,2,2.9,89.9,6.9,1.4,4.36,2.3,13.9,0,987.2,99,1.9,4,0,0,0,0,0,0,0,305,100,21,97
BAS,2000,1,1,3,2.2,89.9,6.5,0.7,4.1,1.6,12.5,0,987.6,90,2.1,4.6,0,0,0,0,0,0,0,304,100,21,97
BAS,2000,1,1,4,1.9,90.1,6.3,0.4,3.99,1.3,11.9,0,987.9,97,2.4,4.4,0,0,0,0,0,0,0,291,68,21,97
BAS,2000,1,1,5,2,90.2,6.3,0.5,4.02,1.4,12,0,988.1,107,2,3.8,0,0,0,0,0,0,0,295,75,21,97
BAS,2000,1,1,6,2,90.3,6.4,0.6,4.03,1.4,12.1,0,988.4,105,1.9,3.5,0,0,0,0,0,0,0,297,75,21,97
BAS,2000,1,1,7,2.1,90.4,6.4,0.7,4.08,1.6,12.4,0.1,988.7,102,1.9,3.9,15,27,13,8,29,26,7,296,68,21,97
BAS,2000,1,1,8,2.2,90.7,6.5,0.8,4.12,1.6,12.5,0,989,99,1.8,4,60,18,57,34,45,48,34,313,100,21,97
BAS,2000,1,1,9,2.7,88.9,6.6,1.1,4.18,2,13.2,0,989.4,99,1.8,3.7,53,0,53,31,31,31,31,316,100,21,97
BAS,2000,1,1,10,3.4,87.9,6.8,1.6,4.3,2.6,14.2,0,989.4,98,1.5,3,81,2,80,48,48,49,48,318,100,21,97
BAS,2000,1,1,11,3.7,86.5,6.9,1.7,4.37,2.8,14.7,0,988.9,99,1.8,3.4,28,0,28,17,16,16,17,320,100,21,97
BAS,2000,1,1,12,3.7,86.2,6.8,1.6,4.31,2.8,14.5,0,989.1,86,1.5,2.9,33,0,33,20,20,19,20,321,100,21,97
BAS,2000,1,1,13,3.7,85,6.8,1.4,4.31,2.7,14.5,0,989.1,94,1.5,4.1,15,0,15,9,9,9,9,320,100,21,97
BAS,2000,1,1,14,3.7,85.3,6.8,1.5,4.3,2.8,14.5,0,989.3,103,1.4,2.6,7,0,7,4,4,4,4,320,100,21,97
BAS,2000,1,1,15,3.7,86,6.8,1.6,4.3,2.8,14.5,0,989.4,107,1.4,2.8,1,0,1,1,1,1,1,320,100,21,97
BAS,2000,1,1,16,3.6,87.8,6.9,1.8,4.37,2.8,14.6,0,989.6,94,1.7,3.9,0,0,0,0,0,0,0,320,100,21,97
BAS,2000,1,1,17,3.4,88.4,6.9,1.7,4.37,2.7,14.3,0,989.6,102,2,3.8,0,0,0,0,0,0,0,315,88,21,97
