station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
BUS,2001,1,1,0,-0.1,91.3,6.2,-1.3,4.02,-0.5,10,0,971.2,188,0.7,1.7,0,0,0,0,0,0,0,249,88,26,97
BUS,2001,1,1,1,-2.1,90.4,5.3,-3.5,3.39,-2.6,6.3,0,969.6,172,0.7,2,0,0,0,0,0,0,0,256,88,26,97
BUS,2001,1,1,2,-3.4,90.2,4.6,-4.8,3,-3.9,4.1,0,968.3,146,0.5,1.4,0,0,0,0,0,0,0,248,45,26,97
BUS,2001,1,1,3,-4.8,90.1,4,-6.1,2.59,-5.2,1.6,0,966.9,135,0.1,1.2,0,0,0,0,0,0,0,243,20,26,97
BUS,2001,1,1,4,-5.4,90.2,3.7,-6.8,2.39,-5.8,0.5,0,965.9,135,0.1,0.9,0,0,0,0,0,0,0,244,13,26,97
BUS,2001,1,1,5,-5.2,90.7,3.8,-6.4,2.46,-5.5,0.9,0,965.4,135,0.1,1,0,0,0,0,0,0,0,263,55,26,97
BUS,2001,1,1,6,-5,90.7,3.8,-6.3,2.49,-5.4,1.2,0,965,90,0.2,1.7,0,0,0,0,0,0,0,266,58,26,97
BUS,2001,1,1,7,-4.5,89.9,4,-5.9,2.58,-4.9,1.9,0,964.7,90,0.4,2.2,9,1,9,5,6,6,6,277,75,26,97
BUS,2001,1,1,8,-3.8,88,4.1,-5.5,2.66,-4.3,2.8,0,964.4,360,0.3,1.4,99,155,73,44,149,171,44,285,88,26,97
BUS,2001,1,1,9,-3,85.5,4.2,-5.1,2.72,-3.7,3.7,0,964.3,333,0.3,1.7,16,0,16,10,10,10,10,293,100,26,97
BUS,2001,1,1,10,-2.4,84,4.3,-4.7,2.79,-3.2,4.5,0,963.9,117,0.2,1,22,0,22,13,13,13,13,297,100,26,97
BUS,2001,1,1,11,-1.3,78.7,4.4,-4.5,2.85,-2.4,5.8,0,963.3,243,0.4,1.5,24,0,24,14,15,14,14,301,100,26,97
BUS,2001,1,1,12,-0.8,79.6,4.6,-3.9,2.99,-1.9,6.6,0,962.8,180,0.1,1,21,0,21,13,13,13,13,304,100,26,97
BUS,2001,1,1,13,-0.3,78.4,4.7,-3.6,3.05,-1.5,7.3,0,962.2,360,0.3,1.4,15,0,15,9,9,9,9,304,100,26,97
BUS,2001,1,1,14,0,76.6,4.7,-3.6,3.05,-1.3,7.6,0,962.1,0,0.1,0.8,7,0,7,4,5,4,4,304,100,26,97
BUS,2001,1,1,15,0.2,77.3,4.8,-3.3,3.12,-1.1,8,0,962.2,360,0.2,1.4,1,0,1,1,1,1,1,304,100,26,97
BUS,2001,1,1,16,0.2,77.5,4.8,-3.3,3.12,-1.1,8,0,962,225,0.2,1.5,0,0,0,0,0,0,0,304,100,26,97
BUS,2001,1,1,17,0,80.4,4.9,-3,3.19,-1.1,7.9,0,961.4,117,0.5,1.7,0,0,0,0,0,0,0,304,100,26,97
BUS,2001,1,1,18,-0.1,84.9,5.1,-2.3,3.32,-0.9,8.2,0,961.2,360,0.4,2.2,0,0,0,0,0,0,0,304,100,26,97
BUS,2001,1,1,19,0.3,81.2,5.1,-2.5,3.32,-0.7,8.6,0,960.9,202,0.7,2.9,0,0,0,0,0,0,0,305,100,26,97
BUS,2001,1,1,20,0.5,83.5,5.3,-2,3.45,-0.4,9.1,0,960.7,333,0.4,1.7,0,0,0,0,0,0,0,305,100,26,97
