station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
CGI,1994,1,1,0,3.1,86,6.7,0.9,4.35,2.2,14,1.5,964.4,225,3.5,8.4,0,0,0,0,0,0,0,331,100,20,97
CGI,1994,1,1,1,3.7,85.6,6.9,1.5,4.5,2.8,15,4.7,962.3,226,6.1,13.5,0,0,0,0,0,0,0,328,100,20,97
CGI,1994,1,1,2,3.9,85.1,6.9,1.6,4.51,2.9,15.2,1.5,961.4,244,4,12.6,0,0,0,0,0,0,0,325,100,20,97
CGI,1994,1,1,3,4,85.1,6.9,1.7,4.53,3,15.4,0.7,960.7,202,5.5,14.6,0,0,0,0,0,0,0,323,100,20,97
CGI,1994,1,1,4,3.7,84.5,6.7,1.3,4.37,2.6,14.6,1.3,961.2,206,4.8,12.9,0,0,0,0,0,0,0,319,100,20,97
CGI,1994,1,1,5,3.2,85.6,6.5,0.9,4.24,2.2,13.8,1.8,962.7,220,3.2,6.5,0,0,0,0,0,0,0,314,100,20,97
CGI,1994,1,1,6,2.6,89.2,6.6,1,4.26,1.9,13.3,0.4,963.9,214,2.4,5.7,0,0,0,0,0,0,0,310,100,20,97
CGI,1994,1,1,7,2.6,89.3,6.6,1,4.25,1.9,13.2,0.1,965,221,2.8,6.1,22,78,17,9,71,61,9,301,80,20,97
CGI,1994,1,1,8,3,85.7,6.5,0.8,4.21,2.1,13.6,0,966.1,202,2,7.9,100,179,72,40,169,181,40,295,68,20,97
CGI,1994,1,1,9,2.8,87.3,6.5,0.9,4.21,2,13.3,0,967.1,198,2.8,6.7,38,0,38,22,23,23,22,309,100,20,97
CGI,1994,1,1,10,1.9,92,6.5,0.7,4.21,1.4,12.4,0.7,967.2,237,3.2,6.3,101,2,100,57,60,61,57,308,100,20,97
CGI,1994,1,1,11,2.1,92.8,6.6,1.1,4.27,1.7,12.8,0.4,967.3,227,2.1,4.8,100,4,98,56,59,62,56,302,88,20,97
CGI,1994,1,1,12,2.6,91.4,6.7,1.3,4.34,2,13.5,0.6,967.4,223,2.1,5.9,184,152,135,74,76,231,135,296,75,20,97
CGI,1994,1,1,13,3.8,83.3,6.7,1.2,4.34,2.7,14.7,0.1,967.3,169,2.8,6.9,214,378,111,59,60,415,261,271,25,20,97
