station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
CHU,2011,1,1,0,-4.6,86.4,3.8,-6.5,2.48,-5.2,1.5,0,951.2,225,0.6,1.2,0,0,0,0,0,0,0,206,0,31,97
CHU,2011,1,1,1,-4.5,87.6,3.8,-6.3,2.51,-5.1,1.7,0,952.8,162,0.3,1.2,0,0,0,0,0,0,0,205,0,31,97
CHU,2011,1,1,2,-4.6,88.3,3.9,-6.3,2.52,-5.1,1.6,0,953.9,225,0.5,1.4,0,0,0,0,0,0,0,207,0,31,97
CHU,2011,1,1,3,-4.7,89,3.9,-6.2,2.52,-5.1,1.6,0,955.2,198,0.6,1.6,0,0,0,0,0,0,0,203,0,31,97
CHU,2011,1,1,4,-4.8,89.1,3.8,-6.4,2.49,-5.3,1.3,0,955.7,225,0.5,1.5,0,0,0,0,0,0,0,202,0,31,97
CHU,2011,1,1,5,-5.1,88.9,3.7,-6.6,2.44,-5.5,1,0,955.9,346,0.6,2.6,0,0,0,0,0,0,0,201,0,31,97
CHU,2011,1,1,6,-5.3,88.9,3.7,-6.8,2.4,-5.7,0.7,0,956.1,11,1.6,2.7,0,0,0,0,0,0,0,202,0,31,97
CHU,2011,1,1,7,-5.3,88.9,3.7,-6.9,2.39,-5.8,0.6,0,956.4,27,0.2,1.4,12,0,12,10,10,10,10,206,0,31,97
CHU,2011,1,1,8,-5.7,89.8,3.6,-7.1,2.35,-6.1,0.1,0,956.6,207,0.4,1.2,30,0,30,42,42,42,42,211,0,31,97
CHU,2011,1,1,9,-4.4,86,3.8,-6.4,2.48,-5,1.7,0,956.3,214,0.4,1.3,211,516,67,63,303,542,64,217,0,31,97
CHU,2011,1,1,10,-2.6,79.3,4,-5.7,2.61,-3.6,3.9,0,955.7,169,0.5,1.2,325,718,90,77,272,785,78,220,0,31,97
CHU,2011,1,1,11,-0.8,72.1,4.1,-5.2,2.68,-2.3,5.9,0,955,27,0.9,3,351,789,81,79,103,864,154,224,0,31,97
CHU,2011,1,1,12,0,69.1,4.2,-5,2.75,-1.7,6.9,0,954,27,2.8,4.3,319,761,79,73,74,807,324,227,6,31,97
CHU,2011,1,1,13,0.8,66.5,4.3,-4.7,2.82,-1.2,7.8,0,953.4,21,2.3,3.6,238,681,69,58,58,662,424,228,0,31,97
CHU,2011,1,1,14,0.9,65,4.2,-4.9,2.75,-1.2,7.8,0,953.6,21,2.6,4.8,108,388,47,34,34,337,303,227,0,31,97
CHU,2011,1,1,15,0.3,72.2,4.5,-4.1,2.95,-1.3,7.7,0,953.8,27,1.6,3.5,5,0,5,4,4,4,4,227,0,31,97
CHU,2011,1,1,16,-1.2,79.9,4.5,-4.2,2.95,-2.3,6.1,0,954,22,0.6,2.2,0,0,0,0,0,0,0,229,0,31,97
CHU,2011,1,1,17,-2.1,84.8,4.4,-4.3,2.88,-2.9,5.1,0,954.2,360,0.4,1.5,0,0,0,0,0,0,0,230,0,31,97
CHU,2011,1,1,18,-2.8,88.3,4.4,-4.5,2.88,-3.4,4.3,0,954.3,360,0.4,1.2,0,0,0,0,0,0,0,225,0,31,97
CHU,2011,1,1,19,-2.9,89.3,4.4,-4.4,2.88,-3.4,4.2,0,954.6,225,0.3,1.1,0,0,0,0,0,0,0,222,0,31,97
CHU,2011,1,1,20,-1.9,85,4.5,-4.1,2.95,-2.7,5.4,0,954.8,207,1.3,3.1,0,0,0,0,0,0,0,221,0,31,97
CHU,2011,1,1,21,-1.5,84,4.6,-3.8,3.01,-2.3,6,0,954.7,198,0.7,2.1,0,0,0,0,0,0,0,220,25,31,97
