station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
CIM,2023,1,1,0,3.6,85.8,6.7,1.2,5.03,2.5,16.2,0.5,838.3,81,1.9,3.5,0,0,0,0,0,0,0,280,13,27,97
CIM,2023,1,1,1,3.5,91,7.1,2,5.32,2.9,16.9,0.3,840.3,100,1.3,3,0,0,0,0,0,0,0,330,40,26,97
CIM,2023,1,1,2,3.5,94.7,7.4,2.6,5.53,3.1,17.4,0.3,841.5,153,0.5,1,0,0,0,0,0,0,0,329,0,26,97
CIM,2023,1,1,3,3.5,98.1,7.7,3.2,5.72,3.4,17.9,0.1,842.7,53,2,2.8,0,0,0,0,0,0,0,318,0,26,97
CIM,2023,1,1,4,3.5,99.7,7.8,3.5,5.83,3.5,18.2,0,843.2,70,2.4,3.5,0,0,0,0,0,0,0,326,0,26,97
CIM,2023,1,1,5,3.5,99.8,7.8,3.5,5.84,3.5,18.2,0,843.2,82,2.2,3.5,0,0,0,0,0,0,0,320,6,26,97
CIM,2023,1,1,6,3.6,99.8,7.9,3.5,5.85,3.6,18.3,0,843.2,71,1.8,2.9,0,0,0,0,0,0,0,322,64,26,97
CIM,2023,1,1,7,3.5,99.9,7.8,3.5,5.83,3.5,18.2,0,843.3,82,2.1,3.1,0,0,0,0,0,0,0,333,88,26,97
CIM,2023,1,1,8,3.5,100,7.8,3.5,5.81,3.5,18.1,0.2,843.5,72,1.9,2.9,11,49,9,5,46,36,5,335,100,26,97
CIM,2023,1,1,9,3.5,99.6,7.8,3.4,5.8,3.5,18.1,0.5,843.8,119,1.9,3.9,157,540,53,37,388,472,37,329,48,26,97
CIM,2023,1,1,10,3.5,99.8,7.8,3.5,5.8,3.5,18,0.1,843.9,132,1.6,2.8,278,766,66,53,425,744,54,338,25,26,97
CIM,2023,1,1,11,3.5,98.2,7.7,3.2,5.73,3.4,17.9,0.1,843.5,126,1.7,2.8,343,794,76,63,278,834,66,340,29,26,97
CIM,2023,1,1,12,3.7,99.9,8,3.7,5.96,3.7,18.6,0,843,74,1.9,3.4,368,841,71,65,101,892,125,341,16,26,97
CIM,2023,1,1,13,3.8,99.8,8,3.8,5.96,3.8,18.8,0,842.6,69,2,3.1,341,849,63,60,57,868,324,342,13,26,97
CIM,2023,1,1,14,3.7,99.5,7.9,3.6,5.89,3.7,18.5,0,842.4,72,1.6,3.1,264,796,56,48,46,748,462,341,0,26,97
CIM,2023,1,1,15,3.6,98.9,7.8,3.4,5.81,3.5,18.2,0,842.6,57,1.7,2.5,125,470,43,32,31,399,350,340,29,26,97
CIM,2023,1,1,16,3.7,98.8,7.9,3.5,5.89,3.6,18.5,0,842.7,67,2.8,3.9,7,0,7,6,6,6,6,339,0,26,97
CIM,2023,1,1,17,3.7,99.9,8,3.7,5.96,3.7,18.7,0,842.7,65,2.3,3.3,0,0,0,0,0,0,0,339,0,26,97
CIM,2023,1,1,18,3.8,100,8,3.8,5.96,3.8,18.8,0.2,842.8,74,2.2,3.4,0,0,0,0,0,0,0,338,0,26,97
CIM,2023,1,1,19,3.9,99.5,8,3.8,5.96,3.9,18.9,0,842.9,74,2.6,3.8,0,0,0,0,0,0,0,337,0,26,97
CIM,2023,1,1,20,3.8,99.9,8,3.8,5.96,3.8,18.7,0.1,842.9,74,2.3,3.1,0,0,0,0,0,0,0,333,0,26,97
CIM,2023,1,1,21,3.8,99.4,8,3.7,5.96,3.8,18.7,0.8,843,78,2.5,3.9,0,0,0,0,0,0,0,329,0,26,97
CIM,2023,1,1,22,3.7,100,8,3.7,5.96,3.7,18.6,0.1,843.2,102,2.1,3.9,0,0,0,0,0,0,0,329,0,26,97
CIM,2023,1,1,23,3.8,99.8,8,3.8,5.96,3.8,18.7,0.1,843.1,117,2,3.4,0,0,0,0,0,0,0,333,23,26,97
CIM,2023,1,2,0,3.6,99.4,7.9,3.5,5.89,3.6,18.4,0.1,842.7,142,3.1,5.3,0,0,0,0,0,0,0,322,58,26,97
CIM,2023,1,2,1,3.6,99.6,7.9,3.5,5.89,3.6,18.4,0,842.4,149,2.8,4.4,0,0,0,0,0,0,0,336,74,90,97
CIM,2023,1,2,2,3.5,99.7,7.8,3.5,5.81,3.5,18.1,0,842.3,170,2.5,4,0,0,0,0,0,0,0,336,100,90,97
CIM,2023,1,2,3,3.6,98.8,7.8,3.4,5.82,3.5,18.2,0.5,842,160,2.5,5.3,0,0,0,0,0,0,0,327,56,90,97
CIM,2023,1,2,4,3.4,99.9,7.8,3.4,5.82,3.4,18,0,841.8,192,2.9,4.6,0,0,0,0,0,0,0,335,16,90,97
CIM,2023,1,2,5,3,99.3,7.6,2.9,5.67,3,17.2,0,841.7,192,1.5,3.3,0,0,0,0,0,0,0,334,35,90,97
CIM,2023,1,2,6,3,98.9,7.5,2.8,5.59,2.9,17,0,841.8,173,1.8,3.2,0,0,0,0,0,0,0,330,54,90,97
CIM,2023,1,2,7,2.9,99.3,7.5,2.8,5.59,2.9,16.9,0,842,129,1.5,4.3,0,0,0,0,0,0,0,334,45,90,97
CIM,2023,1,2,8,2.8,100,7.5,2.8,5.59,2.8,16.8,0.1,842.2,126,2.2,4.2,17,22,15,15,32,30,15,326,69,90,97
CIM,2023,1,2,9,2.9,99.6,7.5,2.8,5.59,2.9,16.9,0,842.6,115,1.6,3.2,51,1,51,48,49,49,48,336,100,90,97
CIM,2023,1,2,10,2.9,98.5,7.4,2.7,5.51,2.8,16.7,0,842.7,58,1.3,2.3,93,2,93,87,89,90,87,337,100,90,97
CIM,2023,1,2,11,2.8,99.2,7.4,2.7,5.51,2.8,16.6,0,842.2,66,1.1,2.2,149,22,142,136,143,159,136,338,100,90,97
CIM,2023,1,2,12,2.7,99.8,7.4,2.7,5.52,2.7,16.5,0.3,841.7,59,0.7,1.6,179,35,166,161,165,198,163,339,100,90,97
CIM,2023,1,2,13,2.7,100,7.4,2.7,5.52,2.7,16.5,0.2,841.4,101,0.7,1.8,208,114,170,173,171,290,219,340,100,90,97
CIM,2023,1,2,14,2.8,100,7.5,2.8,5.6,2.8,16.8,0.2,841.2,101,0.6,1.3,148,78,127,127,126,201,171,339,100,90,97
CIM,2023,1,2,15,2.8,97.8,7.3,2.5,5.45,2.7,16.4,0.1,841.1,117,0.6,1.6,69,29,63,62,62,86,82,339,100,90,97
CIM,2023,1,2,16,2.8,98.4,7.3,2.6,5.45,2.7,16.4,0.2,841.2,97,0.8,1.5,7,0,7,7,7,7,7,338,100,90,97
CIM,2023,1,2,17,2.6,99.8,7.3,2.6,5.45,2.6,16.2,0.1,841.2,62,2,4,0,0,0,0,0,0,0,338,100,90,97
CIM,2023,1,2,18,2.5,99.3,7.3,2.4,5.45,2.5,16.1,0,841.2,53,2.2,4.7,0,0,0,0,0,0,0,337,100,90,97
CIM,2023,1,2,19,2.4,99.9,7.3,2.4,5.45,2.4,16,0,841.2,50,3,4.6,0,0,0,0,0,0,0,337,100,90,97
CIM,2023,1,2,20,2.6,100,7.4,2.6,5.52,2.6,16.4,0,841.4,58,2.3,3.1,0,0,0,0,0,0,0,336,100,90,97
CIM,2023,1,2,21,2.5,100,7.3,2.5,5.45,2.5,16.1,0,841.2,59,2.5,3.8,0,0,0,0,0,0,0,336,100,90,97
CIM,2023,1,2,22,2.4,99.6,7.3,2.3,5.44,2.4,16,0,841.3,60,1.7,3.1,0,0,0,0,0,0,0,336,100,90,97
CIM,2023,1,2,23,2.3,99.2,7.2,2.2,5.37,2.3,15.7,0.1,841.3,53,1.6,2.7,0,0,0,0,0,0,0,335,84,90,97
CIM,2023,1,3,0,2.6,99.7,7.4,2.6,5.52,2.6,16.4,0.3,841.2,49,1.1,1.6,0,0,0,0,0,0,0,332,61,90,97
CIM,2023,1,3,1,2.7,100,7.4,2.7,5.52,2.7,16.5,0.3,841,68,1.1,1.9,0,0,0,0,0,0,0,335,100,91,97
