station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
COM,1994,1,1,0,3.1,87.2,6.8,1.1,4.48,2.2,14.3,0.8,951.4,135,0.3,2.1,0,0,0,0,0,0,0,303,100,30,96
COM,1994,1,1,1,1.9,87.9,6.3,0.1,4.15,1.1,12.3,0.6,947.8,153,0.2,0.9,0,0,0,0,0,0,0,302,100,30,96
COM,1994,1,1,2,1.1,88.1,5.9,-0.6,3.93,0.4,11,0.8,945.3,225,0.1,1.3,0,0,0,0,0,0,0,301,100,30,96
COM,1994,1,1,3,0.5,87.5,5.6,-1.3,3.7,-0.2,9.8,0.3,942.8,315,0.5,2,0,0,0,0,0,0,0,300,100,30,96
COM,1994,1,1,4,0.2,87.1,5.4,-1.7,3.58,-0.5,9.2,0,941.1,225,1.3,3.5,0,0,0,0,0,0,0,298,100,30,96
COM,1994,1,1,5,0.9,82.5,5.3,-1.9,3.51,-0.2,9.7,0,941.1,45,1,2.9,0,0,0,0,0,0,0,295,100,30,96
COM,1994,1,1,6,1.3,80.2,5.2,-2,3.48,0,10,0,941.1,281,0.9,3.6,0,0,0,0,0,0,0,292,100,30,96
COM,1994,1,1,7,3,68.6,4.9,-2.8,3.27,0.8,11.2,0,941.9,351,2.6,12.9,16,0,16,10,9,10,10,283,88,30,96
COM,1994,1,1,8,6.1,46,4.3,-4.6,2.85,2,13.3,0,942.9,342,7.5,13.3,97,96,77,48,108,131,46,279,88,30,96
COM,1994,1,1,9,6.8,40.3,4,-5.7,2.65,2.1,13.5,0,943.1,346,7.6,14.7,171,156,128,76,155,225,73,267,68,30,96
COM,1994,1,1,10,7.5,34.9,3.6,-7,2.38,2.1,13.5,0,944.7,343,7.8,15.7,213,167,156,92,138,267,89,263,68,30,96
COM,1994,1,1,11,7.4,35.3,3.6,-6.9,2.38,2.1,13.4,0,944.9,345,7,15.4,263,285,163,98,114,401,131,250,33,30,96
COM,1994,1,1,12,7.4,33.8,3.5,-7.5,2.31,1.9,13.2,0,945.6,344,8,15.1,260,370,142,87,85,463,231,252,55,30,96
COM,1994,1,1,13,6.8,32,3.1,-8.7,2.04,1.3,12,0,946.3,340,7.5,15.9,66,0,66,65,65,65,65,246,40,30,96
COM,1994,1,1,14,6.3,29.2,2.8,-10.3,1.84,0.7,11,0,947.5,329,8.6,17.3,39,0,39,37,36,37,36,233,0,30,96
COM,1994,1,1,15,5.6,31.2,2.8,-10.1,1.84,0.3,10.2,0,948,334,8.9,16.9,8,0,8,5,5,5,5,233,13,30,96
COM,1994,1,1,16,5.5,31.6,2.9,-10,1.91,0.3,10.3,0,948.7,332,8.2,14.8,0,0,0,0,0,0,0,228,0,30,96
COM,1994,1,1,17,5.5,33.6,3,-9.2,1.97,0.5,10.5,0,949.6,334,7.5,13.9,0,0,0,0,0,0,0,228,13,30,96
COM,1994,1,1,18,5.4,33.4,3,-9.4,1.97,0.4,10.4,0,950,330,7.6,14.7,0,0,0,0,0,0,0,228,25,30,96
COM,1994,1,1,19,4.9,35.4,3.1,-9.1,2.03,0.1,10,0,950.7,338,6.6,13.9,0,0,0,0,0,0,0,227,25,30,96
COM,1994,1,1,20,4.8,34.3,2.9,-9.6,1.9,0,9.6,0,950.2,330,6.1,12.3,0,0,0,0,0,0,0,226,25,30,96
COM,1994,1,1,21,4.7,35,3,-9.4,1.97,0,9.6,0,950.4,340,6.4,13.4,0,0,0,0,0,0,0,225,25,30,96
COM,1994,1,1,22,4.1,34.4,2.8,-10.2,1.84,-0.6,8.7,0,951,343,5.9,11.2,0,0,0,0,0,0,0,224,25,30,96
COM,1994,1,1,23,3.4,35.6,2.8,-10.4,1.84,-1,8,0,950.9,353,4.2,11.7,0,0,0,0,0,0,0,223,25,30,96
