station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
DAV,2011,1,1,0,-5.7,80.5,3.4,-8.5,2.53,-6.5,0.5,0,844,27,0.2,0.5,0,0,0,0,0,0,0,192,0,52,96
DAV,2011,1,1,1,-6.8,76.8,3,-10.2,2.2,-7.7,-1.3,0,842.2,360,0.3,0.7,0,0,0,0,0,0,0,191,0,52,96
DAV,2011,1,1,2,-7.4,73.7,2.7,-11.4,1.99,-8.5,-2.6,0,840.9,18,0.3,0.8,0,0,0,0,0,0,0,190,0,52,96
DAV,2011,1,1,3,-8.1,70.6,2.4,-12.5,1.77,-9.2,-3.8,0,839.6,360,0.4,0.9,0,0,0,0,0,0,0,189,0,52,96
DAV,2011,1,1,4,-8.4,68.1,2.2,-13.2,1.65,-9.7,-4.4,0,838.8,9,0.6,0.9,0,0,0,0,0,0,0,188,0,52,96
DAV,2011,1,1,5,-8.4,66.9,2.2,-13.4,1.63,-9.7,-4.4,0,838.8,27,0.4,0.9,0,0,0,0,0,0,0,187,0,52,96
DAV,2011,1,1,6,-8.4,66.2,2.2,-13.5,1.62,-9.7,-4.4,0,838.8,11,0.5,0.9,0,0,0,0,0,0,0,188,0,52,96
DAV,2011,1,1,7,-8,66,2.2,-13.3,1.66,-9.4,-4,0,838.8,11,0.5,0.9,15,0,15,19,18,18,19,192,13,52,96
DAV,2011,1,1,8,-7.9,64.1,2.2,-13.5,1.64,-9.3,-3.9,0,839,14,0.4,0.8,115,301,53,67,255,319,68,196,0,52,96
DAV,2011,1,1,9,-6.1,66.3,2.6,-11.4,1.93,-7.6,-1.4,0,838.7,18,0.6,1,275,678,90,105,433,730,107,200,0,52,96
DAV,2011,1,1,10,-4.2,59.1,2.6,-11,1.93,-6.2,0.6,0,838.4,22,0.5,0.9,343,728,104,128,324,847,131,204,0,52,96
DAV,2011,1,1,11,-3.6,55.6,2.6,-11.2,1.94,-5.9,1.2,0,838,360,0.1,0.5,358,722,111,134,154,862,218,208,0,52,96
DAV,2011,1,1,12,-1.6,45.5,2.5,-11.8,1.86,-4.7,3,0,837.5,189,0.6,1.7,323,695,104,123,119,800,368,211,6,52,96
DAV,2011,1,1,13,-1.4,42.2,2.4,-12.6,1.79,-4.8,3,0,837.1,173,0.9,2.7,240,631,85,94,92,656,445,212,0,52,96
DAV,2011,1,1,14,-1.7,41.7,2.3,-13,1.71,-5,2.5,0,837.3,122,1,3.3,122,474,53,52,51,414,389,213,0,52,96
DAV,2011,1,1,15,-2.8,42.8,2.1,-13.7,1.56,-5.9,1.1,0,837.4,149,0.7,3.5,5,0,5,5,5,5,5,212,0,52,96
DAV,2011,1,1,16,-4.3,54.4,2.4,-12.1,1.79,-6.5,0.1,0,837.2,180,0.2,1.1,0,0,0,0,0,0,0,209,0,52,96
DAV,2011,1,1,17,-5.7,61.3,2.5,-12,1.86,-7.5,-1.1,0,837,360,0.3,0.9,0,0,0,0,0,0,0,207,0,52,96
DAV,2011,1,1,18,-6.4,65.5,2.5,-11.8,1.86,-7.9,-1.8,0,836.9,18,0.3,0.9,0,0,0,0,0,0,0,206,0,52,96
DAV,2011,1,1,19,-7.1,68.4,2.5,-11.9,1.86,-8.4,-2.5,0,836.9,18,0.3,0.8,0,0,0,0,0,0,0,205,0,52,96
DAV,2011,1,1,20,-7.9,71,2.4,-12.2,1.79,-9,-3.5,0,837,18,0.3,0.8,0,0,0,0,0,0,0,204,0,52,96
DAV,2011,1,1,21,-8.3,71.8,2.3,-12.5,1.71,-9.4,-4.1,0,836.9,360,0.2,0.9,0,0,0,0,0,0,0,203,0,52,96
DAV,2011,1,1,22,-9.1,76.6,2.4,-12.5,1.79,-10,-4.7,0,836.5,18,0.3,1,0,0,0,0,0,0,0,202,0,52,96
DAV,2011,1,1,23,-9.5,81.8,2.4,-12,1.79,-10.1,-5.1,0,835.9,360,0.2,0.9,0,0,0,0,0,0,0,201,0,52,96
DAV,2011,1,2,0,-9.9,82.7,2.4,-12.3,1.79,-10.5,-5.5,0,835.3,18,0.4,0.9,0,0,0,0,0,0,0,201,25,48,96
DAV,2011,1,2,1,-9.3,80,2.4,-12.1,1.79,-10,-4.9,0,835.3,360,0.5,1.2,0,0,0,0,0,0,0,201,25,48,96
DAV,2011,1,2,2,-9.9,81.8,2.4,-12.4,1.79,-10.5,-5.5,0,834.9,34,0.3,1.3,0,0,0,0,0,0,0,199,25,48,96
DAV,2011,1,2,3,-10.2,85,2.4,-12.2,1.79,-10.7,-5.8,0,834.9,360,0.5,1.3,0,0,0,0,0,0,0,202,25,48,96
DAV,2011,1,2,4,-9.9,83.1,2.4,-12.2,1.79,-10.5,-5.5,0,835,27,0.2,1.1,0,0,0,0,0,0,0,203,25,48,96
DAV,2011,1,2,5,-10.1,84,2.4,-12.3,1.79,-10.7,-5.7,0,835.1,297,0.4,1.4,0,0,0,0,0,0,0,202,63,48,96
