station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
DIS,2012,1,1,0,-1,88.8,5.2,-2.7,3.64,-1.6,8.1,0.5,887.2,270,0.2,1.3,0,0,0,0,0,0,0,259,88,51,97
DIS,2012,1,1,1,-0.3,91.9,5.6,-1.6,3.94,-0.8,9.5,0.5,885.8,333,0.2,1.1,0,0,0,0,0,0,0,258,100,51,97
DIS,2012,1,1,2,0.1,93.9,5.9,-0.8,4.15,-0.2,10.5,0.5,885,315,0.3,0.9,0,0,0,0,0,0,0,260,88,51,97
DIS,2012,1,1,3,0.6,95.7,6.1,0,4.35,0.4,11.5,0.1,884.2,326,0.4,1.5,0,0,0,0,0,0,0,265,78,51,97
DIS,2012,1,1,4,1,96.1,6.3,0.4,4.46,0.7,12.1,0,883.9,307,0.5,1.5,0,0,0,0,0,0,0,257,88,51,97
DIS,2012,1,1,5,1.1,95.7,6.3,0.6,4.49,0.9,12.4,0,884.2,304,0.8,1.8,0,0,0,0,0,0,0,262,64,51,97
DIS,2012,1,1,6,1.4,95,6.4,0.7,4.53,1.1,12.7,0,884.4,304,0.7,1.8,0,0,0,0,0,0,0,260,53,51,97
DIS,2012,1,1,7,1.6,95,6.5,0.9,4.58,1.3,13,0,884.9,304,0.7,1.9,14,0,14,12,12,12,12,269,78,51,97
DIS,2012,1,1,8,1.5,96.2,6.5,1,4.6,1.3,13,0,885.6,297,0.4,1.8,50,0,50,63,61,61,62,271,61,51,97
DIS,2012,1,1,9,2.2,94,6.7,1.3,4.74,1.8,14.1,0,885.6,288,0.4,1.5,145,141,104,102,170,239,102,287,94,51,97
DIS,2012,1,1,10,3.1,90.9,6.9,1.8,4.89,2.5,15.3,0,885.4,315,0.3,1.9,239,247,159,125,209,382,125,291,100,51,97
DIS,2012,1,1,11,3.5,90.8,7.1,2.1,5.03,2.9,16.1,0,885,90,0.2,1.1,253,263,162,130,141,407,171,292,94,51,97
DIS,2012,1,1,12,4.2,88.8,7.3,2.5,5.18,3.4,17.2,0,884.2,207,0.3,1,249,310,148,123,121,440,231,293,88,51,97
DIS,2012,1,1,13,3.9,91.9,7.4,2.7,5.25,3.3,17.1,0,884.2,360,0.2,0.9,201,351,113,96,94,417,295,290,94,51,97
DIS,2012,1,1,14,3.6,93.7,7.4,2.7,5.25,3.2,16.8,0,884,333,0.3,0.9,105,276,59,54,53,273,245,282,75,51,97
DIS,2012,1,1,15,3.1,95.5,7.3,2.5,5.18,2.8,16.1,0,883.9,307,0.6,2.1,9,0,9,8,8,8,8,285,100,51,97
DIS,2012,1,1,16,2.7,95.7,7.1,2.1,5.04,2.4,15.3,0,884.1,307,0.5,1.5,0,0,0,0,0,0,0,282,100,51,97
DIS,2012,1,1,17,2.6,96.1,7.1,2,5.04,2.3,15.2,0,884,333,0.5,1.7,0,0,0,0,0,0,0,278,100,51,97
DIS,2012,1,1,18,2.4,95.3,6.9,1.7,4.89,2.1,14.7,0,884,323,0.6,1.8,0,0,0,0,0,0,0,274,100,51,97
