station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
ENG,2004,1,1,0,1.5,79.1,5.3,-2.1,3.69,-0.1,10.7,0,900.8,207,0.4,1.3,0,0,0,0,0,0,0,232,50,68,96
ENG,2004,1,1,1,-0.5,84.2,4.9,-3.1,3.42,-1.6,8,0,899.8,135,0.3,1.2,0,0,0,0,0,0,0,232,55,68,96
ENG,2004,1,1,2,-1.9,87.1,4.6,-3.9,3.22,-2.7,6.1,0,898.9,248,0.5,2.3,0,0,0,0,0,0,0,230,55,68,96
ENG,2004,1,1,3,-3.2,90.1,4.4,-4.6,3.03,-3.7,4.3,0,898,90,0.4,1.8,0,0,0,0,0,0,0,227,50,68,96
ENG,2004,1,1,4,-3.9,91.5,4.2,-5.1,2.92,-4.3,3.3,0,897.3,252,0.3,1.4,0,0,0,0,0,0,0,224,45,68,96
ENG,2004,1,1,5,-4.1,90.7,4.1,-5.4,2.87,-4.5,3,0,896.9,225,0.4,1.6,0,0,0,0,0,0,0,223,45,68,96
ENG,2004,1,1,6,-4.2,90.3,4.1,-5.5,2.84,-4.6,2.9,0,896.2,104,0.5,1.4,0,0,0,0,0,0,0,227,68,68,96
ENG,2004,1,1,7,-4.2,86.7,3.9,-6.1,2.71,-4.8,2.5,0,895.9,225,0.1,1.3,14,0,14,20,20,20,19,230,75,68,96
ENG,2004,1,1,8,-4.3,81.6,3.6,-7,2.51,-5.2,1.9,0,895.4,90,0.4,1.8,69,0,69,82,81,81,81,237,100,68,96
ENG,2004,1,1,9,-4.2,79.2,3.6,-7.3,2.51,-5.2,2,0,894.4,117,0.7,1.8,157,115,128,130,197,237,129,239,100,68,96
ENG,2004,1,1,10,-4,79.1,3.6,-7.1,2.52,-5,2.2,0,893.2,135,0.4,1.8,145,0,145,161,160,160,159,240,100,68,96
ENG,2004,1,1,11,-4,79.1,3.6,-7.1,2.52,-5,2.2,0,892.4,101,0.5,2,208,113,169,169,168,290,194,242,100,68,96
ENG,2004,1,1,12,-3.7,80,3.7,-6.6,2.59,-4.6,2.7,0,891.6,135,0.4,1.2,240,226,169,155,154,388,243,243,100,68,96
ENG,2004,1,1,13,-3.5,79.1,3.8,-6.6,2.66,-4.5,3.1,0,891.3,225,0.6,2.7,149,114,118,119,118,228,180,246,100,68,96
ENG,2004,1,1,14,-3.6,82.8,3.9,-6.1,2.73,-4.4,3.2,0,891.1,217,0.8,2.9,52,0,52,70,69,69,68,248,100,68,96
ENG,2004,1,1,15,-3.6,84.6,4,-5.8,2.81,-4.3,3.3,0,890.9,248,0.5,1.6,18,0,18,19,19,19,19,251,100,68,96
ENG,2004,1,1,16,-3.9,90.2,4.1,-5.3,2.88,-4.4,3.2,0,890.9,194,0.5,1.5,0,0,0,0,0,0,0,253,100,68,96
ENG,2004,1,1,17,-4,87.2,4,-5.8,2.81,-4.6,2.9,0,890.6,90,0.5,1.5,0,0,0,0,0,0,0,255,100,68,96
ENG,2004,1,1,18,-4,87.1,4,-5.8,2.81,-4.6,2.9,0,890.1,90,0.3,1.5,0,0,0,0,0,0,0,256,100,68,96
ENG,2004,1,1,19,-4.2,90,4,-5.6,2.81,-4.7,2.8,0.1,889.4,97,0.8,1.7,0,0,0,0,0,0,0,256,100,68,96
ENG,2004,1,1,20,-4.2,92,4.2,-5.3,2.95,-4.6,3.1,0.1,889.1,0,0.1,0.7,0,0,0,0,0,0,0,255,100,68,96
ENG,2004,1,1,21,-4.2,94,4.2,-5,2.95,-4.5,3.1,0.5,889.2,135,0.3,0.9,0,0,0,0,0,0,0,255,100,68,96
ENG,2004,1,1,22,-4.2,94.6,4.2,-4.9,2.95,-4.4,3.1,0.7,888.9,90,0.4,1.3,0,0,0,0,0,0,0,254,100,68,96
ENG,2004,1,1,23,-4.1,93.6,4.2,-5,2.95,-4.4,3.2,0.1,888.6,108,0.3,1.1,0,0,0,0,0,0,0,254,100,68,96
