station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
FAH,2005,1,1,0,5.3,87.5,7.7,3.3,5.06,4.4,18.1,0.1,958,220,2.5,5.7,0,0,0,0,0,0,0,277,0,58,97
FAH,2005,1,1,1,4.5,91.3,7.6,3.1,5,3.8,17,0.1,958,236,1.8,4.2,0,0,0,0,0,0,0,279,8,58,97
FAH,2005,1,1,2,4,93.2,7.5,2.9,4.94,3.5,16.4,0,957.9,218,2.4,5,0,0,0,0,0,0,0,272,25,58,97
FAH,2005,1,1,3,3.5,95.1,7.5,2.8,4.89,3.2,15.8,0,957.9,232,1.7,4.1,0,0,0,0,0,0,0,275,33,58,97
FAH,2005,1,1,4,3.3,96.2,7.4,2.8,4.87,3.1,15.5,0,957.8,210,2,3.5,0,0,0,0,0,0,0,270,25,58,97
FAH,2005,1,1,5,3.3,95.6,7.4,2.7,4.85,3,15.5,0,957.8,211,2.5,3.9,0,0,0,0,0,0,0,273,33,58,97
FAH,2005,1,1,6,3.3,95.2,7.4,2.6,4.83,3,15.4,0,957.8,234,1.8,3.5,0,0,0,0,0,0,0,271,0,58,97
FAH,2005,1,1,7,3.4,94,7.3,2.5,4.81,3,15.4,0,957.9,221,1.9,4.2,14,49,11,9,48,42,9,273,10,58,97
FAH,2005,1,1,8,3.3,92.5,7.2,2.2,4.71,2.8,15.1,0,957.9,203,3,5.1,112,300,66,58,268,297,58,276,36,58,97
FAH,2005,1,1,9,3.9,89.2,7.2,2.3,4.71,3.2,15.7,0,957.7,208,2.6,4.6,201,351,113,100,293,429,100,279,36,58,97
FAH,2005,1,1,10,4.8,84.7,7.3,2.4,4.78,3.7,16.8,0,957.4,206,3.3,5.3,254,343,148,129,253,483,129,287,33,58,97
FAH,2005,1,1,11,5.1,87.5,7.7,3.2,5.04,4.2,17.8,0,957.3,270,1.2,2.9,265,302,165,141,171,464,168,311,40,58,97
FAH,2005,1,1,12,5.6,86.4,7.8,3.5,5.11,4.6,18.5,0,956.7,248,2.2,5.4,245,287,155,132,132,430,233,319,40,58,97
FAH,2005,1,1,13,6,82.3,7.7,3.2,5.05,4.7,18.7,0,956.5,234,3.2,6,190,264,123,104,104,355,248,316,50,58,97
FAH,2005,1,1,14,6.2,80.6,7.6,3.1,4.98,4.8,18.7,0,956.5,252,2.3,5.6,100,166,73,61,61,195,177,319,75,58,97
FAH,2005,1,1,15,5.7,80.5,7.4,2.6,4.85,4.3,17.9,0,955.9,226,3,7.1,18,72,13,11,11,60,67,310,61,58,97
FAH,2005,1,1,16,5.4,81.9,7.4,2.6,4.85,4.1,17.6,0,956.1,241,3,6.7,0,0,0,0,0,0,0,305,65,58,97
FAH,2005,1,1,17,5,85,7.4,2.7,4.85,3.9,17.2,0,956,229,3.3,6.3,0,0,0,0,0,0,0,307,60,58,97
FAH,2005,1,1,18,5.2,85.6,7.5,3,4.92,4.2,17.6,0,955.7,225,2.8,6.1,0,0,0,0,0,0,0,305,60,58,97
FAH,2005,1,1,19,5.5,83.5,7.5,2.9,4.92,4.3,17.9,0,955.6,240,2.8,6.4,0,0,0,0,0,0,0,320,90,58,97
FAH,2005,1,1,20,5.6,83.2,7.6,3,4.99,4.4,18.1,0,955.2,219,4.1,7.6,0,0,0,0,0,0,0,325,100,58,97
FAH,2005,1,1,21,6.3,81,7.7,3.3,5.06,4.9,19,0,955,238,3.2,9.1,0,0,0,0,0,0,0,325,100,58,97
FAH,2005,1,1,22,6.4,84.2,8.1,3.9,5.32,5.2,19.8,0.1,954.4,226,5.6,11.7,0,0,0,0,0,0,0,324,90,58,97
FAH,2005,1,1,23,6.2,90.8,8.6,4.8,5.66,5.5,20.4,0.7,954,223,4.7,9.4,0,0,0,0,0,0,0,327,100,58,97
FAH,2005,1,2,0,6.5,90.6,8.8,5.1,5.79,5.8,21.1,0.1,953.5,231,5.7,13.1,0,0,0,0,0,0,0,325,100,56,97
FAH,2005,1,2,1,6.8,92.4,9.1,5.7,5.99,6.3,21.9,0.1,953.3,238,6.6,11.4,0,0,0,0,0,0,0,309,50,56,97
FAH,2005,1,2,2,6.8,93.8,9.3,5.9,6.13,6.3,22.2,0,953.3,244,6.3,12.7,0,0,0,0,0,0,0,307,38,56,97
FAH,2005,1,2,3,6.6,94.1,9.2,5.7,6.06,6.2,21.9,0.3,953.2,247,5.8,11.7,0,0,0,0,0,0,0,297,23,56,97
FAH,2005,1,2,4,6.4,96,9.2,5.8,6.06,6.1,21.7,0.6,953.1,243,5.5,11.3,0,0,0,0,0,0,0,297,30,56,97
FAH,2005,1,2,5,6.2,95.7,9.1,5.6,5.99,5.9,21.3,0.2,953.5,245,6,11.9,0,0,0,0,0,0,0,287,29,56,97
FAH,2005,1,2,6,6.2,92.3,8.8,5,5.79,5.6,20.8,0,953.9,250,5.1,12,0,0,0,0,0,0,0,302,53,56,97
FAH,2005,1,2,7,6,93.6,8.8,5,5.79,5.5,20.6,0.2,954.2,247,5.2,11,6,3,6,5,7,6,5,312,84,56,97
FAH,2005,1,2,8,4.9,94.5,8.2,4.1,5.38,4.5,18.4,4.2,955.5,272,5.2,13.4,95,185,67,55,185,202,55,317,88,56,97
FAH,2005,1,2,9,3.9,92.8,7.5,2.8,4.92,3.4,16.2,0.6,956.2,261,3.8,9.3,166,177,122,99,199,265,99,322,100,56,97
FAH,2005,1,2,10,4.2,91.7,7.5,3,4.92,3.7,16.5,0.2,956.2,243,3.6,7.4,218,195,157,128,200,330,128,314,88,56,97
FAH,2005,1,2,11,4.2,89.8,7.4,2.7,4.85,3.5,16.4,0.2,956.2,258,4.2,8.9,232,182,171,138,156,334,156,319,94,56,97
FAH,2005,1,2,12,4.2,90.9,7.5,2.8,4.92,3.6,16.5,0,956.1,252,4.5,11,200,131,159,127,127,264,171,313,94,56,97
FAH,2005,1,2,13,4.2,87.3,7.2,2.3,4.72,3.3,16,0,956.5,264,4.5,11.4,144,85,123,98,97,177,144,311,100,56,97
FAH,2005,1,2,14,3.2,89.6,6.9,1.7,4.51,2.5,14.5,0.6,957.5,286,5,13.2,85,91,71,57,57,129,121,301,94,56,97
FAH,2005,1,2,15,1.8,93.6,6.5,0.9,4.25,1.4,12.4,0,958.5,262,2.9,7.5,15,28,13,10,10,29,32,295,94,56,97
FAH,2005,1,2,16,2,92.4,6.5,0.9,4.24,1.5,12.6,0,959.5,260,3.3,7.5,0,0,0,0,0,0,0,290,79,56,97
FAH,2005,1,2,17,1.6,91.1,6.3,0.3,4.11,1.1,11.9,0,960.3,251,2.8,6.3,0,0,0,0,0,0,0,266,48,56,97
FAH,2005,1,2,18,1.6,89.1,6.1,0,3.98,0.9,11.5,0,960.5,244,2.6,5.1,0,0,0,0,0,0,0,272,71,56,97
FAH,2005,1,2,19,1.7,87.8,6,-0.1,3.91,1,11.5,0,961.2,249,2.5,5.5,0,0,0,0,0,0,0,279,94,56,97
FAH,2005,1,2,20,1.6,88.5,6.1,-0.1,3.97,0.9,11.5,0,961.6,249,1.9,4.4,0,0,0,0,0,0,0,273,59,56,97
FAH,2005,1,2,21,1.5,88.4,6,-0.2,3.9,0.8,11.3,0,961.9,243,2.7,5.5,0,0,0,0,0,0,0,272,81,56,97
FAH,2005,1,2,22,1.6,89,6.1,0,3.97,0.9,11.5,0,962.2,245,2.9,5.2,0,0,0,0,0,0,0,262,38,56,97
FAH,2005,1,2,23,1.7,88.2,6.1,0,3.97,1,11.6,0,962.3,248,2.9,6.7,0,0,0,0,0,0,0,271,84,56,97
FAH,2005,1,3,0,1.4,90.7,6.1,0,3.97,0.8,11.3,0,962.2,263,2.6,7.9,0,0,0,0,0,0,0,280,100,49,97
FAH,2005,1,3,1,1.3,93,6.2,0.3,4.03,0.9,11.4,0.1,963.3,254,2.2,5.2,0,0,0,0,0,0,0,280,100,49,97
FAH,2005,1,3,2,1.5,92,6.3,0.3,4.09,1,11.7,0,963.4,250,2.4,5.6,0,0,0,0,0,0,0,278,100,49,97
FAH,2005,1,3,3,1.3,94.2,6.3,0.5,4.09,1,11.5,0.1,963.7,263,2.3,5.9,0,0,0,0,0,0,0,272,78,49,97
FAH,2005,1,3,4,1.2,95.9,6.4,0.6,4.16,1,11.6,0,963.8,254,2.5,6.7,0,0,0,0,0,0,0,260,41,49,97
FAH,2005,1,3,5,1.1,95.9,6.3,0.5,4.09,0.9,11.3,0,964.2,259,2.1,5.7,0,0,0,0,0,0,0,264,54,49,97
FAH,2005,1,3,6,1,94.8,6.2,0.3,4.02,0.7,11.1,0,964.6,253,2.1,4.4,0,0,0,0,0,0,0,256,45,49,97
FAH,2005,1,3,7,0.7,93.9,6,-0.2,3.89,0.3,10.4,0,964.9,235,1.6,3.7,13,37,11,8,37,33,8,271,71,49,97
FAH,2005,1,3,8,1.2,89.6,6,-0.3,3.89,0.6,10.9,0,965.3,241,1.9,4.3,103,227,67,53,211,235,53,273,68,49,97
FAH,2005,1,3,9,1.4,92.4,6.3,0.3,4.08,0.9,11.6,0,965.9,281,2.1,4.7,187,271,119,93,244,348,93,274,64,49,97
FAH,2005,1,3,10,2,89.4,6.3,0.4,4.08,1.3,12.2,0,966.3,266,2.8,5.7,236,258,155,120,216,387,120,288,78,49,97
FAH,2005,1,3,11,2.3,86.6,6.3,0.3,4.08,1.5,12.5,0,966.2,255,2.7,6,250,239,170,131,154,387,153,282,75,49,97
FAH,2005,1,3,12,2.8,84.6,6.3,0.5,4.08,1.8,13,0,966,258,3,5.7,269,418,138,114,114,540,259,273,51,49,97
FAH,2005,1,3,13,3.1,79.4,6,-0.1,3.89,1.8,12.8,0,966,249,3.2,6.4,217,421,108,90,90,486,315,269,40,49,97
FAH,2005,1,3,14,2.8,81.3,6.1,-0.1,3.95,1.6,12.7,0,966.2,252,2.6,5.9,107,204,74,58,57,222,200,270,63,49,97
FAH,2005,1,3,15,2.4,83.9,6.1,0,3.95,1.4,12.3,0,966.1,263,2.6,5.4,21,91,14,11,11,73,82,264,16,49,97
FAH,2005,1,3,16,1.7,87.7,6.1,-0.1,3.95,1,11.6,0,966.2,257,1.8,4.5,0,0,0,0,0,0,0,268,38,49,97
FAH,2005,1,3,17,1.3,91.7,6.2,0.1,4.01,0.8,11.3,0,966.7,242,1.5,2.9,0,0,0,0,0,0,0,280,88,49,97
FAH,2005,1,3,18,1.5,90.4,6.2,0.1,4.01,0.9,11.5,0,966.7,262,1.6,3.6,0,0,0,0,0,0,0,273,50,49,97
FAH,2005,1,3,19,1,90.6,6,-0.4,3.89,0.4,10.7,0,966.6,255,2,4.2,0,0,0,0,0,0,0,265,20,49,97
FAH,2005,1,3,20,0.7,90.9,5.8,-0.6,3.75,0.2,10.1,0,966.6,257,1.5,3.5,0,0,0,0,0,0,0,264,33,49,97
FAH,2005,1,3,21,0.2,91.7,5.7,-1,3.69,-0.3,9.4,0,967,263,0.9,1.9,0,0,0,0,0,0,0,266,25,49,97
FAH,2005,1,3,22,0.1,89.5,5.5,-1.4,3.56,-0.5,9,0,966.3,238,1.5,3.5,0,0,0,0,0,0,0,258,0,49,97
FAH,2005,1,3,23,0.3,83.3,5.2,-2.2,3.37,-0.7,8.7,0,965.8,218,3.3,5.7,0,0,0,0,0,0,0,257,0,49,97
FAH,2005,1,4,0,0.3,80.9,5,-2.6,3.24,-0.8,8.4,0,965.6,216,2.8,5.7,0,0,0,0,0,0,0,258,0,35,97
FAH,2005,1,4,1,-0.1,80.4,4.9,-3.1,3.17,-1.2,7.8,0,965.5,201,3,5.4,0,0,0,0,0,0,0,256,0,35,97
FAH,2005,1,4,2,0.1,78.3,4.8,-3.2,3.11,-1.1,7.9,0,965,207,3.1,4.7,0,0,0,0,0,0,0,246,0,35,97
FAH,2005,1,4,3,-0.3,79.9,4.8,-3.3,3.11,-1.4,7.5,0,964.4,204,3.2,5.3,0,0,0,0,0,0,0,245,0,35,97
FAH,2005,1,4,4,-0.3,79.6,4.8,-3.4,3.11,-1.4,7.5,0,963.4,204,3.4,4.9,0,0,0,0,0,0,0,244,0,35,97
FAH,2005,1,4,5,-0.6,83.1,4.9,-3.1,3.18,-1.5,7.3,0,963.7,214,1.2,4.7,0,0,0,0,0,0,0,243,6,35,97
FAH,2005,1,4,6,-1.1,84.9,4.8,-3.3,3.11,-1.9,6.6,0,963.5,215,1.2,2.6,0,0,0,0,0,0,0,243,25,35,97
FAH,2005,1,4,7,-0.9,83.1,4.8,-3.4,3.12,-1.8,6.9,0,963.2,203,2.5,4.2,18,102,12,8,88,75,8,244,6,35,97
FAH,2005,1,4,8,-0.5,82.2,4.8,-3.2,3.12,-1.5,7.3,0,963,202,3,4.5,124,448,55,40,351,391,40,246,0,35,97
FAH,2005,1,4,9,1.3,75,5,-2.6,3.25,-0.2,9.4,0,962.8,240,2.1,3.9,246,680,76,61,420,676,61,248,0,35,97
FAH,2005,1,4,10,2.8,72.1,5.4,-1.7,3.51,1,11.6,0,962.5,225,2,3.3,309,703,88,74,298,766,74,249,0,35,97
FAH,2005,1,4,11,4.7,61.5,5.2,-2.1,3.38,2,13.2,0,961.7,240,2.2,5,339,738,90,79,131,824,123,251,0,35,97
FAH,2005,1,4,12,5.9,57.4,5.4,-1.9,3.51,2.7,14.7,0,961,213,2.1,3.5,321,750,82,73,74,811,290,251,0,35,97
FAH,2005,1,4,13,7,54.1,5.4,-1.6,3.52,3.4,15.9,0,960.4,232,2.5,4.9,250,682,73,61,61,683,405,249,0,35,97
FAH,2005,1,4,14,5.7,65.1,5.9,-0.3,3.84,3.1,15.4,0,960.5,297,1.7,3,140,500,57,42,42,441,381,246,0,35,97
FAH,2005,1,4,15,1.9,82.2,5.8,-0.8,3.78,0.8,11.4,0,960.6,306,1.9,3.5,23,102,14,10,10,79,89,246,0,35,97
FAH,2005,1,4,16,-1.1,95.7,5.4,-1.7,3.52,-1.3,7.7,0,960.9,281,1.8,3.7,0,0,0,0,0,0,0,242,0,35,97
FAH,2005,1,4,17,-1.6,96.7,5.3,-2.1,3.45,-1.8,7,0,960.5,225,0.7,2.1,0,0,0,0,0,0,0,239,0,35,97
FAH,2005,1,4,18,1.3,85.5,5.8,-0.9,3.78,0.4,10.7,0,960.4,220,0.8,3.1,0,0,0,0,0,0,0,238,0,35,97
FAH,2005,1,4,19,0.8,87,5.6,-1.1,3.65,0,9.9,0,960.3,225,1.1,3.6,0,0,0,0,0,0,0,237,0,35,97
FAH,2005,1,4,20,2.1,73.2,5.2,-2.2,3.39,0.4,10.6,0,960.3,225,2.5,3.6,0,0,0,0,0,0,0,236,0,35,97
FAH,2005,1,4,21,1.3,75.2,5,-2.6,3.26,-0.2,9.4,0,960.4,253,2.4,6.8,0,0,0,0,0,0,0,235,0,35,97
FAH,2005,1,4,22,-0.5,85.7,5,-2.6,3.25,-1.3,7.6,0,960.6,261,2.5,6.9,0,0,0,0,0,0,0,234,0,35,97
FAH,2005,1,4,23,0,75.4,4.6,-3.8,2.99,-1.4,7.5,0,960.9,262,2.8,5.4,0,0,0,0,0,0,0,235,6,35,97
FAH,2005,1,5,0,1.6,62,4.3,-4.9,2.8,-0.7,8.6,0,960.9,248,3.6,6.8,0,0,0,0,0,0,0,252,79,31,97
FAH,2005,1,5,1,-1.8,86.6,4.6,-3.7,2.99,-2.5,5.6,0,961,273,2.3,5.1,0,0,0,0,0,0,0,259,100,31,97
FAH,2005,1,5,2,1.1,65.5,4.3,-4.6,2.8,-1,8.1,0,960.7,250,3.3,7.5,0,0,0,0,0,0,0,261,100,31,97
FAH,2005,1,5,3,1.3,65.4,4.4,-4.5,2.86,-0.8,8.4,0,961.5,263,2.6,5.7,0,0,0,0,0,0,0,263,100,31,97
FAH,2005,1,5,4,0.6,72.7,4.7,-3.7,3.06,-1,8.2,0,961.6,248,3.3,6.7,0,0,0,0,0,0,0,265,100,31,97
FAH,2005,1,5,5,1.8,72.3,5.1,-2.6,3.32,0.1,10.1,0,961.4,239,4.4,7.8,0,0,0,0,0,0,0,262,94,31,97
FAH,2005,1,5,6,2.4,79.9,5.8,-0.7,3.78,1.1,11.9,0,961.2,246,4.3,7.6,0,0,0,0,0,0,0,257,60,31,97
FAH,2005,1,5,7,3.1,80.3,6.1,0,3.97,1.8,13,0,961.6,251,3.6,7.3,17,78,13,8,70,59,8,257,33,31,97
FAH,2005,1,5,8,3.5,79.2,6.2,0.2,4.04,2.1,13.6,0,961.8,248,3.8,8.1,20,1,20,13,13,13,13,273,73,31,97
FAH,2005,1,5,9,4,76.7,6.3,0.3,4.1,2.4,14.3,0,962.1,245,4.3,7.5,19,0,19,12,12,12,12,293,100,31,97
FAH,2005,1,5,10,4.4,76.1,6.4,0.6,4.17,2.8,14.9,0,962,250,3.6,7.4,77,26,69,44,52,71,44,296,90,31,97
FAH,2005,1,5,11,5.2,71.3,6.3,0.4,4.1,3.1,15.5,0,961.2,238,5.7,11.8,239,360,117,82,134,445,84,289,54,31,97
FAH,2005,1,5,12,5.6,71,6.5,0.8,4.24,3.5,16.3,0,960.7,240,4.1,8.7,71,12,67,43,43,56,47,311,94,31,97
FAH,2005,1,5,13,5.8,73.3,6.8,1.4,4.44,3.8,17,0,960.3,237,3.4,6,13,0,13,8,8,8,8,314,100,31,97
FAH,2005,1,5,14,5.9,75.9,7.1,2,4.64,4.1,17.6,0,959.8,243,4.3,7.6,16,0,16,11,11,11,11,312,94,31,97
FAH,2005,1,5,15,6,76.4,7.1,2.2,4.63,4.3,17.7,0,960.1,247,3.3,6.6,1,0,1,1,1,1,1,310,88,31,97
FAH,2005,1,5,16,6,75.2,7,1.9,4.57,4.1,17.5,0,960,236,4.4,7.9,0,0,0,0,0,0,0,303,71,31,97
FAH,2005,1,5,17,5.6,78.9,7.2,2.2,4.7,4.1,17.4,0.1,959.7,230,4.4,7.7,0,0,0,0,0,0,0,314,88,31,97
FAH,2005,1,5,18,5.6,82.1,7.5,2.8,4.9,4.3,17.9,0,959.4,229,4.3,9.4,0,0,0,0,0,0,0,316,94,31,97
FAH,2005,1,5,19,6.1,81.9,7.7,3.2,5.03,4.7,18.8,0,959.3,227,4.4,8.6,0,0,0,0,0,0,0,320,100,31,97
FAH,2005,1,5,20,6.6,83.2,8.1,4,5.3,5.4,19.9,0.1,959.3,238,4.7,9.2,0,0,0,0,0,0,0,313,69,31,97
FAH,2005,1,5,21,6.5,88.1,8.5,4.7,5.56,5.6,20.5,0.3,959,239,6.5,11.6,0,0,0,0,0,0,0,315,71,31,97
FAH,2005,1,5,22,6.6,89.4,8.7,5,5.7,5.8,20.9,0.2,958.6,240,6.7,12.8,0,0,0,0,0,0,0,322,94,31,97
FAH,2005,1,5,23,6.6,90.7,8.8,5.2,5.77,5.9,21.1,0.3,958.2,240,6.7,12.7,0,0,0,0,0,0,0,326,100,31,97
FAH,2005,1,6,0,6.8,89.3,8.8,5.2,5.77,6,21.3,0,958.2,242,6.5,13.7,0,0,0,0,0,0,0,322,84,29,97
FAH,2005,1,6,1,6.8,88.4,8.8,5,5.77,5.9,21.3,0,958.2,245,7.6,14.5,0,0,0,0,0,0,0,314,61,29,97
FAH,2005,1,6,2,6.8,88.8,8.8,5.1,5.76,6,21.3,0,958.6,246,7.6,15.1,0,0,0,0,0,0,0,307,55,29,97
FAH,2005,1,6,3,6.8,88.4,8.8,5,5.76,5.9,21.3,0,958.9,249,6.4,14,0,0,0,0,0,0,0,307,73,29,97
FAH,2005,1,6,4,6.7,89.3,8.8,5.1,5.76,5.9,21.2,0.3,959.9,249,6.1,13.7,0,0,0,0,0,0,0,324,94,29,97
