station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
GLA,1998,1,1,0,0.2,89.8,5.6,-1.2,3.62,-0.3,9.3,0,962.8,150,0.9,2.9,0,0,0,0,0,0,0,294,75,51,97
GLA,1998,1,1,1,0.4,88.8,5.6,-1.3,3.61,-0.3,9.4,0,962.3,180,0.4,2.2,0,0,0,0,0,0,0,292,68,51,97
GLA,1998,1,1,2,0.5,88.1,5.6,-1.2,3.62,-0.2,9.6,0,962,180,0.5,2.5,0,0,0,0,0,0,0,300,88,51,97
GLA,1998,1,1,3,0.7,87.3,5.6,-1.1,3.65,0,9.8,0,961.8,243,0.5,2.2,0,0,0,0,0,0,0,305,100,51,97
GLA,1998,1,1,4,0.9,86.6,5.7,-1,3.68,0.2,10.1,0,961.8,225,0.5,2.3,0,0,0,0,0,0,0,305,100,51,97
GLA,1998,1,1,5,1.1,86.4,5.7,-0.9,3.72,0.3,10.4,0,961.9,180,0.4,2.7,0,0,0,0,0,0,0,305,100,51,97
GLA,1998,1,1,6,1.3,86.2,5.8,-0.7,3.76,0.5,10.7,0,962.1,180,0.5,2.2,0,0,0,0,0,0,0,306,100,51,97
GLA,1998,1,1,7,1.6,86,5.8,-0.6,3.8,0.7,11,0,962.4,315,0.6,2.8,3,0,3,2,2,2,2,307,100,51,97
GLA,1998,1,1,8,1.6,86.2,5.9,-0.5,3.83,0.8,11.2,0,963.1,180,0.5,2.5,12,0,12,9,8,8,8,308,100,51,97
GLA,1998,1,1,9,2.3,85.1,6.1,0.1,3.97,1.4,12.2,0,963,153,0.8,2.5,24,0,24,17,16,17,16,309,100,51,97
GLA,1998,1,1,10,3.9,78.4,6.3,0.5,4.1,2.5,14.2,0,962.1,198,0.5,2.6,229,211,161,123,192,344,122,298,68,51,97
GLA,1998,1,1,11,6,72.3,6.8,1.4,4.43,4,17.1,0,961.4,288,0.9,4.1,261,283,165,131,151,432,164,300,68,51,97
GLA,1998,1,1,12,5.2,77.6,6.9,1.6,4.5,3.6,16.5,0,961.2,297,1.9,6.1,27,0,27,19,19,19,19,314,100,51,97
GLA,1998,1,1,13,4.7,75.2,6.4,0.7,4.17,3,15.2,0,961.2,302,3.2,6.7,18,0,18,13,13,13,13,313,100,51,97
GLA,1998,1,1,14,4.3,75.9,6.3,0.4,4.1,2.6,14.6,0,961.1,180,1,2.5,9,0,9,6,6,6,6,313,100,51,97
GLA,1998,1,1,15,3.8,77.2,6.2,0.2,4.04,2.3,13.9,0,960.7,0,0.6,2.3,2,0,2,1,1,1,1,312,100,51,97
GLA,1998,1,1,16,3.3,80.5,6.2,0.3,4.04,2,13.4,0,960.1,162,0.6,2.5,0,0,0,0,0,0,0,312,100,51,97
GLA,1998,1,1,17,3.1,82.4,6.3,0.4,4.11,2,13.4,0,959.4,300,1.2,4.1,0,0,0,0,0,0,0,311,100,51,97
GLA,1998,1,1,18,2.8,83.5,6.2,0.3,4.05,1.8,12.9,0,959.5,288,1,2.9,0,0,0,0,0,0,0,305,88,51,97
GLA,1998,1,1,19,2.4,84.6,6.1,0.1,3.98,1.4,12.4,0,959.1,135,0.8,3.4,0,0,0,0,0,0,0,311,100,51,97
GLA,1998,1,1,20,2,84.3,5.9,-0.4,3.85,1,11.6,0,958.7,180,0.7,2.9,0,0,0,0,0,0,0,306,88,51,97
GLA,1998,1,1,21,1.7,85.2,5.9,-0.5,3.85,0.8,11.3,0,958.2,225,0.4,2.7,0,0,0,0,0,0,0,312,100,51,97
GLA,1998,1,1,22,1.7,85.3,5.9,-0.5,3.85,0.8,11.3,0,957.9,180,0.7,3.5,0,0,0,0,0,0,0,312,100,51,97
GLA,1998,1,1,23,2.1,83.8,5.9,-0.3,3.86,1.1,11.8,0,956.9,198,0.9,5,0,0,0,0,0,0,0,313,100,51,97
GLA,1998,1,2,0,1.9,85.3,6,-0.3,3.93,1,11.7,0,955.3,191,1.1,3.5,0,0,0,0,0,0,0,313,100,46,97
GLA,1998,1,2,1,3.1,79.2,6,-0.1,3.94,1.8,13,0,954,291,1.6,4.2,0,0,0,0,0,0,0,314,100,46,97
GLA,1998,1,2,2,3.8,76.1,6.1,0,4.01,2.2,13.8,0,953.3,252,1,3.8,0,0,0,0,0,0,0,315,100,46,97
GLA,1998,1,2,3,5.1,71.2,6.2,0.3,4.07,3,15.3,0,953.9,286,5.8,13.4,0,0,0,0,0,0,0,316,100,46,97
GLA,1998,1,2,4,5.7,69.6,6.4,0.6,4.2,3.5,16.3,0,953.6,246,3,10.5,0,0,0,0,0,0,0,318,100,46,97
GLA,1998,1,2,5,5.2,73.8,6.5,0.9,4.27,3.3,15.9,0,953.9,266,3.5,8.4,0,0,0,0,0,0,0,319,100,46,97
GLA,1998,1,2,6,4.9,76.7,6.6,1.2,4.34,3.3,15.8,0,952.4,148,2.3,7.5,0,0,0,0,0,0,0,309,75,46,97
GLA,1998,1,2,7,4.1,78.9,6.5,0.8,4.28,2.7,14.8,0,951.6,135,0.5,3.4,15,0,15,13,13,13,13,306,68,46,97
GLA,1998,1,2,8,3.8,81.1,6.5,0.9,4.28,2.6,14.5,0,951.2,153,0.8,3.4,32,0,32,29,29,29,29,315,88,46,97
GLA,1998,1,2,9,4.2,82.3,6.8,1.5,4.48,3,15.4,0,950.4,180,0.4,2.4,24,0,24,17,16,16,16,321,100,46,97
GLA,1998,1,2,10,6.4,73.8,7.1,2.1,4.68,4.4,18.2,0,950.9,333,2.3,6.4,27,0,27,19,18,18,18,322,100,46,97
GLA,1998,1,2,11,7.6,68.6,7.1,2.2,4.68,5.1,19.4,0,950.3,298,6.4,14.1,30,0,30,20,20,20,19,322,100,46,97
GLA,1998,1,2,12,8.3,61.3,6.7,1.3,4.43,5.1,19.5,0,947.4,145,6.5,13,26,0,26,18,17,17,17,323,100,46,97
GLA,1998,1,2,13,10.2,48.1,6,-0.3,3.97,5.5,20.3,0,945.1,156,7.3,12.4,18,0,18,12,12,12,12,322,100,46,97
GLA,1998,1,2,14,11.8,38.1,5.3,-2,3.51,5.8,20.7,0,944.9,150,8.5,12.6,8,0,8,6,6,6,5,321,100,46,97
GLA,1998,1,2,15,12.2,35.9,5.1,-2.5,3.38,5.8,20.8,0,944.3,143,7.5,13.5,1,0,1,1,1,1,1,320,100,46,97
GLA,1998,1,2,16,10.4,46.8,5.8,-0.5,3.84,5.5,20.1,0,945.9,257,7.3,15.8,0,0,0,0,0,0,0,319,100,46,97
GLA,1998,1,2,17,8.5,64.4,7.1,2.2,4.69,5.6,20.3,0,947.9,290,10.1,17.4,0,0,0,0,0,0,0,318,100,46,97
GLA,1998,1,2,18,7.6,74.5,7.7,3.4,5.08,5.6,20.4,0.2,950.4,311,8.4,14.6,0,0,0,0,0,0,0,317,100,46,97
GLA,1998,1,2,19,5.4,81.6,7.3,2.5,4.8,4.1,17.5,3.4,952.8,328,6.9,16,0,0,0,0,0,0,0,315,100,46,97
GLA,1998,1,2,20,4.5,88.9,7.5,2.8,4.93,3.7,16.9,0.5,953,241,1.8,4.9,0,0,0,0,0,0,0,313,100,46,97
GLA,1998,1,2,21,4.1,91.3,7.5,2.8,4.93,3.5,16.5,0,953.5,120,1.2,3.9,0,0,0,0,0,0,0,311,100,46,97
GLA,1998,1,2,22,4.3,89.8,7.5,2.8,4.92,3.6,16.7,0.1,954.9,287,1.7,4.9,0,0,0,0,0,0,0,308,100,46,97
GLA,1998,1,2,23,4.2,90.9,7.5,2.8,4.92,3.6,16.5,0,955.4,150,1.5,4.4,0,0,0,0,0,0,0,305,100,46,97
GLA,1998,1,3,0,4.1,90.3,7.4,2.7,4.85,3.5,16.3,0,956.7,270,1.2,4,0,0,0,0,0,0,0,302,100,51,97
GLA,1998,1,3,1,4.5,86.6,7.3,2.5,4.78,3.6,16.5,0,957.2,180,1.6,3.8,0,0,0,0,0,0,0,299,100,51,97
GLA,1998,1,3,2,4,89.5,7.3,2.4,4.78,3.3,16,0.1,957.4,156,1.3,4.4,0,0,0,0,0,0,0,295,100,51,97
