station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
GVE,2012,1,1,0,5.6,96.8,8.8,5.1,5.67,5.4,19.9,0,973.5,304,0.8,2.2,0,0,0,0,0,0,0,338,94,29,96
GVE,2012,1,1,1,5.9,95.3,8.8,5.2,5.67,5.6,20.2,0,973.7,288,0.8,2.5,0,0,0,0,0,0,0,320,73,29,96
GVE,2012,1,1,2,5.8,95.4,8.8,5.1,5.67,5.5,20.1,0,973.7,252,1.1,2.8,0,0,0,0,0,0,0,294,33,29,96
GVE,2012,1,1,3,5.7,95.5,8.7,5,5.61,5.4,19.8,0,973.4,242,1.5,2.9,0,0,0,0,0,0,0,295,29,29,96
GVE,2012,1,1,4,5.4,96.9,8.7,4.9,5.61,5.2,19.5,0,973.4,207,0.6,1.3,0,0,0,0,0,0,0,297,33,29,96
GVE,2012,1,1,5,5.1,96.9,8.5,4.6,5.48,4.9,18.9,0,973.7,259,0.6,2.3,0,0,0,0,0,0,0,304,35,29,96
GVE,2012,1,1,6,5.5,96.7,8.7,5,5.61,5.3,19.6,0,974,252,0.6,1.4,0,0,0,0,0,0,0,325,71,29,96
GVE,2012,1,1,7,5.8,97.2,9,5.4,5.8,5.6,20.4,0.1,974.4,0,0.5,2.4,1,0,1,1,1,1,1,332,84,29,96
GVE,2012,1,1,8,6.7,95.9,9.4,6.1,6.06,6.4,21.9,0,974.7,360,0.7,2.3,16,0,16,10,10,10,10,338,100,29,96
GVE,2012,1,1,9,7.6,93.4,9.7,6.6,6.25,7.1,23.4,0.1,974.7,225,0.9,3.7,63,12,59,37,44,49,37,344,100,29,96
GVE,2012,1,1,10,8.5,92.2,10.2,7.3,6.58,7.9,25.1,0,974.2,225,1.2,3,106,3,105,65,67,69,65,346,100,29,96
GVE,2012,1,1,11,9.5,90.6,10.7,8,6.91,8.7,27,0,973.3,217,2.6,5.1,163,74,137,85,87,164,95,337,88,29,96
GVE,2012,1,1,12,10.2,86,10.7,8,6.92,9,27.7,0,972.6,225,2.4,4.3,148,55,129,80,81,138,96,341,94,29,96
GVE,2012,1,1,13,10.4,85.4,10.8,8.1,6.99,9.2,28.1,0,972,238,2.7,4.6,80,1,79,50,50,51,49,339,100,29,96
GVE,2012,1,1,14,10.8,84.5,10.9,8.3,7.05,9.5,28.6,0,971.9,242,2,4.4,48,12,46,29,29,38,36,338,100,29,96
GVE,2012,1,1,15,10.6,84.4,10.8,8.1,6.99,9.3,28.3,0,971.9,274,1.5,3.9,4,0,4,2,2,2,2,341,100,29,96
GVE,2012,1,1,16,9.5,88.6,10.5,7.7,6.79,8.6,26.7,0,971.7,281,1.6,3.4,0,0,0,0,0,0,0,332,80,29,96
GVE,2012,1,1,17,8.6,89.2,9.9,6.9,6.4,7.7,24.7,0,971.9,274,1.4,3.6,0,0,0,0,0,0,0,342,94,29,96
GVE,2012,1,1,18,7.9,92.1,9.8,6.7,6.34,7.3,23.9,0,971.6,288,0.9,2.6,0,0,0,0,0,0,0,341,100,29,96
GVE,2012,1,1,19,8,91.2,9.8,6.7,6.34,7.3,24,0,971.4,249,1.5,2.6,0,0,0,0,0,0,0,340,100,29,96
GVE,2012,1,1,20,7.3,93.5,9.5,6.3,6.15,6.8,22.8,0,970.7,225,1.3,2.8,0,0,0,0,0,0,0,339,100,29,96
GVE,2012,1,1,21,6.3,96.2,9.1,5.7,5.89,6,21.1,0,970.1,240,1.6,3.1,0,0,0,0,0,0,0,339,100,29,96
GVE,2012,1,1,22,6.1,95.7,9,5.5,5.83,5.8,20.8,0,969.4,225,0.8,2,0,0,0,0,0,0,0,338,100,29,96
GVE,2012,1,1,23,7.1,89,9,5.4,5.83,6.3,21.8,0,968.7,245,3.1,6.8,0,0,0,0,0,0,0,337,100,29,96
GVE,2012,1,2,0,7.3,88,9,5.4,5.84,6.4,22,0,968.2,257,3.5,7,0,0,0,0,0,0,0,337,100,29,96
GVE,2012,1,2,1,6.3,91.8,8.8,5.1,5.71,5.7,20.7,0,967.9,267,2,4.5,0,0,0,0,0,0,0,337,100,29,96
GVE,2012,1,2,2,6,88.4,8.3,4.2,5.38,5.2,19.5,0,967.6,248,2.4,5.9,0,0,0,0,0,0,0,329,88,29,96
GVE,2012,1,2,3,6.5,86.4,8.4,4.4,5.45,5.5,20.2,0,966.9,239,2.7,5.9,0,0,0,0,0,0,0,337,100,29,96
GVE,2012,1,2,4,9.2,75.9,8.8,5.2,5.72,7.2,23.6,0,966.3,227,4.9,9.7,0,0,0,0,0,0,0,337,100,29,96
GVE,2012,1,2,5,9.1,78.6,9.1,5.6,5.92,7.3,24,0,966,211,5.9,10.5,0,0,0,0,0,0,0,337,100,29,96
GVE,2012,1,2,6,8.9,81.7,9.3,5.9,6.05,7.4,24.2,0,965.9,224,5.1,8.3,0,0,0,0,0,0,0,337,100,29,96
GVE,2012,1,2,7,9,84,9.6,6.4,6.24,7.7,24.8,0.1,966,202,5.7,9.5,1,0,1,1,1,1,1,337,100,29,96
GVE,2012,1,2,8,8.9,89.3,10.2,7.2,6.63,8,25.6,0.7,966.6,209,5.6,8.7,6,0,6,4,4,4,4,337,100,29,96
GVE,2012,1,2,9,9,90.1,10.3,7.5,6.7,8.2,25.9,1.3,967.1,215,5.9,11,12,0,12,8,8,8,8,337,100,29,96
