station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
HOE,1998,1,1,0,2.8,79.9,5.9,-0.6,4.16,1.3,13.2,0,884.7,324,1.3,4.3,0,0,0,0,0,0,0,266,20,18,97
HOE,1998,1,1,1,3.5,76.1,5.9,-0.5,4.17,1.8,14,0,885.8,31,1.7,3.5,0,0,0,0,0,0,0,283,63,18,97
HOE,1998,1,1,2,4,73.7,5.9,-0.4,4.19,2,14.5,0,886.5,50,3.8,6.4,0,0,0,0,0,0,0,282,60,18,97
HOE,1998,1,1,3,4.4,71.5,6,-0.3,4.21,2.3,15,0,887.2,54,4.5,6.7,0,0,0,0,0,0,0,299,100,18,97
HOE,1998,1,1,4,4.6,70.9,6,-0.2,4.24,2.5,15.3,0,887.5,65,4.3,6.9,0,0,0,0,0,0,0,299,100,18,97
HOE,1998,1,1,5,4.5,71.6,6,-0.1,4.27,2.5,15.2,0,887.7,81,4,6.8,0,0,0,0,0,0,0,299,100,18,97
HOE,1998,1,1,6,4.4,71.8,6,-0.2,4.24,2.4,15,0,887.8,88,3.7,7.1,0,0,0,0,0,0,0,300,100,18,97
HOE,1998,1,1,7,4.5,71.7,6,-0.1,4.26,2.5,15.2,0,888.1,85,3.3,6.3,30,135,19,10,114,104,10,296,88,18,97
HOE,1998,1,1,8,4.6,72.6,6.2,0.1,4.37,2.6,15.6,0,888.6,78,2.4,5.1,135,393,63,34,289,358,34,282,50,18,97
HOE,1998,1,1,9,5.3,72.5,6.4,0.8,4.51,3.3,16.6,0,888.6,54,2.5,5,214,402,108,56,261,436,56,281,45,18,97
HOE,1998,1,1,10,5.9,67.8,6.3,0.4,4.44,3.4,17.1,0,888.3,65,2.3,4.9,246,327,143,76,180,412,76,297,80,18,97
HOE,1998,1,1,11,6,65.2,6.1,0,4.3,3.3,16.8,0,887.7,50,1.5,4.5,233,224,158,86,107,323,101,308,100,18,97
HOE,1998,1,1,12,5.6,68.1,6.2,0.2,4.38,3.2,16.6,0,887.6,11,0.7,2.6,242,356,134,70,69,430,208,300,75,18,97
HOE,1998,1,1,13,5,71.6,6.2,0.3,4.38,2.9,16,0,887.5,287,1.4,2.4,139,172,102,57,56,209,161,304,88,18,97
HOE,1998,1,1,14,6.4,58,5.6,-1.3,3.95,3,16.3,0,887,209,2.7,5.2,83,179,59,33,32,170,162,292,63,18,97
HOE,1998,1,1,15,6.7,52.4,5.2,-2.3,3.67,2.8,15.9,0,886.7,212,3.9,5.5,10,52,8,5,5,37,46,296,75,18,97
HOE,1998,1,1,16,6,55.8,5.2,-2.1,3.67,2.5,15.2,0,886.3,225,4.4,5.8,0,0,0,0,0,0,0,304,100,18,97
HOE,1998,1,1,17,4.9,64,5.5,-1.3,3.89,2.2,14.7,0,885.9,242,3.7,6.3,0,0,0,0,0,0,0,295,80,18,97
HOE,1998,1,1,18,4.7,64.6,5.5,-1.4,3.89,2.1,14.5,0,885.9,242,5.3,8.3,0,0,0,0,0,0,0,282,50,18,97
HOE,1998,1,1,19,4.9,65.1,5.6,-1.1,3.96,2.3,14.8,0,885.4,248,5.6,8.7,0,0,0,0,0,0,0,302,100,18,97
HOE,1998,1,1,20,4.7,69.1,5.9,-0.5,4.17,2.4,15.2,0,885.2,268,5.5,9.6,0,0,0,0,0,0,0,294,80,18,97
HOE,1998,1,1,21,3.6,75.4,6,-0.3,4.25,1.9,14.3,0,884.4,266,5.4,9.3,0,0,0,0,0,0,0,302,100,18,97
HOE,1998,1,1,22,2.8,82,6.1,0,4.32,1.6,13.6,0,883.7,269,6.1,11.3,0,0,0,0,0,0,0,302,100,18,97
HOE,1998,1,1,23,2.8,83.1,6.2,0.2,4.4,1.7,13.8,0,882.9,230,4.3,7.4,0,0,0,0,0,0,0,302,100,18,97
HOE,1998,1,2,0,4,72.2,5.9,-0.5,4.19,2.1,14.5,0,881.7,225,4.4,6.9,0,0,0,0,0,0,0,303,100,18,97
HOE,1998,1,2,1,5,60.8,5.3,-1.9,3.77,2.1,14.5,0,880.8,207,4.1,7.5,0,0,0,0,0,0,0,304,100,18,97
HOE,1998,1,2,2,3.3,76.6,5.9,-0.4,4.2,1.7,13.8,0,880.7,256,4.6,9.5,0,0,0,0,0,0,0,306,100,18,97
HOE,1998,1,2,3,1.9,94.2,6.6,1.1,4.7,1.5,13.7,0.2,880.4,271,5.2,10.6,0,0,0,0,0,0,0,308,100,18,97
HOE,1998,1,2,4,2,95.9,6.8,1.4,4.84,1.7,14.1,1.1,880,243,6.5,11.5,0,0,0,0,0,0,0,310,100,18,97
HOE,1998,1,2,5,2.6,90.5,6.7,1.2,4.78,2,14.6,0.7,879,238,9.2,18,0,0,0,0,0,0,0,311,100,18,97
HOE,1998,1,2,6,3.4,80.3,6.3,0.3,4.49,2,14.7,0.1,878.7,223,9.2,13.8,0,0,0,0,0,0,0,308,88,18,97
HOE,1998,1,2,7,3.9,77.2,6.3,0.3,4.49,2.3,15.2,0,878.4,236,7.6,12.1,2,0,2,1,1,1,1,314,100,18,97
HOE,1998,1,2,8,4.3,74,6.2,0.1,4.42,2.4,15.4,0,878,249,6,10.4,10,0,10,6,5,6,6,316,100,18,97
HOE,1998,1,2,9,3.9,76.5,6.2,0.2,4.42,2.3,15,0,878.2,246,4,7.7,17,0,17,10,10,10,10,317,100,18,97
HOE,1998,1,2,10,3,92.5,7,1.9,5,2.5,15.5,0.5,878.2,274,4.9,13,22,0,22,13,13,13,13,319,100,18,97
HOE,1998,1,2,11,3.3,87.2,6.8,1.4,4.87,2.4,15.5,0.3,875.4,212,9,17.3,24,0,24,14,14,14,14,320,100,18,97
HOE,1998,1,2,12,5,64.7,5.6,-1.1,4.01,2.4,15.1,0.1,873.9,198,9.1,13.8,21,0,21,12,12,12,12,321,100,18,97
HOE,1998,1,2,13,6.4,49.8,4.8,-3.3,3.44,2.4,15.1,0,872.4,188,7.3,12.2,15,0,15,9,8,9,9,320,100,18,97
HOE,1998,1,2,14,7.1,44.7,4.5,-4.1,3.22,2.5,15.2,0,872.8,191,6.3,11.1,7,0,7,4,4,4,4,318,100,18,97
HOE,1998,1,2,15,5.4,61.8,5.4,-1.3,3.87,2.5,15.1,0,873.4,254,4.9,10.7,1,0,1,1,1,1,1,317,100,18,97
HOE,1998,1,2,16,3.2,92.2,7.1,2.1,5.09,2.7,16,0.2,874.4,277,6,12,0,0,0,0,0,0,0,315,100,18,97
HOE,1998,1,2,17,2.7,99.1,7.4,2.6,5.3,2.7,16,2.8,875.4,295,8.4,20.6,0,0,0,0,0,0,0,314,100,18,97
HOE,1998,1,2,18,1,98.8,6.5,0.8,4.64,0.9,12.6,2.2,876.9,287,11.7,20.7,0,0,0,0,0,0,0,312,100,18,97
HOE,1998,1,2,19,1.2,96.8,6.4,0.7,4.57,1,12.6,1.7,877.7,260,10.3,22.9,0,0,0,0,0,0,0,310,100,18,97
HOE,1998,1,2,20,1.2,92.8,6.2,0.2,4.42,0.8,12.3,0,877.8,257,12,25.4,0,0,0,0,0,0,0,308,100,18,97
HOE,1998,1,2,21,1.1,94.1,6.2,0.3,4.42,0.8,12.1,0,878.4,272,12.4,25.3,0,0,0,0,0,0,0,305,100,18,97
HOE,1998,1,2,22,1,92.9,6.1,0,4.34,0.6,11.9,0,879.7,268,10.6,23.7,0,0,0,0,0,0,0,303,100,18,97
HOE,1998,1,2,23,1,90.3,5.9,-0.4,4.19,0.4,11.5,0.4,881,263,8.7,18.1,0,0,0,0,0,0,0,300,100,18,97
HOE,1998,1,3,0,0.6,95.9,6.1,0,4.33,0.3,11.4,0.1,881.8,271,9.7,22.4,0,0,0,0,0,0,0,297,100,18,97
HOE,1998,1,3,1,0.6,94.3,6,-0.2,4.26,0.3,11.2,0.1,882.3,263,9.2,19.4,0,0,0,0,0,0,0,289,88,18,97
HOE,1998,1,3,2,0.5,95.6,6.1,-0.1,4.33,0.2,11.3,0,882.9,265,8.4,18,0,0,0,0,0,0,0,282,75,18,97
HOE,1998,1,3,3,0.4,95.9,6,-0.2,4.26,0.1,11,0,882.8,261,8.6,18.4,0,0,0,0,0,0,0,276,68,18,97
HOE,1998,1,3,4,0.6,93.8,6,-0.3,4.26,0.2,11.2,0,882.9,265,7.7,15.3,0,0,0,0,0,0,0,274,68,18,97
HOE,1998,1,3,5,0.6,92.3,5.9,-0.5,4.18,0.1,11,0,883.3,274,8.8,19.1,0,0,0,0,0,0,0,278,88,18,97
HOE,1998,1,3,6,0.5,90.2,5.7,-0.9,4.04,-0.1,10.6,0,883.2,250,7.8,14,0,0,0,0,0,0,0,265,50,18,97
HOE,1998,1,3,7,0.8,81.5,5.3,-2,3.76,-0.3,10.2,0,883,242,9.4,15.3,22,52,17,10,50,46,10,279,68,18,97
HOE,1998,1,3,8,0.8,81.9,5.3,-1.9,3.76,-0.3,10.2,0,883,229,8.4,14.8,26,0,26,15,15,15,15,299,100,18,97
HOE,1998,1,3,9,1.2,76.2,5.1,-2.5,3.62,-0.3,10.2,0,882.6,221,7.5,13.5,120,36,111,65,82,97,65,305,100,18,97
HOE,1998,1,3,10,1.8,70.2,4.9,-3,3.47,-0.1,10.5,0,882,228,6.7,10.6,22,0,22,13,13,13,13,310,100,18,97
HOE,1998,1,3,11,2.3,61.6,4.4,-4.3,3.12,-0.2,10.1,0,881.3,224,7.2,12.2,24,0,24,14,14,14,14,313,100,18,97
HOE,1998,1,3,12,1.8,69.9,4.8,-3.1,3.41,-0.1,10.3,0,880.4,229,8.9,15.5,21,0,21,12,12,12,12,315,100,18,97
HOE,1998,1,3,13,2.4,71,5.1,-2.3,3.63,0.5,11.5,0.1,879.9,232,10.8,19.7,15,0,15,9,8,9,9,316,100,18,97
HOE,1998,1,3,14,3,72.1,5.4,-1.5,3.84,1.1,12.6,0,879.3,234,12.7,23.9,10,0,10,6,6,6,6,317,100,18,97
HOE,1998,1,3,15,4.9,70.5,6.1,0,4.35,2.7,15.8,0,879,230,12.7,21.2,1,0,1,1,1,1,1,319,100,18,97
HOE,1998,1,3,16,6.2,70.9,6.7,1.3,4.78,3.9,18.2,0,878.8,246,14.7,22.7,0,0,0,0,0,0,0,320,100,18,97
HOE,1998,1,3,17,6.1,74.2,7,1.9,5,4.1,18.7,0.1,878.4,247,14.5,26.6,0,0,0,0,0,0,0,322,100,18,97
HOE,1998,1,3,18,5.9,75.9,7,2,5,4.1,18.5,0.2,877.9,240,13.6,26.4,0,0,0,0,0,0,0,322,100,18,97
HOE,1998,1,3,19,7,63.7,6.4,0.6,4.57,4.1,18.5,0.1,877.7,233,11.9,21.1,0,0,0,0,0,0,0,320,100,18,97
HOE,1998,1,3,20,5,85.6,7.4,2.8,5.28,4,18.3,2,879.2,268,10.8,21.4,0,0,0,0,0,0,0,318,100,18,97
HOE,1998,1,3,21,4.2,99.5,8.2,4.1,5.85,4.2,18.9,4.4,880.8,292,14.4,33.2,0,0,0,0,0,0,0,312,92,18,97
HOE,1998,1,3,22,2.6,91.9,6.8,1.4,4.82,2.1,14.7,2.3,884.1,300,12.9,28.5,0,0,0,0,0,0,0,305,83,18,97
HOE,1998,1,3,23,1.3,91.2,6.1,0,4.31,0.7,12.1,0,885.5,291,11.7,26.1,0,0,0,0,0,0,0,299,75,18,97
HOE,1998,1,4,0,1.2,89.6,6,-0.3,4.24,0.6,11.8,0.1,886.3,287,10.1,21.2,0,0,0,0,0,0,0,292,67,24,97
HOE,1998,1,4,1,1.2,93.8,6.3,0.3,4.45,0.8,12.3,0,886.8,276,7.7,16.1,0,0,0,0,0,0,0,286,58,24,97
HOE,1998,1,4,2,0.9,88.7,5.8,-0.7,4.09,0.2,11.1,0,886.9,273,9,18.9,0,0,0,0,0,0,0,280,50,24,97
HOE,1998,1,4,3,0.4,82.3,5.2,-2.3,3.67,-0.7,9.6,0,887.1,273,9.8,19.3,0,0,0,0,0,0,0,273,42,24,97
HOE,1998,1,4,4,0.4,80,5,-2.6,3.53,-0.8,9.2,0,886.8,257,9.8,18.8,0,0,0,0,0,0,0,267,33,24,97
