station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
LUG,2012,1,1,0,2,83,5.8,-0.6,3.72,1,11.3,0,982.8,351,1.2,2.3,0,0,0,0,0,0,0,281,16,23,97
LUG,2012,1,1,1,1.9,81.5,5.7,-1,3.63,0.8,10.9,0,983.2,353,0.8,2.6,0,0,0,0,0,0,0,275,0,23,97
LUG,2012,1,1,2,1.8,80.9,5.6,-1.2,3.58,0.7,10.7,0,983.6,351,1.3,2.7,0,0,0,0,0,0,0,280,0,23,97
LUG,2012,1,1,3,1.7,80.3,5.6,-1.3,3.53,0.6,10.5,0,984.1,350,1.1,2.3,0,0,0,0,0,0,0,279,6,23,97
LUG,2012,1,1,4,1.6,80.4,5.5,-1.4,3.51,0.5,10.4,0,984.5,346,0.8,1.8,0,0,0,0,0,0,0,274,0,23,97
LUG,2012,1,1,5,1.5,81.3,5.5,-1.3,3.52,0.4,10.3,0,984.9,356,1.5,2.7,0,0,0,0,0,0,0,274,0,23,97
LUG,2012,1,1,6,1.5,82.2,5.6,-1.2,3.54,0.4,10.3,0,985.3,356,1.4,2.6,0,0,0,0,0,0,0,275,0,23,97
LUG,2012,1,1,7,1.6,82.6,5.7,-1,3.6,0.6,10.7,0,985.8,346,1,2.6,15,0,15,11,11,11,11,282,19,23,97
LUG,2012,1,1,8,1.7,82.1,5.7,-1,3.62,0.6,10.7,0,986.3,344,0.8,2.4,69,132,40,34,116,146,34,289,19,23,97
LUG,2012,1,1,9,3,81.7,6.2,0.2,3.93,1.9,12.9,0,986.5,198,0.4,1.9,188,314,105,61,230,345,62,308,73,23,97
LUG,2012,1,1,10,4.1,82.4,6.8,1.4,4.32,2.9,14.9,0,986.3,162,0.6,2.3,182,87,152,84,111,176,87,322,100,23,97
LUG,2012,1,1,11,5.4,75.1,6.7,1.4,4.26,3.7,16.1,0,985.8,225,0.8,2.8,189,89,158,87,95,183,94,325,100,23,97
LUG,2012,1,1,12,5.9,71.3,6.6,1.1,4.19,3.8,16.5,0,985.4,140,0.8,1.7,122,20,116,64,62,86,75,327,100,23,97
LUG,2012,1,1,13,6.4,67.9,6.5,0.9,4.13,4,16.8,0,985.1,180,0.5,1.6,166,210,113,63,61,255,187,314,81,23,97
LUG,2012,1,1,14,6.6,67.8,6.6,1.1,4.19,4.2,17.2,0,985.4,153,0.5,1.7,77,87,64,35,34,103,99,310,78,23,97
LUG,2012,1,1,15,6.7,66.5,6.6,0.9,4.19,4.2,17.3,0,985.4,194,0.4,1.4,11,16,10,5,5,16,18,298,48,23,97
LUG,2012,1,1,16,5.9,74.2,6.9,1.7,4.38,4.1,16.9,0,986.2,259,0.6,2.2,0,0,0,0,0,0,0,307,63,23,97
LUG,2012,1,1,17,5.2,72.5,6.4,0.7,4.06,3.3,15.4,0,987.1,351,0.7,2.5,0,0,0,0,0,0,0,311,65,23,97
LUG,2012,1,1,18,4.3,75.7,6.3,0.4,3.99,2.7,14.3,0,987.6,7,0.8,1.9,0,0,0,0,0,0,0,304,65,23,97
LUG,2012,1,1,19,3.7,76.3,6.1,-0.1,3.86,2.1,13.4,0,988.1,360,0.8,1.9,0,0,0,0,0,0,0,308,88,23,97
LUG,2012,1,1,20,3.9,73.5,5.9,-0.4,3.74,2.1,13.3,0,988.3,9,0.6,1.5,0,0,0,0,0,0,0,318,100,23,97
LUG,2012,1,1,21,4.2,72.2,6,-0.4,3.8,2.3,13.7,0,988.6,360,0.5,1.8,0,0,0,0,0,0,0,318,100,23,97
LUG,2012,1,1,22,4.5,71.7,6,-0.2,3.8,2.6,14,0,988.1,360,0.6,1.5,0,0,0,0,0,0,0,315,88,23,97
LUG,2012,1,1,23,4.9,72.5,6.3,0.4,3.99,3,14.9,0,987.5,297,0.8,2.3,0,0,0,0,0,0,0,318,100,23,97
LUG,2012,1,2,0,5.1,76.4,6.7,1.3,4.25,3.5,15.8,0,987.3,252,0.6,2.2,0,0,0,0,0,0,0,317,100,23,97
LUG,2012,1,2,1,5.1,73.3,6.5,0.7,4.12,3.2,15.5,0,987.4,315,0.5,1.5,0,0,0,0,0,0,0,317,100,23,97
LUG,2012,1,2,2,5.2,72.1,6.4,0.6,4.06,3.2,15.4,0,987,333,0.2,1,0,0,0,0,0,0,0,312,88,23,97
LUG,2012,1,2,3,4.9,78.1,6.8,1.4,4.32,3.4,15.7,0,986.8,342,0.4,1.3,0,0,0,0,0,0,0,317,100,23,97
LUG,2012,1,2,4,4.4,86.3,7.2,2.3,4.57,3.5,15.9,0,986.5,292,0.6,1.7,0,0,0,0,0,0,0,316,100,23,97
LUG,2012,1,2,5,3.8,95.4,7.7,3.1,4.89,3.5,16.1,0.6,986.2,11,0.5,1.4,0,0,0,0,0,0,0,316,100,23,97
LUG,2012,1,2,6,4,94.3,7.7,3.2,4.9,3.6,16.3,0.3,985.8,45,0.2,1,0,0,0,0,0,0,0,317,100,23,97
LUG,2012,1,2,7,4.3,95.1,7.9,3.6,5.02,4,16.9,0.1,985.9,360,0.5,1.3,2,0,2,1,1,1,1,317,100,23,97
LUG,2012,1,2,8,4.2,95.7,7.9,3.6,5.02,3.9,16.8,0.4,985.9,360,0.2,1,7,0,7,4,4,4,4,318,100,23,97
LUG,2012,1,2,9,4.3,95.9,8,3.7,5.09,4,17.1,0.7,985.5,180,0.4,1.2,13,0,13,7,7,7,7,319,100,23,97
LUG,2012,1,2,10,4.4,95.5,8,3.7,5.09,4.1,17.2,0.5,985.2,135,0.5,2.2,16,0,16,9,9,9,9,320,100,23,97
LUG,2012,1,2,11,4.5,97.2,8.2,4.1,5.23,4.3,17.6,0.7,984,34,0.3,1.1,20,0,20,11,11,11,11,321,100,23,97
LUG,2012,1,2,12,4.6,98,8.3,4.3,5.3,4.5,17.9,1.8,983.1,129,0.7,1.9,16,0,16,9,9,9,9,322,100,23,97
LUG,2012,1,2,13,4.6,96.8,8.2,4.1,5.23,4.4,17.7,1.7,982.6,139,0.9,2.1,12,0,12,7,6,7,7,321,100,23,97
LUG,2012,1,2,14,4.6,97.1,8.3,4.2,5.3,4.4,17.9,1.3,982.1,143,0.6,1.8,6,0,6,4,3,4,4,320,100,23,97
LUG,2012,1,2,15,4.9,94.1,8.2,4,5.24,4.5,18.1,1.8,982.2,191,1.6,4.5,1,0,1,1,0,1,1,320,100,23,97
LUG,2012,1,2,16,4.7,94.6,8.1,3.9,5.17,4.3,17.7,3,982.1,198,1.3,3.2,0,0,0,0,0,0,0,319,100,23,97
LUG,2012,1,2,17,4.4,96.2,8,3.8,5.11,4.1,17.2,3.7,982.2,180,0.9,3.4,0,0,0,0,0,0,0,318,100,23,97
LUG,2012,1,2,18,4.6,96.6,8.2,4.1,5.24,4.4,17.8,1.3,981.4,207,0.6,2.7,0,0,0,0,0,0,0,318,100,23,97
LUG,2012,1,2,19,4.9,94.2,8.2,4,5.24,4.5,18.1,0,982.2,166,1,3.9,0,0,0,0,0,0,0,317,100,23,97
LUG,2012,1,2,20,4.9,93,8.1,3.9,5.17,4.4,17.9,0,982.4,188,1.6,5,0,0,0,0,0,0,0,316,100,23,97
LUG,2012,1,2,21,4.7,92.8,7.9,3.6,5.04,4.2,17.4,0,982.5,190,1.2,5.4,0,0,0,0,0,0,0,315,100,23,97
LUG,2012,1,2,22,4.4,94.9,8,3.7,5.11,4.1,17.2,0,982.5,225,0.4,1.7,0,0,0,0,0,0,0,312,100,23,97
LUG,2012,1,2,23,4.8,92.5,8,3.7,5.11,4.3,17.6,0,982.3,239,0.7,3.2,0,0,0,0,0,0,0,309,100,23,97
LUG,2012,1,3,0,4.5,92.3,7.8,3.4,4.98,4,17,0,982.7,287,1.3,3.6,0,0,0,0,0,0,0,303,94,22,97
LUG,2012,1,3,1,4.1,92.4,7.6,3,4.84,3.6,16.3,0,983.6,310,0.8,2.2,0,0,0,0,0,0,0,279,39,22,97
LUG,2012,1,3,2,3.6,95.3,7.6,2.9,4.84,3.3,15.7,0,984.3,345,1.2,2.7,0,0,0,0,0,0,0,272,53,22,97
LUG,2012,1,3,3,3.1,96.9,7.4,2.7,4.71,2.9,14.9,0,984.4,352,0.8,2.4,0,0,0,0,0,0,0,257,6,22,97
LUG,2012,1,3,4,2.7,96.4,7.2,2.2,4.58,2.5,14.2,0,985.3,342,1,2.7,0,0,0,0,0,0,0,251,0,22,97
LUG,2012,1,3,5,2.9,94.3,7.1,2.1,4.51,2.6,14.2,0,986.1,135,0.8,3.6,0,0,0,0,0,0,0,248,0,22,97
LUG,2012,1,3,6,3.7,92.9,7.4,2.7,4.7,3.3,15.5,0,986.8,203,1.1,3.9,0,0,0,0,0,0,0,247,0,22,97
LUG,2012,1,3,7,3.5,93.8,7.4,2.6,4.7,3.1,15.3,0,987.6,281,0.5,2.8,15,0,15,11,11,11,11,253,0,22,97
LUG,2012,1,3,8,3.4,91.6,7.2,2.2,4.56,2.9,14.8,0,988.8,297,1.1,3.4,111,325,42,33,239,300,32,269,0,22,97
LUG,2012,1,3,9,4.8,84.4,7.2,2.4,4.56,3.7,16.2,0,989.6,45,0.8,2.1,268,703,70,48,395,684,47,273,0,22,97
LUG,2012,1,3,10,5.7,79.7,7.3,2.5,4.62,4.3,17.3,0,990.2,207,0.7,1.9,339,773,75,57,268,806,56,273,0,22,97
LUG,2012,1,3,11,6.9,71.3,7.1,2.1,4.49,4.7,18.2,0,990.1,194,0.5,2.1,361,802,73,59,98,850,112,276,13,22,97
LUG,2012,1,3,12,7.6,69.6,7.3,2.4,4.62,5.2,19.3,0,989.6,196,0.8,2.5,319,692,87,59,60,731,278,290,50,22,97
LUG,2012,1,3,13,8,65.4,7,1.9,4.43,5.2,19.2,0,989.8,149,0.6,1.8,242,604,81,51,51,591,373,278,39,22,97
LUG,2012,1,3,14,7.9,73.5,7.8,3.5,4.94,5.8,20.4,0,989.8,180,0.6,1.5,106,286,59,33,33,255,236,291,65,22,97
LUG,2012,1,3,15,7.5,71.4,7.4,2.7,4.69,5.3,19.3,0,989.7,254,0.7,2,22,83,15,8,8,65,74,293,75,22,97
LUG,2012,1,3,16,7.2,69.7,7.1,2,4.49,4.9,18.5,0,990.1,264,0.9,1.9,0,0,0,0,0,0,0,299,94,22,97
LUG,2012,1,3,17,6.6,75.4,7.4,2.6,4.68,4.8,18.4,0,990.4,360,0.6,1.7,0,0,0,0,0,0,0,300,100,22,97
LUG,2012,1,3,18,5.8,77.7,7.2,2.2,4.56,4.2,17.3,0,990.2,337,0.9,2,0,0,0,0,0,0,0,296,100,22,97
LUG,2012,1,3,19,5.3,75.6,6.8,1.3,4.3,3.6,16.1,0,990.2,8,0.7,1.6,0,0,0,0,0,0,0,292,71,22,97
LUG,2012,1,3,20,4.4,79.9,6.7,1.2,4.24,3,15,0,990.2,347,0.9,2.2,0,0,0,0,0,0,0,275,28,22,97
LUG,2012,1,3,21,3.9,80.1,6.5,0.8,4.11,2.6,14.2,0,989.6,349,1.1,2.2,0,0,0,0,0,0,0,279,60,22,97
LUG,2012,1,3,22,3.4,81,6.3,0.5,3.99,2.2,13.4,0,989.1,354,0.9,2,0,0,0,0,0,0,0,293,81,22,97
LUG,2012,1,3,23,2.9,83,6.3,0.3,3.99,1.8,12.9,0,988.4,350,1.1,2.7,0,0,0,0,0,0,0,297,94,22,97
LUG,2012,1,4,0,2.6,82.2,6.1,-0.1,3.87,1.5,12.3,0,987.6,342,1.3,2.8,0,0,0,0,0,0,0,297,100,22,97
LUG,2012,1,4,1,2.4,82.3,6,-0.3,3.8,1.3,11.9,0,987.2,355,1.1,2.7,0,0,0,0,0,0,0,295,100,22,97
LUG,2012,1,4,2,2.1,82.6,5.8,-0.5,3.68,1.1,11.3,0,986.5,356,1.5,3.3,0,0,0,0,0,0,0,272,31,22,97
LUG,2012,1,4,3,1.8,81.2,5.6,-1.1,3.56,0.7,10.7,0,985.4,347,1.3,2.2,0,0,0,0,0,0,0,259,0,22,97
LUG,2012,1,4,4,1.8,80.7,5.6,-1.2,3.56,0.6,10.7,0,984.5,336,1,2.9,0,0,0,0,0,0,0,260,0,22,97
LUG,2012,1,4,5,1.5,82.2,5.6,-1.2,3.56,0.5,10.4,0,984.1,347,1.3,2.5,0,0,0,0,0,0,0,261,0,22,97
LUG,2012,1,4,6,1.2,81.9,5.5,-1.5,3.5,0.2,9.9,0,983.5,356,1.6,3.4,0,0,0,0,0,0,0,276,30,22,97
LUG,2012,1,4,7,1.6,79.1,5.4,-1.6,3.44,0.4,10.2,0,983,350,1.2,2.4,13,0,13,8,8,8,8,290,78,22,97
LUG,2012,1,4,8,2.6,73.8,5.5,-1.6,3.5,1,11.4,0,983.7,360,1,2.6,8,0,8,5,4,5,5,303,100,22,97
