station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
LUZSTA,2011,1,1,0,2.9,77.1,5.8,-0.7,3.76,1.4,12.3,0,966.9,360,0.7,1.9,0,0,0,0,0,0,0,245,100,40,96
LUZSTA,2011,1,1,1,3.1,77.2,5.9,-0.5,3.83,1.7,12.7,0,967.9,34,0.4,1,0,0,0,0,0,0,0,246,100,40,96
LUZSTA,2011,1,1,2,3.2,77,6,-0.4,3.85,1.8,12.9,0,968.5,27,0.3,1,0,0,0,0,0,0,0,246,81,40,96
LUZSTA,2011,1,1,3,3.4,76.7,6,-0.3,3.85,1.9,13,0,969.3,162,0.9,2.8,0,0,0,0,0,0,0,246,25,40,96
LUZSTA,2011,1,1,4,3.4,75.7,5.9,-0.5,3.82,1.9,13,0,969.6,158,1.1,2.3,0,0,0,0,0,0,0,246,25,40,96
LUZSTA,2011,1,1,5,3.3,74.8,5.8,-0.7,3.74,1.7,12.7,0,969.7,135,0.8,2.1,0,0,0,0,0,0,0,246,44,40,96
LUZSTA,2011,1,1,6,3.1,74.1,5.7,-1.1,3.65,1.4,12.2,0,969.9,162,2,3,0,0,0,0,0,0,0,249,71,40,96
LUZSTA,2011,1,1,7,2.9,73.9,5.6,-1.2,3.6,1.3,11.9,0,970.1,163,2.2,4.1,22,91,14,11,81,75,11,249,44,40,96
LUZSTA,2011,1,1,8,2.8,73.8,5.5,-1.4,3.55,1.1,11.7,0,970.2,162,2.1,3.4,132,422,65,49,341,384,49,257,29,40,96
LUZSTA,2011,1,1,9,3,71.2,5.4,-1.7,3.48,1.1,11.7,0,970.2,172,1.5,2.7,162,159,122,84,175,231,84,266,30,40,96
LUZSTA,2011,1,1,10,2.9,71.7,5.4,-1.7,3.48,1.1,11.6,0,969.8,158,1.6,3.1,146,27,138,93,103,120,93,273,81,40,96
LUZSTA,2011,1,1,11,2.8,72.2,5.4,-1.7,3.48,1,11.5,0,969.2,207,1.2,3.5,246,296,145,106,112,413,151,273,50,40,96
LUZSTA,2011,1,1,12,2.9,71.7,5.4,-1.7,3.49,1.1,11.6,0,968.5,216,0.9,2.1,318,750,82,84,84,817,321,264,25,40,96
LUZSTA,2011,1,1,13,3.2,70.2,5.4,-1.7,3.49,1.3,11.9,0,968.2,217,0.6,2,216,490,87,73,72,523,320,259,25,40,96
LUZSTA,2011,1,1,14,3.4,70.7,5.5,-1.4,3.55,1.5,12.3,0,967.9,163,1.1,2.4,74,75,63,44,44,103,97,263,61,40,96
LUZSTA,2011,1,1,15,3.4,71.8,5.6,-1.2,3.62,1.6,12.5,0,968.1,153,0.7,2,9,0,9,8,8,8,8,266,50,40,96
LUZSTA,2011,1,1,16,3.3,73.9,5.7,-0.9,3.68,1.6,12.5,0,968.4,340,1.5,4.1,0,0,0,0,0,0,0,258,34,40,96
LUZSTA,2011,1,1,17,3.6,70.8,5.6,-1.2,3.62,1.7,12.7,0,968.7,21,0.9,3.4,0,0,0,0,0,0,0,255,81,40,96
LUZSTA,2011,1,1,18,3.8,69.8,5.6,-1.2,3.62,1.8,12.9,0,968.5,72,0.8,4.4,0,0,0,0,0,0,0,255,44,40,96
LUZSTA,2011,1,1,19,3.5,70.2,5.5,-1.4,3.55,1.5,12.4,0,968.5,98,1.5,4.4,0,0,0,0,0,0,0,255,71,40,96
LUZSTA,2011,1,1,20,3.8,69.8,5.6,-1.2,3.62,1.8,12.9,0,968.5,56,0.7,3.1,0,0,0,0,0,0,0,254,100,40,96
LUZSTA,2011,1,1,21,2.7,78.3,5.8,-0.7,3.75,1.3,12.1,0,968.1,349,1.5,4.4,0,0,0,0,0,0,0,254,44,40,96
LUZSTA,2011,1,1,22,2.6,78.8,5.8,-0.7,3.75,1.3,12,0,967.5,346,1.3,3.2,0,0,0,0,0,0,0,254,71,40,96
LUZSTA,2011,1,1,23,2.1,80.5,5.7,-0.9,3.69,0.9,11.3,0,967.5,350,2.3,4.8,0,0,0,0,0,0,0,253,100,40,96
LUZSTA,2011,1,2,0,2.3,77.6,5.6,-1.2,3.62,0.9,11.4,0,967.5,344,1.5,3.6,0,0,0,0,0,0,0,293,100,38,96
LUZSTA,2011,1,2,1,3,73.8,5.6,-1.2,3.62,1.3,12.1,0,967.3,225,0.3,1.6,0,0,0,0,0,0,0,292,100,38,96
LUZSTA,2011,1,2,2,2,79.3,5.6,-1.2,3.62,0.7,11.1,0,967.4,360,2,4.2,0,0,0,0,0,0,0,291,100,38,96
LUZSTA,2011,1,2,3,2.1,78.7,5.6,-1.2,3.62,0.8,11.2,0,967.7,356,1.5,3.1,0,0,0,0,0,0,0,290,100,38,96
LUZSTA,2011,1,2,4,2.4,77.1,5.6,-1.2,3.62,1,11.5,0,967.7,360,0.7,1.6,0,0,0,0,0,0,0,288,100,38,96
LUZSTA,2011,1,2,5,1.7,81,5.6,-1.2,3.62,0.6,10.8,0,967.7,3,2.2,4.1,0,0,0,0,0,0,0,286,100,38,96
LUZSTA,2011,1,2,6,1.6,84.7,5.8,-0.7,3.75,0.7,11,0,967.7,10,1.2,3.2,0,0,0,0,0,0,0,283,100,38,96
LUZSTA,2011,1,2,7,2,82.3,5.8,-0.7,3.75,0.9,11.4,0,968.2,252,0.7,2.7,3,0,3,2,2,2,2,281,100,38,96
LUZSTA,2011,1,2,8,1.4,82.8,5.6,-1.2,3.62,0.4,10.4,0,968.6,351,1.8,3.9,15,0,15,10,10,10,10,278,100,38,96
LUZSTA,2011,1,2,9,1.4,82.8,5.6,-1.2,3.62,0.4,10.4,0,969.1,340,1.5,4.1,26,0,26,17,17,17,17,276,100,38,96
