station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
LUZ,2011,1,1,0,0.5,91.1,5.8,-0.8,3.77,0,10,0,964.5,360,0.7,1.9,0,0,0,0,0,0,0,254,25,43,97
LUZ,2011,1,1,1,0.8,91.2,5.9,-0.5,3.84,0.3,10.4,0,965.5,34,0.4,1,0,0,0,0,0,0,0,254,25,43,97
LUZ,2011,1,1,2,1,90.6,6,-0.4,3.86,0.4,10.6,0,966.1,27,0.3,1,0,0,0,0,0,0,0,254,25,43,97
LUZ,2011,1,1,3,1.2,89.5,6,-0.4,3.86,0.6,10.9,0,966.9,162,0.9,2.8,0,0,0,0,0,0,0,255,25,43,97
LUZ,2011,1,1,4,1.4,87.7,5.9,-0.5,3.83,0.6,10.9,0,967.2,158,1.1,2.3,0,0,0,0,0,0,0,254,25,43,97
LUZ,2011,1,1,5,1.4,85.8,5.8,-0.7,3.75,0.6,10.8,0,967.3,135,0.8,2.1,0,0,0,0,0,0,0,257,25,43,97
LUZ,2011,1,1,6,1.3,84.1,5.7,-1,3.66,0.4,10.5,0,967.5,162,2,3,0,0,0,0,0,0,0,255,46,43,97
LUZ,2011,1,1,7,1.3,83.2,5.6,-1.2,3.61,0.3,10.3,0,967.7,163,2.2,4.1,21,92,13,11,81,75,11,260,34,43,97
LUZ,2011,1,1,8,1.3,81.5,5.5,-1.5,3.56,0.2,10.2,0,967.8,162,2.1,3.4,131,400,63,50,321,373,50,254,20,43,97
LUZ,2011,1,1,9,1.6,79.5,5.4,-1.6,3.49,0.4,10.3,0,967.8,172,1.5,2.7,193,302,117,87,255,366,86,258,20,43,97
LUZ,2011,1,1,10,1.7,78.6,5.4,-1.6,3.49,0.4,10.4,0,967.4,158,1.6,3.1,190,102,158,111,148,214,109,265,69,43,97
LUZ,2011,1,1,11,1.8,77.1,5.4,-1.8,3.49,0.4,10.5,0,966.8,207,1.2,3.5,271,392,138,110,123,512,161,266,50,43,97
LUZ,2011,1,1,12,2.1,75.5,5.4,-1.8,3.5,0.6,10.8,0,966.1,216,0.9,2.1,307,665,97,92,92,751,308,262,29,43,97
LUZ,2011,1,1,13,2.3,75.3,5.4,-1.6,3.5,0.8,11.1,0,965.8,217,0.6,2,215,481,90,76,76,519,326,257,25,43,97
LUZ,2011,1,1,14,2.3,76.6,5.5,-1.4,3.56,0.8,11.2,0,965.5,163,1.1,2.4,61,50,53,47,47,88,82,264,44,43,97
LUZ,2011,1,1,15,1.9,80.4,5.6,-1.1,3.63,0.7,11,0,965.7,153,0.7,2,9,0,9,8,8,8,8,271,45,43,97
LUZ,2011,1,1,16,1.6,82.5,5.7,-1.1,3.69,0.5,10.8,0,966,340,1.5,4.1,0,0,0,0,0,0,0,267,29,43,97
LUZ,2011,1,1,17,1.5,81.3,5.6,-1.3,3.63,0.4,10.6,0,966.3,21,0.9,3.4,0,0,0,0,0,0,0,265,25,43,97
LUZ,2011,1,1,18,1.4,83.3,5.6,-1.1,3.63,0.4,10.5,0,966.1,72,0.8,4.4,0,0,0,0,0,0,0,268,25,43,97
LUZ,2011,1,1,19,1.4,82,5.5,-1.3,3.56,0.3,10.3,0,966.1,98,1.5,4.4,0,0,0,0,0,0,0,264,25,43,97
LUZ,2011,1,1,20,1.3,82.5,5.6,-1.3,3.63,0.3,10.4,0,966.1,56,0.7,3.1,0,0,0,0,0,0,0,264,25,43,97
LUZ,2011,1,1,21,0.7,90,5.8,-0.7,3.76,0.1,10.1,0,965.7,349,1.5,4.4,0,0,0,0,0,0,0,264,25,43,97
LUZ,2011,1,1,22,0.5,90.3,5.8,-0.9,3.76,0,9.9,0,965.1,346,1.3,3.2,0,0,0,0,0,0,0,263,29,43,97
LUZ,2011,1,1,23,0.4,91,5.7,-0.9,3.7,-0.1,9.6,0,965.1,350,2.3,4.8,0,0,0,0,0,0,0,263,25,43,97
LUZ,2011,1,2,0,0.3,90.3,5.6,-1.1,3.63,-0.2,9.4,0,965.1,344,1.5,3.6,0,0,0,0,0,0,0,292,19,41,97
LUZ,2011,1,2,1,0.4,89.2,5.6,-1.2,3.63,-0.2,9.5,0,964.9,225,0.3,1.6,0,0,0,0,0,0,0,292,25,41,97
LUZ,2011,1,2,2,0.3,89.3,5.6,-1.2,3.63,-0.3,9.4,0,965,360,2,4.2,0,0,0,0,0,0,0,291,25,41,97
LUZ,2011,1,2,3,0.2,90.9,5.6,-1.1,3.63,-0.3,9.3,0,965.3,356,1.5,3.1,0,0,0,0,0,0,0,289,25,41,97
LUZ,2011,1,2,4,0.2,90.2,5.6,-1.2,3.63,-0.3,9.3,0,965.3,360,0.7,1.6,0,0,0,0,0,0,0,288,19,41,97
LUZ,2011,1,2,5,0.1,91.3,5.6,-1.1,3.63,-0.4,9.2,0,965.3,3,2.2,4.1,0,0,0,0,0,0,0,286,44,41,97
LUZ,2011,1,2,6,-0.2,96,5.8,-0.8,3.76,-0.4,9.2,0,965.3,10,1.2,3.2,0,0,0,0,0,0,0,284,100,41,97
LUZ,2011,1,2,7,0,95,5.8,-0.7,3.76,-0.3,9.4,0,965.8,252,0.7,2.7,6,0,6,4,4,4,4,282,100,41,97
LUZ,2011,1,2,8,0,91.9,5.6,-1.2,3.63,-0.5,9,0,966.2,351,1.8,3.9,30,0,30,21,21,20,20,279,100,41,97
LUZ,2011,1,2,9,0,91,5.6,-1.3,3.62,-0.5,9,0,966.7,340,1.5,4.1,49,0,49,34,34,33,33,277,100,41,97
LUZ,2011,1,2,10,0.1,92.4,5.7,-1,3.69,-0.3,9.3,0.1,966.6,342,1,2.3,63,0,63,43,43,42,42,275,100,41,97
LUZ,2011,1,2,11,0.3,92.2,5.8,-0.8,3.76,-0.1,9.7,0,966.3,328,1,2.8,66,0,66,45,45,44,44,273,100,41,97
LUZ,2011,1,2,12,0.5,89.8,5.7,-1,3.69,-0.1,9.7,0,966.1,333,1.4,3.4,60,0,60,41,41,40,40,271,100,41,97
LUZ,2011,1,2,13,0.8,84.2,5.5,-1.6,3.56,-0.1,9.7,0,966.2,352,2.1,6,46,0,46,31,31,30,30,268,100,41,97
LUZ,2011,1,2,14,0.8,78.1,5,-2.6,3.23,-0.5,8.9,0,966.7,343,2.5,6.3,24,0,24,17,17,16,16,266,100,41,97
LUZ,2011,1,2,15,0.6,75.5,4.8,-3.2,3.1,-0.8,8.3,0,967.2,287,2.5,6,3,0,3,2,2,2,2,263,100,41,97
LUZ,2011,1,2,16,0.6,75.5,4.8,-3.2,3.1,-0.8,8.3,0,967.4,299,2,5.1,0,0,0,0,0,0,0,261,100,41,97
LUZ,2011,1,2,17,0.6,72.7,4.7,-3.7,3.04,-1,8.2,0,967.6,298,1.7,3.9,0,0,0,0,0,0,0,258,100,41,97
LUZ,2011,1,2,18,0.5,73.4,4.6,-3.7,2.97,-1,7.9,0,967.9,308,1.6,4.1,0,0,0,0,0,0,0,255,100,41,97
LUZ,2011,1,2,19,0.2,74.2,4.6,-3.8,2.97,-1.2,7.6,0,968.1,300,1.4,3.5,0,0,0,0,0,0,0,253,60,41,97
LUZ,2011,1,2,20,-0.3,77.6,4.6,-3.7,2.97,-1.5,7.1,0,968.3,295,1.4,3.4,0,0,0,0,0,0,0,251,16,41,97
LUZ,2011,1,2,21,-0.5,77.2,4.6,-4,2.97,-1.7,6.9,0,968.7,321,1.5,4.3,0,0,0,0,0,0,0,248,50,41,97
LUZ,2011,1,2,22,-0.9,78.3,4.5,-4.2,2.9,-2.1,6.3,0,968.8,331,1.3,3.5,0,0,0,0,0,0,0,246,94,41,97
LUZ,2011,1,2,23,-1,77.9,4.4,-4.4,2.84,-2.2,6.1,0,968.8,337,1.3,4.6,0,0,0,0,0,0,0,244,100,41,97
LUZ,2011,1,3,0,-1.3,78.4,4.4,-4.6,2.84,-2.4,5.8,0,968.6,326,0.7,2.7,0,0,0,0,0,0,0,242,80,36,97
LUZ,2011,1,3,1,-1.7,78.5,4.3,-4.9,2.77,-2.8,5.2,0,968.5,315,1.1,3.3,0,0,0,0,0,0,0,240,70,36,97
LUZ,2011,1,3,2,-1.6,76.4,4.2,-5.2,2.71,-2.8,5.1,0,968.6,320,0.8,2.2,0,0,0,0,0,0,0,238,78,36,97
LUZ,2011,1,3,3,-1.8,76.1,4.1,-5.4,2.64,-3,4.8,0,968.5,309,0.7,1.8,0,0,0,0,0,0,0,233,45,36,97
LUZ,2011,1,3,4,-2.1,78.3,4.1,-5.4,2.64,-3.2,4.5,0,968.5,355,1.2,2.4,0,0,0,0,0,0,0,222,36,36,97
LUZ,2011,1,3,5,-3,84.9,4.2,-5.2,2.71,-3.7,3.7,0,968.7,340,1.5,3.4,0,0,0,0,0,0,0,221,6,36,97
LUZ,2011,1,3,6,-3,82.4,4,-5.6,2.58,-3.8,3.4,0,968.7,347,1.4,2.8,0,0,0,0,0,0,0,217,13,36,97
LUZ,2011,1,3,7,-3.5,84.3,4,-5.8,2.58,-4.2,2.9,0,968.6,339,1.7,2.9,25,100,16,11,89,81,11,221,25,36,97
LUZ,2011,1,3,8,-3.6,85.4,4,-5.7,2.58,-4.3,2.8,0,968.7,352,1.5,3.5,146,510,62,45,397,451,46,218,13,36,97
LUZ,2011,1,3,9,-3.1,83.7,4.1,-5.5,2.64,-3.9,3.4,0,968.9,353,2.4,4.4,247,602,87,69,373,625,70,225,6,36,97
LUZ,2011,1,3,10,-2.3,79.6,4.1,-5.3,2.64,-3.3,4.3,0,968.7,335,1.4,2.9,352,797,94,83,325,875,87,223,19,36,97
LUZ,2011,1,3,11,-1.7,76.4,4.1,-5.3,2.65,-2.9,4.9,0,968.1,342,1.4,2.9,356,790,86,83,129,879,142,229,0,36,97
LUZ,2011,1,3,12,-1.3,74.6,4.1,-5.2,2.65,-2.6,5.3,0,967.5,322,1.1,2.6,313,648,105,86,86,729,288,233,23,36,97
LUZ,2011,1,3,13,-0.6,71.6,4.2,-5.1,2.71,-2.1,6.1,0,967.6,283,1.4,3.6,102,72,82,54,54,123,90,234,70,36,97
LUZ,2011,1,3,14,-1,69.2,4,-5.9,2.58,-2.6,5.4,0,967.6,124,0.9,2.5,30,4,30,20,20,22,22,236,78,36,97
LUZ,2011,1,3,15,-0.8,71.3,4.1,-5.3,2.65,-2.3,5.8,0,967.6,14,1.7,4.2,4,0,4,3,3,3,3,228,50,36,97
LUZ,2011,1,3,16,-1,71.6,4.1,-5.5,2.65,-2.5,5.6,0,967.3,346,1.6,3.8,0,0,0,0,0,0,0,226,43,36,97
LUZ,2011,1,3,17,-1,71.5,4.1,-5.5,2.65,-2.5,5.6,0,967.1,5,1.1,2.5,0,0,0,0,0,0,0,224,33,36,97
LUZ,2011,1,3,18,-1.2,73.5,4.1,-5.3,2.65,-2.6,5.4,0,967,344,1.5,3,0,0,0,0,0,0,0,222,51,36,97
LUZ,2011,1,3,19,-1.5,74.5,4.1,-5.4,2.65,-2.8,5.1,0,966.8,337,1.3,3,0,0,0,0,0,0,0,222,29,36,97
LUZ,2011,1,3,20,-1.8,75.1,4,-5.6,2.58,-3.1,4.6,0,966.6,351,2,4.4,0,0,0,0,0,0,0,224,33,36,97
LUZ,2011,1,3,21,-2.2,75.6,3.9,-5.9,2.52,-3.4,4.1,0,966.5,349,2.1,4,0,0,0,0,0,0,0,229,64,36,97
LUZ,2011,1,3,22,-2.4,78.8,4,-5.6,2.58,-3.5,4,0,966.6,351,1.3,2.8,0,0,0,0,0,0,0,233,88,36,97
