station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
MAG,2016,1,1,0,-0.6,89.5,5.3,-2.1,3.34,-1.1,7.7,0,1002.5,27,0.3,0.7,0,0,0,0,0,0,0,317,94,25,96
MAG,2016,1,1,1,0.3,90.2,5.7,-1.1,3.56,-0.3,9.2,0,1002.4,108,0.4,1.3,0,0,0,0,0,0,0,306,75,25,96
MAG,2016,1,1,2,0.9,90,5.9,-0.5,3.71,0.4,10.2,0,1002.4,90,0.3,1,0,0,0,0,0,0,0,290,13,25,96
MAG,2016,1,1,3,1.5,90,6.2,0.1,3.85,0.9,11.1,0,1002.3,98,0.7,2.2,0,0,0,0,0,0,0,280,0,25,96
MAG,2016,1,1,4,1.9,89.3,6.3,0.3,3.91,1.3,11.7,0,1002.3,90,1.1,2.7,0,0,0,0,0,0,0,278,0,25,96
MAG,2016,1,1,5,2,88.3,6.2,0.3,3.9,1.3,11.8,0,1002.3,90,1.1,2.1,0,0,0,0,0,0,0,289,38,25,96
MAG,2016,1,1,6,2.1,87.4,6.2,0.2,3.88,1.3,11.8,0,1002.4,72,0.7,1.7,0,0,0,0,0,0,0,278,10,25,96
MAG,2016,1,1,7,2.3,86.4,6.2,0.3,3.89,1.5,12,0,1002.5,90,0.4,1.8,14,0,14,10,10,10,10,276,0,25,96
MAG,2016,1,1,8,2.6,84.8,6.3,0.3,3.93,1.7,12.4,0,1002.6,85,1.1,2.1,78,26,72,42,60,65,44,285,16,25,96
MAG,2016,1,1,9,3.3,81.8,6.3,0.5,3.93,2.1,13.2,0,1002.7,106,0.8,1.8,144,84,119,65,109,146,68,282,50,25,96
MAG,2016,1,1,10,4.5,77.5,6.5,0.9,4.06,3,14.7,0,1002.3,90,0.7,1.6,311,640,94,68,231,696,67,279,25,25,96
MAG,2016,1,1,11,5.3,71.3,6.4,0.5,4,3.3,15.4,0,1001.4,186,1,1.8,361,831,67,65,99,882,117,280,0,25,96
MAG,2016,1,1,12,5.7,70.7,6.5,0.8,4.07,3.6,15.9,0,1000.8,202,1.6,2.5,317,740,74,61,60,774,291,290,13,25,96
