station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
NAP,1999,1,1,0,0,48.5,2.8,-10.2,2.08,-3.5,5.2,0,849.1,138,4.5,6.7,0,0,0,0,0,0,0,264,88,28,97
NAP,1999,1,1,1,1.9,43.6,2.9,-9.7,2.16,-2.2,7.3,0,850.1,141,4.5,7.6,0,0,0,0,0,0,0,268,100,28,97
NAP,1999,1,1,2,3.1,40.7,3,-9.3,2.21,-1.3,8.6,0,850.8,151,3.7,6.2,0,0,0,0,0,0,0,256,60,28,97
NAP,1999,1,1,3,4.3,37.7,3.1,-9,2.26,-0.5,10,0,851.7,155,3,5.6,0,0,0,0,0,0,0,269,100,28,97
NAP,1999,1,1,4,4.9,36.4,3.1,-8.8,2.29,-0.1,10.6,0,852.2,190,3.5,6.7,0,0,0,0,0,0,0,269,100,28,97
NAP,1999,1,1,5,4.9,36.4,3.1,-8.8,2.3,-0.1,10.7,0,852.5,178,2.8,5.8,0,0,0,0,0,0,0,269,100,28,97
NAP,1999,1,1,6,4.9,36.4,3.1,-8.8,2.3,-0.1,10.7,0,852.8,162,3.8,6.2,0,0,0,0,0,0,0,270,100,28,97
NAP,1999,1,1,7,5.1,36.1,3.2,-8.8,2.31,0,10.9,0,853.2,174,3.9,5.9,12,4,12,7,11,10,7,271,100,28,97
NAP,1999,1,1,8,5.7,34.4,3.2,-8.8,2.34,0.3,11.6,0,853.7,175,3.7,6.5,17,0,17,11,11,11,11,273,100,28,97
NAP,1999,1,1,9,5.3,35.9,3.2,-8.6,2.34,0.2,11.2,0,854.3,176,3,5.3,50,0,50,32,32,31,32,274,100,28,97
NAP,1999,1,1,10,5.7,34.3,3.1,-8.8,2.26,0.3,11.4,0,854.6,148,1.3,3.8,90,1,90,58,58,57,58,275,100,28,97
NAP,1999,1,1,11,5.6,36.2,3.3,-8.2,2.41,0.4,11.7,0,854.6,176,1.4,3.8,196,106,160,101,102,212,121,276,100,28,97
NAP,1999,1,1,12,6.4,36.6,3.5,-7.4,2.56,1.1,12.8,0,854.5,159,1.7,4.7,222,210,155,96,96,312,174,277,100,28,97
NAP,1999,1,1,13,6,36.8,3.5,-7.6,2.56,0.8,12.4,0,854.5,146,1.5,3.6,75,1,75,48,48,47,48,276,100,28,97
NAP,1999,1,1,14,5.5,36.6,3.3,-8.2,2.41,0.4,11.6,0,854.6,127,1.5,4.6,15,0,15,10,9,9,10,275,100,28,97
NAP,1999,1,1,15,4.9,37.5,3.3,-8.4,2.41,0,11,0,855,97,1,2.6,1,0,1,1,1,1,1,274,100,28,97
