station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
NEU,2013,1,1,0,0.8,90.9,5.9,-0.5,3.86,0.3,10.4,0,956.2,90,0.3,0.9,0,0,0,0,0,0,0,292,100,22,98
NEU,2013,1,1,1,0.7,92,6,-0.4,3.93,0.3,10.5,0,955.9,333,0.5,2,0,0,0,0,0,0,0,295,100,22,98
NEU,2013,1,1,2,0.9,93.4,6.1,0,4,0.5,10.9,0,955.6,76,0.5,1.4,0,0,0,0,0,0,0,298,100,22,98
NEU,2013,1,1,3,0.7,94.6,6.1,-0.1,4,0.4,10.7,0,955.3,58,1,2.1,0,0,0,0,0,0,0,300,100,22,98
NEU,2013,1,1,4,0.8,92.2,5.9,-0.3,3.87,0.4,10.5,0,955.2,57,1.7,3.1,0,0,0,0,0,0,0,302,100,22,98
NEU,2013,1,1,5,1.4,91.7,6.2,0.2,4.06,0.9,11.6,0,955.1,180,0.8,3.5,0,0,0,0,0,0,0,304,100,22,98
NEU,2013,1,1,6,1.8,92.9,6.5,0.8,4.26,1.4,12.5,0,954.9,162,0.5,1.3,0,0,0,0,0,0,0,308,100,22,98
NEU,2013,1,1,7,4,79.6,6.5,0.8,4.26,2.6,14.7,0,955,248,3.3,7.3,7,7,7,4,10,9,4,311,100,22,98
NEU,2013,1,1,8,5.6,69.6,6.3,0.5,4.13,3.4,16,0,955.1,256,4.7,9.9,24,6,23,13,18,19,13,314,100,22,98
NEU,2013,1,1,9,5.7,80,7.3,2.5,4.79,4.2,17.7,0.2,955.4,254,6.1,15.1,36,0,36,19,22,22,20,317,100,22,98
NEU,2013,1,1,10,6.2,80.5,7.6,3.1,4.99,4.8,18.7,0.3,955.6,246,7.1,17.3,28,0,28,15,17,17,16,320,100,22,98
NEU,2013,1,1,11,6,82.8,7.7,3.3,5.05,4.7,18.7,0.1,955.5,238,7.1,14.3,23,0,23,13,14,14,13,323,100,22,98
NEU,2013,1,1,12,6,86.9,8.1,4,5.32,5.1,19.4,0.8,955.6,243,5.6,11.8,20,0,20,11,12,12,11,325,100,22,98
NEU,2013,1,1,13,5.9,89.5,8.3,4.3,5.45,5.1,19.6,0.5,955.7,241,5,11.8,13,0,13,7,8,8,7,325,100,22,98
NEU,2013,1,1,14,5.8,91,8.4,4.4,5.51,5.1,19.7,0.6,956,238,5.1,10.8,7,0,7,4,4,4,4,325,100,22,98
NEU,2013,1,1,15,5.5,92.7,8.4,4.4,5.51,5,19.4,0.4,956.3,239,4.4,9.3,1,0,1,1,1,1,1,325,100,22,98
NEU,2013,1,1,16,5.5,92,8.3,4.3,5.44,4.9,19.2,0.1,956.6,241,4.3,10.1,0,0,0,0,0,0,0,325,100,22,98
NEU,2013,1,1,17,5.3,91.3,8.2,4,5.38,4.7,18.8,0,956.9,239,4.3,9.1,0,0,0,0,0,0,0,325,100,22,98
NEU,2013,1,1,18,5.1,92.4,8.1,4,5.31,4.6,18.4,0.1,957.1,243,4.2,8.3,0,0,0,0,0,0,0,324,100,22,98
NEU,2013,1,1,19,5.1,90.5,8,3.7,5.24,4.4,18.3,0,957.6,256,4.5,8.3,0,0,0,0,0,0,0,324,100,22,98
NEU,2013,1,1,20,4.9,91.3,7.9,3.6,5.17,4.3,17.9,0.1,958.1,257,3.8,8.7,0,0,0,0,0,0,0,323,100,22,98
NEU,2013,1,1,21,4.9,91.6,7.9,3.6,5.17,4.3,17.9,0.1,958.5,262,3,7.2,0,0,0,0,0,0,0,321,100,22,98
NEU,2013,1,1,22,4.8,87.6,7.6,2.9,4.97,3.9,17.3,0,959.2,261,2.5,5.6,0,0,0,0,0,0,0,319,100,22,98
NEU,2013,1,1,23,4.8,78.3,6.7,1.3,4.37,3.3,15.8,0.1,960,252,2.6,6.5,0,0,0,0,0,0,0,317,100,22,98
NEU,2013,1,2,0,4.7,74.5,6.3,0.6,4.11,2.9,15,0,960.7,252,2,6.1,0,0,0,0,0,0,0,309,90,25,98
NEU,2013,1,2,1,3.8,75.9,6.1,-0.1,3.97,2.2,13.8,0,961.5,292,2.7,6.7,0,0,0,0,0,0,0,283,53,25,98
NEU,2013,1,2,2,3.5,71.4,5.6,-1.2,3.64,1.6,12.6,0,962.3,286,2.2,5.9,0,0,0,0,0,0,0,275,48,25,98
NEU,2013,1,2,3,2.4,77.4,5.6,-1.1,3.64,1,11.5,0,963,293,1.4,4.1,0,0,0,0,0,0,0,272,29,25,98
NEU,2013,1,2,4,1.8,81.2,5.6,-1.1,3.64,0.6,10.9,0,963.6,305,1.3,3.3,0,0,0,0,0,0,0,270,25,25,98
NEU,2013,1,2,5,1.3,82.9,5.5,-1.3,3.57,0.3,10.2,0,964,335,1.5,2.8,0,0,0,0,0,0,0,267,29,25,98
NEU,2013,1,2,6,1.2,82.7,5.5,-1.4,3.57,0.2,10.1,0,964.6,330,2.2,3.8,0,0,0,0,0,0,0,265,81,25,98
NEU,2013,1,2,7,1.9,79.5,5.6,-1.3,3.63,0.6,11,0,965.7,342,0.8,3.3,15,82,9,5,69,61,5,282,94,25,98
NEU,2013,1,2,8,2.5,80.3,5.9,-0.5,3.82,1.3,12.1,0,966.7,54,0.9,2.3,94,220,63,35,196,208,36,289,75,25,98
NEU,2013,1,2,9,3.3,82.4,6.4,0.6,4.14,2.2,13.7,0,967.8,99,0.7,2.4,127,119,94,52,119,172,54,279,71,25,98
NEU,2013,1,2,10,3.8,84.3,6.8,1.4,4.4,2.8,14.8,0,968.1,99,0.8,3.5,207,183,149,83,157,277,85,292,68,25,98
NEU,2013,1,2,11,3.8,84.8,6.8,1.5,4.4,2.8,14.8,0,968,117,0.9,2.4,214,176,154,86,97,278,116,287,63,25,98
NEU,2013,1,2,12,4.5,75.4,6.3,0.5,4.07,2.8,14.7,0,968.3,117,0.9,2.1,252,388,130,76,80,464,212,277,50,25,98
NEU,2013,1,2,13,5.3,57.5,5.1,-2.4,3.29,2.2,13.6,0,968.7,356,2.9,8.1,110,56,94,52,57,112,81,281,65,25,98
NEU,2013,1,2,14,5.5,52.8,4.8,-3.4,3.1,2,13.3,0,969.2,2,2.6,8,91,238,58,33,35,215,206,277,68,25,98
NEU,2013,1,2,15,4.9,55,4.8,-3.4,3.09,1.7,12.7,0,969.7,19,2.1,5.6,24,135,14,8,8,99,113,264,29,25,98
NEU,2013,1,2,16,4,58.1,4.7,-3.5,3.03,1.1,11.6,0,970.5,351,3.6,7.1,0,0,0,0,0,0,0,260,25,25,98
NEU,2013,1,2,17,3.5,59.1,4.6,-3.7,2.96,0.8,10.9,0,971.3,21,2.1,7.1,0,0,0,0,0,0,0,258,25,25,98
NEU,2013,1,2,18,3.2,61.2,4.7,-3.5,3.02,0.7,10.8,0,972.1,356,2.9,6.2,0,0,0,0,0,0,0,256,41,25,98
NEU,2013,1,2,19,2.5,66.6,4.9,-3.1,3.15,0.4,10.4,0,972.8,4,1.5,3.3,0,0,0,0,0,0,0,255,38,25,98
