station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
PIO,2012,1,1,0,1.1,92.7,6.2,0,4.28,0.6,11.8,0,904.7,288,3.1,7.9,0,0,0,0,0,0,0,233,19,52,97
PIO,2012,1,1,1,1.8,92,6.4,0.6,4.46,1.3,13,0,904.5,45,0.6,4,0,0,0,0,0,0,0,240,48,52,97
PIO,2012,1,1,2,2.2,91.9,6.6,1,4.57,1.7,13.6,0,904.4,104,0.5,2.6,0,0,0,0,0,0,0,232,43,52,97
PIO,2012,1,1,3,2.6,91.5,6.8,1.3,4.68,2,14.3,0,904.4,90,0.6,2.3,0,0,0,0,0,0,0,240,43,52,97
PIO,2012,1,1,4,2.7,91.9,6.8,1.5,4.72,2.2,14.5,0,904.6,63,0.4,2.4,0,0,0,0,0,0,0,236,19,52,97
PIO,2012,1,1,5,2.6,92,6.8,1.4,4.68,2.1,14.3,0,905,90,0.6,2.1,0,0,0,0,0,0,0,242,65,52,97
PIO,2012,1,1,6,2.4,92.3,6.7,1.3,4.64,1.9,14,0,905.3,45,0.2,1.1,0,0,0,0,0,0,0,239,61,52,97
PIO,2012,1,1,7,2.1,92.6,6.6,1,4.55,1.6,13.5,0,905.9,315,0.2,0.9,16,36,14,13,42,37,13,237,48,52,97
PIO,2012,1,1,8,1.8,92.6,6.4,0.7,4.42,1.3,12.9,0,906.6,297,0.3,1.6,84,219,53,67,221,232,63,244,38,52,97
PIO,2012,1,1,9,1.6,91.2,6.3,0.3,4.35,1,12.5,0,906.8,270,0.4,2.7,89,0,89,106,103,104,104,258,81,52,97
PIO,2012,1,1,10,3.7,84.2,6.7,1.3,4.63,2.6,15.3,0,906.9,270,1.3,3.8,130,0,130,124,125,125,125,261,94,52,97
PIO,2012,1,1,11,4.6,80.5,6.8,1.5,4.7,3.2,16.4,0,906.2,273,1.8,3.4,122,0,122,88,93,92,93,262,100,52,97
PIO,2012,1,1,12,3.7,84.7,6.7,1.4,4.64,2.7,15.3,0,905.5,270,0.3,1.8,131,0,131,106,110,109,109,262,100,52,97
PIO,2012,1,1,13,3.3,85.9,6.7,1.2,4.64,2.4,14.9,0,905.3,297,0.5,1.9,96,0,96,69,73,72,73,259,100,52,97
PIO,2012,1,1,14,3.5,85.4,6.7,1.3,4.64,2.5,15.1,0,905.6,315,0.3,1.4,48,0,48,57,56,56,56,249,84,52,97
PIO,2012,1,1,15,1.6,89.7,6.1,0.1,4.22,1,12.1,0,905.9,0,0.5,2,10,0,10,9,9,9,9,253,88,52,97
PIO,2012,1,1,16,1.7,90.3,6.2,0.3,4.28,1.1,12.4,0,906.3,297,0.2,1.4,0,0,0,0,0,0,0,250,100,52,97
PIO,2012,1,1,17,1.3,90.8,6.1,0,4.21,0.8,11.8,0,906.9,360,0.2,1.4,0,0,0,0,0,0,0,248,100,52,97
PIO,2012,1,1,18,0.5,91.5,5.8,-0.7,4,0,10.5,0,907.1,297,0.2,0.9,0,0,0,0,0,0,0,238,84,52,97
PIO,2012,1,1,19,0.6,91.6,5.9,-0.6,4.07,0.1,10.8,0,907.5,297,0.2,1.1,0,0,0,0,0,0,0,247,100,52,97
PIO,2012,1,1,20,-0.2,92.6,5.6,-1.3,3.86,-0.6,9.4,0,907.7,360,0.2,1.3,0,0,0,0,0,0,0,246,100,52,97
PIO,2012,1,1,21,-0.8,94.1,5.4,-1.6,3.72,-1.1,8.5,0,907.8,90,0.2,1.5,0,0,0,0,0,0,0,246,100,52,97
PIO,2012,1,1,22,-0.8,93.1,5.4,-1.8,3.72,-1.2,8.5,0,907.8,288,0.5,2.1,0,0,0,0,0,0,0,245,100,52,97
PIO,2012,1,1,23,-0.6,92.7,5.4,-1.6,3.72,-1,8.7,0,907.6,45,0.4,1,0,0,0,0,0,0,0,245,100,52,97
PIO,2012,1,2,0,-0.1,92.7,5.7,-1.1,3.93,-0.5,9.7,0,907.4,45,0.5,1.8,0,0,0,0,0,0,0,245,100,52,97
PIO,2012,1,2,1,0.1,92.5,5.7,-1,3.93,-0.3,9.9,0,907.3,270,0.3,1,0,0,0,0,0,0,0,246,100,52,97
PIO,2012,1,2,2,0.3,92.5,5.8,-0.8,4,-0.1,10.3,0,906.9,0,0.1,0.8,0,0,0,0,0,0,0,247,100,52,97
PIO,2012,1,2,3,0.5,92.8,5.9,-0.5,4.08,0.1,10.7,0,906.1,90,0.2,0.9,0,0,0,0,0,0,0,249,100,52,97
PIO,2012,1,2,4,0.6,92.6,5.9,-0.5,4.08,0.1,10.8,0,905.5,360,0.2,1.2,0,0,0,0,0,0,0,250,100,52,97
PIO,2012,1,2,5,1.2,91,6.1,-0.1,4.22,0.7,11.7,0,905.3,360,0.6,1.8,0,0,0,0,0,0,0,251,100,52,97
PIO,2012,1,2,6,1.2,92.3,6.1,0.1,4.22,0.7,11.7,0.1,905.1,0,0.3,1.8,0,0,0,0,0,0,0,252,100,52,97
PIO,2012,1,2,7,1.4,92.6,6.2,0.3,4.29,0.9,12.1,0.2,905.2,63,0.4,1.8,12,2,12,8,11,10,9,253,100,52,97
PIO,2012,1,2,8,1.4,92.7,6.3,0.3,4.36,0.9,12.3,0.1,905,153,0.4,2.3,65,6,65,45,53,53,48,254,100,52,97
PIO,2012,1,2,9,1.1,93.4,6.2,0.2,4.29,0.7,11.8,0.2,904.7,180,0.5,1.4,113,0,113,82,87,86,87,255,100,52,97
PIO,2012,1,2,10,1.2,93.1,6.2,0.2,4.29,0.8,11.9,0.3,904.3,135,0.3,1.2,136,0,136,96,102,101,102,255,100,52,97
PIO,2012,1,2,11,1,93.8,6.2,0.1,4.3,0.6,11.7,0.4,903.5,108,0.4,1.5,142,0,142,99,105,104,105,256,100,52,97
