station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
PUY,1998,1,1,0,3.6,73.7,5.8,-0.6,3.8,1.9,13.2,0,961.4,35,1.6,2.8,0,0,0,0,0,0,0,299,50,19,98
PUY,1998,1,1,1,3.7,74.6,6,-0.4,3.87,2,13.5,0,961.6,23,1.5,2.8,0,0,0,0,0,0,0,316,100,19,98
PUY,1998,1,1,2,3.8,75.7,6.1,-0.1,3.95,2.2,13.7,0,961.8,13,1.4,2.5,0,0,0,0,0,0,0,309,80,19,98
PUY,1998,1,1,3,3.8,76.7,6.2,0.1,4.01,2.3,13.9,0,962,360,0.8,2.1,0,0,0,0,0,0,0,309,80,19,98
PUY,1998,1,1,4,3.9,77.2,6.2,0.3,4.06,2.4,14.1,0,962.3,11,1.1,2.3,0,0,0,0,0,0,0,316,100,19,98
PUY,1998,1,1,5,4,77.6,6.3,0.4,4.09,2.5,14.2,0,962.5,32,1,2.2,0,0,0,0,0,0,0,295,40,19,98
PUY,1998,1,1,6,3.9,78.4,6.3,0.5,4.11,2.5,14.2,0,962.7,27,1.5,2.5,0,0,0,0,0,0,0,310,80,19,98
PUY,1998,1,1,7,4.1,78.8,6.4,0.8,4.18,2.7,14.6,0,963.1,7,1.6,2.8,21,86,15,8,75,65,8,319,100,19,98
PUY,1998,1,1,8,4.1,77.2,6.3,0.5,4.09,2.6,14.4,0,963.6,34,0.8,1.8,131,434,58,31,331,374,32,306,55,19,98
PUY,1998,1,1,9,5.8,79.8,7.3,2.6,4.75,4.3,17.7,0,963.9,243,0.5,1.7,168,173,123,65,163,230,68,323,100,19,98
PUY,1998,1,1,10,6.2,81,7.6,3.2,4.94,4.8,18.6,0,963.8,219,0.7,2.4,240,314,135,72,165,394,74,321,88,19,98
PUY,1998,1,1,11,6.4,80.4,7.7,3.3,5.01,5,19,0,963.1,225,0.6,2,293,454,135,70,110,544,107,312,68,19,98
PUY,1998,1,1,12,6.3,80.8,7.7,3.3,5.02,4.9,18.9,0,962.6,198,0.6,2.2,136,92,105,55,56,155,87,321,88,19,98
PUY,1998,1,1,13,6.3,81.2,7.8,3.3,5.08,4.9,19.1,0,962.2,202,0.6,1.7,125,106,99,53,54,152,120,329,100,19,98
PUY,1998,1,1,14,6.3,80.8,7.7,3.3,5.02,4.9,18.9,0,961.9,225,0.3,1.6,9,0,9,5,5,5,5,328,100,19,98
PUY,1998,1,1,15,6.3,80.8,7.7,3.3,5.02,4.9,18.9,0,961.9,225,0.1,0.8,2,0,2,1,1,1,1,327,100,19,98
PUY,1998,1,1,16,6.2,80.7,7.6,3.1,4.95,4.8,18.7,0,961.7,315,0.3,1.6,0,0,0,0,0,0,0,326,100,19,98
PUY,1998,1,1,17,6.1,77.8,7.3,2.5,4.76,4.5,18.1,0,961.1,243,0.4,1.8,0,0,0,0,0,0,0,325,100,19,98
PUY,1998,1,1,18,6,77.5,7.2,2.4,4.7,4.4,17.8,0,960.9,207,0.3,1.7,0,0,0,0,0,0,0,324,100,19,98
PUY,1998,1,1,19,6.2,77.6,7.4,2.6,4.83,4.6,18.3,0,960.7,323,0.6,2.4,0,0,0,0,0,0,0,325,100,19,98
PUY,1998,1,1,20,7,82,8.2,4.1,5.36,5.6,20.5,0.5,960.4,297,0.7,3.1,0,0,0,0,0,0,0,326,100,19,98
PUY,1998,1,1,21,6.6,86.7,8.4,4.5,5.49,5.6,20.4,0.4,959.6,166,0.6,2.1,0,0,0,0,0,0,0,327,100,19,98
PUY,1998,1,1,22,7.1,85.6,8.6,4.9,5.63,6,21.3,0.4,958.7,8,1.5,2.5,0,0,0,0,0,0,0,328,100,19,98
PUY,1998,1,1,23,7.6,86.2,9,5.4,5.9,6.5,22.5,1.1,957.6,304,0.8,2.5,0,0,0,0,0,0,0,329,100,19,98
PUY,1998,1,2,0,7.6,87,9.1,5.6,5.97,6.6,22.6,0.7,956.9,288,0.6,2.8,0,0,0,0,0,0,0,330,100,19,98
PUY,1998,1,2,1,7.6,87.3,9.1,5.6,5.97,6.6,22.6,1.9,956.7,297,1.6,6.2,0,0,0,0,0,0,0,331,100,19,98
PUY,1998,1,2,2,7.8,87.9,9.3,5.9,6.11,6.8,23.2,1.8,956.5,285,2.3,6.6,0,0,0,0,0,0,0,331,100,19,98
PUY,1998,1,2,3,8.1,87,9.4,6.1,6.18,7.1,23.7,1.7,956,275,2.3,7,0,0,0,0,0,0,0,332,100,19,98
PUY,1998,1,2,4,8.3,86.3,9.4,6.1,6.18,7.2,23.9,1.1,955.6,275,1.5,4.8,0,0,0,0,0,0,0,333,100,19,98
PUY,1998,1,2,5,8.3,86.9,9.5,6.2,6.25,7.2,24.1,0,954.7,274,1.4,4.3,0,0,0,0,0,0,0,333,100,19,98
PUY,1998,1,2,6,8.7,83.3,9.4,6,6.19,7.3,24.3,0.1,953.8,305,1.3,6.2,0,0,0,0,0,0,0,334,100,19,98
PUY,1998,1,2,7,8.8,83.5,9.4,6.2,6.19,7.5,24.4,0.7,953.3,254,0.9,5,2,0,2,1,1,1,1,335,100,19,98
PUY,1998,1,2,8,9,80.4,9.2,5.8,6.06,7.4,24.3,0.5,953.3,266,3,13.1,9,0,9,5,5,5,5,335,100,19,98
PUY,1998,1,2,9,9,79.6,9.1,5.7,6,7.3,24.1,0,952.4,276,3.3,9.1,17,0,17,9,9,10,10,336,100,19,98
PUY,1998,1,2,10,9.3,69.8,8.2,4.1,5.41,6.8,23,0.1,950.7,135,1.8,9.9,83,14,78,42,49,59,45,337,100,19,98
PUY,1998,1,2,11,9.6,73.1,8.7,5,5.76,7.3,24.1,0,948.7,270,1.2,5.1,25,0,25,14,14,14,15,337,100,19,98
PUY,1998,1,2,12,9.7,74.4,8.9,5.4,5.9,7.5,24.6,0,947.4,267,1.8,7.9,23,0,23,12,13,13,13,338,100,19,98
PUY,1998,1,2,13,9.4,76.4,9,5.5,5.96,7.4,24.5,0.2,947.8,274,6.7,15.6,17,0,17,9,9,10,10,336,100,19,98
PUY,1998,1,2,14,8.6,86.9,9.7,6.5,6.43,7.5,24.8,2.7,948,276,6,12.3,9,0,9,5,5,5,5,335,100,19,98
PUY,1998,1,2,15,8.5,87.9,9.7,6.6,6.43,7.5,24.7,5.3,948.5,280,5.5,12.1,2,0,2,1,1,1,1,334,100,19,98
PUY,1998,1,2,16,8.1,84.1,9.1,5.6,6.01,6.9,23.3,2.6,950.8,251,5.1,14.5,0,0,0,0,0,0,0,333,100,19,98
PUY,1998,1,2,17,7.5,78.9,8.1,4.1,5.34,5.9,20.9,0,952.3,265,1.1,7.2,0,0,0,0,0,0,0,331,100,19,98
PUY,1998,1,2,18,8.1,73.5,7.9,3.7,5.2,6,21.2,0,953.7,229,2.2,9.7,0,0,0,0,0,0,0,330,100,19,98
PUY,1998,1,2,19,7.4,74.3,7.6,3.1,4.99,5.4,20,0.5,955.3,277,3.6,11.1,0,0,0,0,0,0,0,330,100,19,98
PUY,1998,1,2,20,7.1,74.7,7.5,2.9,4.92,5.2,19.5,0,955.9,260,2.3,7.2,0,0,0,0,0,0,0,323,88,19,98
PUY,1998,1,2,21,7.2,73.3,7.5,2.7,4.91,5.1,19.6,0,957,270,2.4,8.2,0,0,0,0,0,0,0,328,100,19,98
PUY,1998,1,2,22,7.1,73.7,7.4,2.7,4.84,5.1,19.3,0,958,284,0.9,6.5,0,0,0,0,0,0,0,321,88,19,98
PUY,1998,1,2,23,6.8,77.9,7.7,3.2,5.04,5.1,19.5,0,958.8,274,3.2,8.3,0,0,0,0,0,0,0,320,88,19,98
PUY,1998,1,3,0,6.6,80.3,7.8,3.5,5.1,5.1,19.4,0,959,279,2.5,8.5,0,0,0,0,0,0,0,320,88,19,98
PUY,1998,1,3,1,6.7,78.9,7.7,3.3,5.03,5.1,19.4,0,959.5,322,1.2,3.3,0,0,0,0,0,0,0,319,88,19,98
PUY,1998,1,3,2,6.5,80.7,7.8,3.4,5.1,5.1,19.3,0,959.9,291,1.5,4,0,0,0,0,0,0,0,324,100,19,98
PUY,1998,1,3,3,6.2,80.2,7.6,3,4.96,4.7,18.7,0,959.9,296,2.8,7.5,0,0,0,0,0,0,0,324,100,19,98
PUY,1998,1,3,4,6.1,81.5,7.6,3.2,4.96,4.8,18.6,0,960.1,300,2,6.4,0,0,0,0,0,0,0,315,80,19,98
PUY,1998,1,3,5,5.8,82.7,7.6,3.1,4.96,4.6,18.3,0,960.4,291,1.9,4.8,0,0,0,0,0,0,0,310,68,19,98
PUY,1998,1,3,6,5.7,82.8,7.6,3,4.96,4.5,18.2,0,959.8,286,1.5,5.4,0,0,0,0,0,0,0,324,100,19,98
PUY,1998,1,3,7,5.7,81.6,7.5,2.8,4.9,4.4,18,0,959.9,288,1.2,4,2,0,2,1,1,1,1,325,100,19,98
PUY,1998,1,3,8,6.2,78.4,7.5,2.7,4.9,4.6,18.5,0,960,270,1.8,6,9,0,9,5,5,5,5,326,100,19,98
PUY,1998,1,3,9,6.4,75.7,7.3,2.4,4.77,4.6,18.4,0,959.9,259,1.6,5.1,17,0,17,9,9,10,10,327,100,19,98
PUY,1998,1,3,10,6.6,74.6,7.3,2.4,4.77,4.7,18.6,0,959.7,267,1.8,6,23,0,23,12,13,13,13,328,100,19,98
PUY,1998,1,3,11,6.9,75.6,7.5,2.9,4.9,5,19.2,0.3,959.5,270,2.7,6.8,25,0,25,14,14,14,15,329,100,19,98
PUY,1998,1,3,12,6.8,78,7.7,3.2,5.03,5.1,19.5,0.2,959.3,263,2.6,8.4,23,0,23,12,13,13,13,331,100,19,98
PUY,1998,1,3,13,6.7,81.2,8,3.7,5.24,5.3,19.9,0,958.4,243,1.2,4.7,17,0,17,9,9,10,10,333,100,19,98
PUY,1998,1,3,14,6.7,85.3,8.4,4.4,5.5,5.6,20.6,0.5,957.6,274,1.5,4.9,9,0,9,5,5,5,5,336,100,19,98
PUY,1998,1,3,15,7,83.5,8.4,4.4,5.5,5.8,20.9,0.3,957.8,315,0.8,2.8,2,0,2,1,1,1,1,338,100,19,98
PUY,1998,1,3,16,7.6,80.8,8.4,4.5,5.51,6.1,21.5,0.1,956.9,31,1.5,4.7,0,0,0,0,0,0,0,340,100,19,98
PUY,1998,1,3,17,7.9,82.7,8.8,5.1,5.77,6.5,22.5,1.4,957,292,0.8,3.9,0,0,0,0,0,0,0,343,100,19,98
PUY,1998,1,3,18,8,87.3,9.3,6,6.11,7,23.4,1.2,956.5,284,1.7,6.9,0,0,0,0,0,0,0,344,100,19,98
PUY,1998,1,3,19,8.4,88,9.7,6.5,6.37,7.4,24.5,1.5,957.3,282,2,8.1,0,0,0,0,0,0,0,333,88,19,98
PUY,1998,1,3,20,9.4,87.3,10.3,7.4,6.76,8.4,26.5,0.6,958.4,276,3.8,12.5,0,0,0,0,0,0,0,340,100,19,98
PUY,1998,1,3,21,9.7,81.5,9.8,6.7,6.41,8.2,25.9,1.3,961,281,5.4,15.6,0,0,0,0,0,0,0,338,100,19,98
PUY,1998,1,3,22,9.4,70.3,8.3,4.3,5.41,6.9,23.1,0,962.3,244,2.5,11.2,0,0,0,0,0,0,0,336,100,19,98
PUY,1998,1,3,23,9.1,64.1,7.4,2.7,4.81,6.1,21.3,0,963.7,243,3.6,11.2,0,0,0,0,0,0,0,334,100,19,98
PUY,1998,1,4,0,8.3,59.6,6.5,0.9,4.22,5,18.9,0,964.7,234,1.8,8,0,0,0,0,0,0,0,333,100,21,98
PUY,1998,1,4,1,7.6,63.2,6.6,1.1,4.28,4.7,18.4,0,965.5,262,1.6,4.6,0,0,0,0,0,0,0,331,100,21,98
PUY,1998,1,4,2,7.1,67.6,6.8,1.5,4.41,4.6,18.2,0,965,279,1.8,4.8,0,0,0,0,0,0,0,329,100,21,98
PUY,1998,1,4,3,7,70.6,7.1,2,4.61,4.7,18.6,0,964.6,260,1.8,4.8,0,0,0,0,0,0,0,327,100,21,98
PUY,1998,1,4,4,6.8,65.4,6.5,0.8,4.22,4.2,17.4,0,964,252,0.7,2.9,0,0,0,0,0,0,0,325,100,21,98
PUY,1998,1,4,5,5.9,69.4,6.5,0.7,4.22,3.6,16.5,0,963.6,304,2.6,7.7,0,0,0,0,0,0,0,324,100,21,98
PUY,1998,1,4,6,5.4,70.2,6.3,0.4,4.09,3.3,15.7,0,963.5,312,1.5,5,0,0,0,0,0,0,0,322,100,21,98
PUY,1998,1,4,7,4.2,76,6.2,0.4,4.03,2.6,14.3,0,962.2,17,1.4,3.6,15,30,13,7,31,27,7,320,100,21,98
PUY,1998,1,4,8,5.3,70.6,6.3,0.4,4.1,3.2,15.6,0,962.6,360,1.8,3.5,105,169,78,42,164,178,44,313,100,21,98
PUY,1998,1,4,9,6.5,69.6,6.8,1.4,4.43,4.2,17.6,0,962.6,214,0.7,2,88,6,86,48,52,56,51,319,100,21,98
PUY,1998,1,4,10,6.7,68.6,6.7,1.3,4.36,4.3,17.7,0,961.5,159,0.9,2.5,157,61,136,75,96,143,79,324,100,21,98
PUY,1998,1,4,11,7.3,59.9,6.1,0,3.98,4.1,17.3,0,959.8,164,0.9,2.8,235,153,181,97,112,267,121,326,100,21,98
PUY,1998,1,4,12,7.1,62.3,6.3,0.4,4.12,4.2,17.5,0,958.2,248,0.6,2.9,251,296,154,83,84,387,198,326,100,21,98
PUY,1998,1,4,13,7.4,57.4,5.9,-0.5,3.86,4,17.1,0,957.6,214,0.8,2.7,216,363,118,63,63,405,264,293,68,21,98
PUY,1998,1,4,14,7.6,57.2,6,-0.3,3.92,4.2,17.5,0,957,261,0.7,4,61,20,57,32,33,50,47,326,100,21,98
PUY,1998,1,4,15,7.8,58.2,6.2,0.1,4.06,4.4,18,0,956.1,288,1.7,4.7,26,126,16,9,9,93,109,282,50,21,98
PUY,1998,1,4,16,8.1,55.9,6.1,-0.2,4,4.5,18.2,0,955.4,310,1.9,6.2,0,0,0,0,0,0,0,316,88,21,98
PUY,1998,1,4,17,8.7,56.2,6.3,0.5,4.13,5,19.1,0,954.7,276,1.2,5.5,0,0,0,0,0,0,0,326,100,21,98
PUY,1998,1,4,18,9,61.5,7,2,4.58,5.8,20.6,0.3,957.6,320,6.4,18.2,0,0,0,0,0,0,0,327,100,21,98
PUY,1998,1,4,19,8,72.1,7.7,3.3,5.03,5.8,20.7,0.4,959.2,293,6,18.6,0,0,0,0,0,0,0,312,80,21,98
PUY,1998,1,4,20,8.2,76.2,8.3,4.3,5.43,6.3,21.9,0,959.5,250,3.5,10.1,0,0,0,0,0,0,0,308,75,21,98
PUY,1998,1,4,21,9.1,69.8,8.1,3.9,5.3,6.6,22.5,0,959.6,250,4.1,11.9,0,0,0,0,0,0,0,309,75,21,98
PUY,1998,1,4,22,9.4,64,7.6,2.9,4.97,6.3,21.9,0,959.7,255,4.7,13.5,0,0,0,0,0,0,0,313,80,21,98
PUY,1998,1,4,23,9.4,57.1,6.7,1.3,4.37,5.7,20.4,0,960.6,251,5.3,14.8,0,0,0,0,0,0,0,329,100,21,98
PUY,1998,1,5,0,9.2,54.9,6.4,0.6,4.17,5.3,19.7,0,960.8,252,5.8,15.8,0,0,0,0,0,0,0,329,100,19,98
PUY,1998,1,5,1,9.1,55.3,6.4,0.6,4.17,5.3,19.6,0,961.2,255,5.2,13.8,0,0,0,0,0,0,0,327,100,19,98
