station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
REH,2013,1,1,0,3.7,87,7.1,1.5,4.61,2.6,15.3,0,964,135,0.2,0.9,0,0,0,0,0,0,0,276,88,28,97
REH,2013,1,1,1,1.7,90.5,6.4,0.1,4.14,0.9,12,0,962.4,270,0.3,0.9,0,0,0,0,0,0,0,283,100,28,97
REH,2013,1,1,2,0.4,92.8,5.9,-0.8,3.85,-0.1,10,0,961.4,104,0.5,1.3,0,0,0,0,0,0,0,289,100,28,97
REH,2013,1,1,3,-0.7,94.2,5.5,-1.6,3.57,-1.1,8.1,0,960.2,90,0.5,1.4,0,0,0,0,0,0,0,290,100,28,97
REH,2013,1,1,4,-1.2,94.6,5.3,-2,3.43,-1.5,7.3,0,959.5,90,0.4,1,0,0,0,0,0,0,0,291,100,28,97
REH,2013,1,1,5,-0.4,90.4,5.3,-1.8,3.47,-0.9,8.2,0,959.3,90,0.4,1.1,0,0,0,0,0,0,0,293,100,28,97
REH,2013,1,1,6,0.3,87.7,5.4,-1.6,3.52,-0.4,9.1,0,959.2,101,0.5,1.3,0,0,0,0,0,0,0,295,100,28,97
REH,2013,1,1,7,2.1,78.1,5.4,-1.5,3.54,0.7,10.9,0,959.2,238,2.2,6.3,2,0,2,1,1,1,1,300,100,28,97
REH,2013,1,1,8,4.6,64.4,5.5,-1.5,3.59,2.1,13.6,0,959.4,245,4.3,7.6,15,0,15,10,10,10,10,307,100,28,97
REH,2013,1,1,9,5.4,58.7,5.3,-2,3.45,2.4,14.1,0,959.6,242,2.6,5.8,78,9,75,47,52,56,47,313,100,28,97
REH,2013,1,1,10,6,58.2,5.5,-1.6,3.59,2.9,15,0,959.5,239,2.7,6.9,35,0,35,22,22,22,22,318,100,28,97
REH,2013,1,1,11,6.3,63,6,-0.2,3.91,3.5,16.2,0,959.4,236,2.6,7.3,48,0,48,30,30,30,30,321,100,28,97
REH,2013,1,1,12,6.5,64.9,6.3,0.4,4.11,3.9,16.9,0,959.4,212,1.9,5.4,24,0,24,15,15,15,15,323,100,28,97
REH,2013,1,1,13,6.4,74.6,7.2,2.2,4.7,4.5,18.2,0.1,959.9,219,2.5,8.5,18,0,18,11,11,11,11,323,100,28,97
REH,2013,1,1,14,5.9,82.9,7.7,3.2,5.03,4.7,18.5,0.4,960.5,219,2.9,6.6,6,0,6,4,4,4,4,323,100,28,97
REH,2013,1,1,15,5.5,87.2,7.9,3.5,5.16,4.6,18.5,0.7,960.8,224,2.8,7,1,0,1,0,0,0,0,323,100,28,97
REH,2013,1,1,16,5.3,86.3,7.7,3.2,5.03,4.3,17.9,0.8,960.8,211,2.6,6.2,0,0,0,0,0,0,0,323,100,28,97
REH,2013,1,1,17,5.2,87.2,7.7,3.2,5.02,4.3,17.8,0.5,961,229,2.2,4.7,0,0,0,0,0,0,0,323,100,28,97
REH,2013,1,1,18,5.2,87.7,7.8,3.3,5.09,4.3,18,0.2,961.4,228,2.6,6.2,0,0,0,0,0,0,0,323,100,28,97
REH,2013,1,1,19,5.2,88.6,7.9,3.5,5.15,4.4,18.1,0.5,961.8,192,2,5.3,0,0,0,0,0,0,0,320,88,28,97
REH,2013,1,1,20,5.3,86.6,7.7,3.3,5.02,4.4,17.9,0.1,962,213,2.4,8.7,0,0,0,0,0,0,0,323,100,28,97
REH,2013,1,1,21,5.3,86.2,7.7,3.2,5.02,4.3,17.9,1.2,962.6,233,4.3,8,0,0,0,0,0,0,0,322,100,28,97
REH,2013,1,1,22,5,90.4,7.9,3.6,5.14,4.4,17.9,0.2,963.3,244,3.9,7.5,0,0,0,0,0,0,0,322,100,28,97
REH,2013,1,1,23,4.7,90.7,7.8,3.3,5.07,4.1,17.4,0,964,263,2.5,5.4,0,0,0,0,0,0,0,321,100,28,97
REH,2013,1,2,0,4.4,88.2,7.4,2.6,4.81,3.6,16.5,0,964.6,272,2.6,5.9,0,0,0,0,0,0,0,319,100,29,97
REH,2013,1,2,1,4.2,89.6,7.4,2.6,4.8,3.5,16.3,0.1,965.7,266,3.1,6.4,0,0,0,0,0,0,0,316,100,29,97
REH,2013,1,2,2,4.1,90.4,7.4,2.7,4.8,3.5,16.1,0,966.7,251,2.5,4.8,0,0,0,0,0,0,0,312,100,29,97
REH,2013,1,2,3,3.8,90.3,7.3,2.4,4.73,3.2,15.7,0,967.5,243,1.8,4,0,0,0,0,0,0,0,308,100,29,97
REH,2013,1,2,4,3.3,88.8,6.8,1.6,4.4,2.6,14.3,0.1,968.1,267,2.1,4.3,0,0,0,0,0,0,0,294,79,29,97
REH,2013,1,2,5,2.4,91.7,6.7,1.2,4.33,1.9,13.2,0,968.6,270,1,2.3,0,0,0,0,0,0,0,285,31,29,97
REH,2013,1,2,6,1,96,6.3,0.4,4.07,0.8,11.2,0,969.5,90,0.3,0.9,0,0,0,0,0,0,0,276,13,29,97
REH,2013,1,2,7,0.2,98.5,6.1,0,3.93,0.1,10,0,970.6,90,0.3,0.9,23,140,13,8,116,103,8,273,13,29,97
REH,2013,1,2,8,0.1,98.5,6,-0.1,3.86,0,9.7,0,971.6,90,0.3,1,94,261,59,37,225,237,37,275,45,29,97
REH,2013,1,2,9,2.4,91.9,6.7,1.2,4.31,1.9,13.2,0,972.6,297,0.3,1.2,104,169,65,43,139,190,43,298,68,29,97
REH,2013,1,2,10,3,87.5,6.6,1.1,4.25,2.2,13.6,0,973.1,270,0.4,1.9,154,117,116,72,107,194,72,303,70,29,97
REH,2013,1,2,11,3.8,80.7,6.5,0.8,4.18,2.5,14.3,0,973,299,1,3.4,274,384,146,91,126,494,121,297,43,29,97
REH,2013,1,2,12,4.5,76.9,6.5,0.8,4.18,2.9,15,0,973.2,284,2,4.1,324,794,77,63,62,837,311,291,36,29,97
REH,2013,1,2,13,4.9,69.8,6,-0.1,3.86,2.8,14.6,0,973.7,264,1.1,2.9,189,359,95,63,63,396,241,286,59,29,97
REH,2013,1,2,14,4.9,69.4,6,-0.2,3.85,2.8,14.6,0,974.4,153,0.7,1.8,107,334,60,38,38,297,276,276,39,29,97
REH,2013,1,2,15,3.9,74.2,6,-0.3,3.85,2.2,13.6,0,975,225,0.5,1.7,10,39,7,4,4,31,35,273,6,29,97
REH,2013,1,2,16,1.7,85.8,5.9,-0.4,3.78,0.9,11.2,0,975.8,284,0.5,1.4,0,0,0,0,0,0,0,256,0,29,97
REH,2013,1,2,17,0.3,93.3,5.8,-0.7,3.72,-0.1,9.6,0,976.5,117,0.2,0.9,0,0,0,0,0,0,0,249,0,29,97
REH,2013,1,2,18,-0.5,95.4,5.6,-1.1,3.58,-0.7,8.4,0,977.4,297,0.3,0.9,0,0,0,0,0,0,0,244,0,29,97
REH,2013,1,2,19,-1,97.3,5.6,-1.4,3.58,-1.2,7.9,0,977.9,180,0.2,0.6,0,0,0,0,0,0,0,243,0,29,97
REH,2013,1,2,20,-1.3,98.4,5.5,-1.5,3.52,-1.4,7.5,0,978.2,117,0.2,0.8,0,0,0,0,0,0,0,242,0,29,97
REH,2013,1,2,21,-1.6,98,5.4,-1.9,3.45,-1.7,7,0,978.6,90,0.1,0.4,0,0,0,0,0,0,0,241,0,29,97
REH,2013,1,2,22,-1.8,99,5.3,-1.9,3.39,-1.8,6.6,0,979,90,0.2,0.7,0,0,0,0,0,0,0,240,0,29,97
REH,2013,1,2,23,-2.5,99.3,5,-2.6,3.19,-2.5,5.4,0,979.4,45,0.2,0.8,0,0,0,0,0,0,0,239,0,29,97
REH,2013,1,3,0,-2.8,100,5,-2.8,3.19,-2.8,5.1,0,979.6,45,0.2,0.8,0,0,0,0,0,0,0,240,25,30,97
REH,2013,1,3,1,-2.7,98.5,5,-2.9,3.19,-2.8,5.2,0,980.1,72,0.3,0.8,0,0,0,0,0,0,0,242,25,30,97
REH,2013,1,3,2,-3.3,99.7,4.8,-3.3,3.06,-3.3,4.3,0,981.1,315,0.2,0.8,0,0,0,0,0,0,0,251,29,30,97
REH,2013,1,3,3,-2.9,100,4.9,-2.9,3.12,-2.9,4.8,0,981.4,104,0.4,1.1,0,0,0,0,0,0,0,264,50,30,97
REH,2013,1,3,4,-2.8,99.9,5,-2.8,3.18,-2.8,5.1,0,981.9,135,0.2,0.8,0,0,0,0,0,0,0,282,88,30,97
REH,2013,1,3,5,-1.9,97.6,5.2,-2.2,3.31,-2,6.3,0,982.2,117,0.3,1.4,0,0,0,0,0,0,0,291,94,30,97
REH,2013,1,3,6,-1.4,96.1,5.3,-1.9,3.37,-1.6,7,0,982.3,135,0.4,1.3,0,0,0,0,0,0,0,280,63,30,97
