station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
ROB,2011,1,1,0,-1,62.1,3.4,-8.2,2.34,-3.6,4.8,0,897.9,49,1.1,2.3,0,0,0,0,0,0,0,202,0,36,96
ROB,2011,1,1,1,-3.3,67.9,3.2,-8.9,2.21,-5.2,2.2,0,896.8,53,1,2.6,0,0,0,0,0,0,0,201,0,36,96
ROB,2011,1,1,2,-5,72.1,3.1,-9.4,2.12,-6.3,0.3,0,895.9,51,1.5,2.9,0,0,0,0,0,0,0,200,0,36,96
ROB,2011,1,1,3,-6.2,74.9,2.9,-10,2.02,-7.3,-1.3,0,895,56,1,2.1,0,0,0,0,0,0,0,200,0,36,96
ROB,2011,1,1,4,-6.9,75.9,2.8,-10.4,1.94,-7.8,-2.1,0,894.5,48,1.3,2.2,0,0,0,0,0,0,0,199,0,36,96
ROB,2011,1,1,5,-6.9,75.9,2.8,-10.5,1.93,-7.9,-2.2,0,894.3,53,1,2.3,0,0,0,0,0,0,0,198,0,36,96
ROB,2011,1,1,6,-7,76.2,2.8,-10.5,1.92,-8,-2.3,0,894.1,48,1.3,2.3,0,0,0,0,0,0,0,199,16,36,96
ROB,2011,1,1,7,-6.8,74.8,2.7,-10.6,1.91,-7.9,-2.2,0,893.9,48,1.2,2.1,17,0,17,16,16,16,16,206,0,36,96
ROB,2011,1,1,8,-6.7,72.7,2.7,-10.8,1.88,-7.8,-2.1,0,893.7,45,1,2.1,36,0,36,52,53,51,53,206,0,36,96
ROB,2011,1,1,9,-6.2,70.7,2.7,-10.6,1.89,-7.4,-1.6,0,893.3,49,1.1,2.3,176,354,70,80,235,412,81,210,0,36,96
ROB,2011,1,1,10,-2.7,55.9,2.8,-10.3,1.96,-5,2.1,0,892.4,72,0.9,2,361,781,98,99,303,865,99,214,0,36,96
ROB,2011,1,1,11,0.3,49.1,3.1,-9.1,2.17,-2.8,5.7,0,891.9,194,0.5,1.6,397,833,106,107,137,940,196,219,0,36,96
ROB,2011,1,1,12,1.5,42.1,2.9,-10,2.03,-2.2,6.6,0,891.4,211,0.6,1.4,327,689,105,94,96,765,331,220,6,36,96
ROB,2011,1,1,13,1.8,41,2.8,-10,1.96,-2.1,6.7,0,891.1,209,1.1,2.6,178,332,91,73,74,380,257,219,0,36,96
ROB,2011,1,1,14,-0.6,53.1,3.1,-9,2.17,-3.3,4.8,0,891.3,214,0.6,1.7,35,0,35,45,46,44,45,217,0,36,96
