station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
ROE,1999,1,1,0,0.3,61.3,3.4,-8.4,2.6,-2.7,6.8,1.9,812,297,0.4,2.4,0,0,0,0,0,0,0,258,100,46,96
ROE,1999,1,1,1,-1,71.3,3.7,-7.1,2.86,-3.2,6.1,2,810.6,140,0.4,1.8,0,0,0,0,0,0,0,258,100,46,96
ROE,1999,1,1,2,-1.9,77.8,3.9,-6.3,3.03,-3.5,5.6,1.7,809.6,210,0.3,0.9,0,0,0,0,0,0,0,259,100,46,96
ROE,1999,1,1,3,-2.8,84.4,4.1,-5.4,3.2,-3.7,5.2,1.4,808.7,180,0.3,2.3,0,0,0,0,0,0,0,259,100,46,96
ROE,1999,1,1,4,-3.2,87.9,4.3,-4.9,3.3,-3.8,5,1.4,808.2,333,0.2,0.9,0,0,0,0,0,0,0,260,100,46,96
ROE,1999,1,1,5,-3.2,87.7,4.3,-5,3.29,-3.9,5,2.1,808.3,360,0.2,1.2,0,0,0,0,0,0,0,260,100,46,96
ROE,1999,1,1,6,-3.2,87.8,4.3,-4.9,3.3,-3.8,5,1.6,808.5,360,0.1,0.9,0,0,0,0,0,0,0,260,100,46,96
ROE,1999,1,1,7,-3.2,87.5,4.3,-4.9,3.3,-3.8,5,2.2,808.8,207,0.2,1.3,16,0,16,14,14,14,14,260,100,46,96
ROE,1999,1,1,8,-3.2,87.4,4.2,-5,3.25,-3.9,4.8,2,809.2,290,0.3,0.8,83,46,74,49,81,93,50,260,100,46,96
ROE,1999,1,1,9,-2.7,84.4,4.3,-5,3.32,-3.6,5.5,0.7,809.4,284,0.6,2.9,128,47,116,76,106,127,77,259,100,46,96
ROE,1999,1,1,10,-2.4,83.4,4.3,-4.8,3.32,-3.3,5.9,0.5,809.3,256,1,3.9,144,21,137,89,99,119,90,259,100,46,96
ROE,1999,1,1,11,-2.6,86.9,4.4,-4.5,3.4,-3.3,5.8,1,809.1,284,0.5,3.9,163,31,152,100,106,142,104,259,100,46,96
ROE,1999,1,1,12,-2.7,87.5,4.4,-4.5,3.4,-3.4,5.7,1.3,808.9,215,0.4,0.9,149,31,139,91,94,131,104,258,100,46,96
ROE,1999,1,1,13,-2.6,87.7,4.4,-4.4,3.4,-3.3,5.8,1.3,808.8,210,0.4,0.6,104,15,100,65,68,86,74,258,100,46,96
ROE,1999,1,1,14,-2.4,86.2,4.4,-4.4,3.4,-3.2,6.1,0.5,808.8,360,0.2,1.1,51,0,51,34,35,37,34,258,100,46,96
ROE,1999,1,1,15,-2.5,89.7,4.6,-4,3.56,-3.1,6.3,0.5,809,0,0,0.4,9,0,9,6,6,7,6,258,100,46,96
ROE,1999,1,1,16,-2.7,89.2,4.5,-4.2,3.48,-3.3,5.9,0.8,809.2,0,0,0.3,0,0,0,0,0,0,0,258,100,46,96
ROE,1999,1,1,17,-2.6,89.5,4.5,-4.1,3.48,-3.2,6,0.5,809.3,0,0,0.7,0,0,0,0,0,0,0,258,100,46,96
ROE,1999,1,1,18,-2.9,91.1,4.5,-4.1,3.48,-3.4,5.7,0.3,809.4,225,0.1,0.7,0,0,0,0,0,0,0,258,100,46,96
ROE,1999,1,1,19,-2.8,91.3,4.6,-4,3.56,-3.3,6,0.4,809.4,210,0.2,0.9,0,0,0,0,0,0,0,257,100,46,96
ROE,1999,1,1,20,-2.8,92.2,4.6,-3.9,3.56,-3.2,6,0.3,809.4,190,0.2,0.8,0,0,0,0,0,0,0,257,100,46,96
ROE,1999,1,1,21,-2.6,90.5,4.6,-3.9,3.56,-3.1,6.2,0.3,809.4,225,0.2,0.6,0,0,0,0,0,0,0,256,100,46,96
ROE,1999,1,1,22,-2.7,89.7,4.5,-4.2,3.48,-3.3,5.9,0.1,809.2,234,0.3,1.1,0,0,0,0,0,0,0,254,94,46,96
ROE,1999,1,1,23,-2.6,92,4.7,-3.7,3.64,-3,6.4,0,808.9,250,0.2,1.1,0,0,0,0,0,0,0,251,88,46,96
ROE,1999,1,2,0,-2.5,90.5,4.6,-3.8,3.56,-3,6.3,0,808.5,265,0.2,0.6,0,0,0,0,0,0,0,254,100,46,96
ROE,1999,1,2,1,-2.5,92.3,4.7,-3.6,3.64,-2.9,6.5,0.1,808.3,290,0.2,1.1,0,0,0,0,0,0,0,241,55,46,96
ROE,1999,1,2,2,-2.5,92.9,4.7,-3.5,3.64,-2.9,6.5,0.1,807.9,315,0.2,1,0,0,0,0,0,0,0,229,13,46,96
ROE,1999,1,2,3,-2.8,93.7,4.7,-3.7,3.64,-3.1,6.2,0,807.7,266,0.5,2.6,0,0,0,0,0,0,0,236,45,46,96
ROE,1999,1,2,4,-2.7,92.7,4.7,-3.7,3.64,-3.1,6.3,0,807.4,240,0.5,1,0,0,0,0,0,0,0,238,55,46,96
ROE,1999,1,2,5,-2.9,89.1,4.4,-4.4,3.41,-3.5,5.6,0,807.4,260,0.3,0.9,0,0,0,0,0,0,0,238,60,46,96
ROE,1999,1,2,6,-3,92.8,4.6,-4,3.56,-3.4,5.8,0,807.4,190,0.1,0.7,0,0,0,0,0,0,0,242,80,46,96
ROE,1999,1,2,7,-2.9,93.8,4.6,-3.8,3.56,-3.2,5.9,0,807.3,155,0.3,1,15,0,15,10,11,11,10,248,100,46,96
ROE,1999,1,2,8,-3,90,4.4,-4.4,3.41,-3.5,5.5,0,807.4,165,0.3,0.7,85,43,76,51,81,92,52,249,100,46,96
ROE,1999,1,2,9,-2.7,88.6,4.5,-4.3,3.49,-3.3,6,0,807.3,180,0.2,0.5,139,65,120,80,115,150,81,250,100,46,96
ROE,1999,1,2,10,-2.6,86,4.3,-4.6,3.33,-3.4,5.7,0.1,807,260,0.1,0.5,160,45,145,95,116,150,96,251,100,46,96
ROE,1999,1,2,11,-2.5,86.4,4.4,-4.5,3.41,-3.3,6,0,806.4,20,0.1,0.5,143,13,138,89,94,111,91,251,100,46,96
ROE,1999,1,2,12,-2.4,86.5,4.4,-4.3,3.42,-3.1,6.1,0,805.8,35,0.1,0.8,128,11,125,81,84,100,85,252,100,46,96
ROE,1999,1,2,13,-2.5,86,4.4,-4.5,3.42,-3.3,6,0,805.3,45,0.2,0.9,96,5,94,61,64,72,64,250,88,46,96
ROE,1999,1,2,14,-2.6,84.8,4.3,-4.8,3.34,-3.4,5.7,0,805,56,0.2,0.9,49,0,49,41,42,43,41,246,68,46,96
ROE,1999,1,2,15,-2.6,84.8,4.3,-4.8,3.34,-3.4,5.7,0,804.6,260,0.1,0.5,9,0,9,8,8,8,8,252,88,46,96
ROE,1999,1,2,16,-2.8,84.3,4.2,-5.1,3.26,-3.7,5.3,0,804.4,360,0.1,0.7,0,0,0,0,0,0,0,257,100,46,96
ROE,1999,1,2,17,-2.8,82.2,4.1,-5.4,3.19,-3.8,5.1,0,804.5,45,0.2,1.1,0,0,0,0,0,0,0,258,100,46,96
ROE,1999,1,2,18,-2.8,82.4,4.1,-5.4,3.19,-3.8,5.1,0,804.6,45,0.1,1.3,0,0,0,0,0,0,0,259,100,46,96
ROE,1999,1,2,19,-2.8,81,4,-5.6,3.11,-3.8,4.9,0,804.4,360,0.2,0.8,0,0,0,0,0,0,0,259,100,46,96
ROE,1999,1,2,20,-3,84.5,4.2,-5.2,3.27,-3.8,5.1,0,804.1,295,0.1,0.7,0,0,0,0,0,0,0,259,100,46,96
