station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
RUE,1998,1,1,0,3.4,69,5.3,-1.8,3.55,1.3,12.3,0,942.9,95,2.5,5.7,0,0,0,0,0,0,0,282,40,21,97
RUE,1998,1,1,1,3.2,71.4,5.5,-1.5,3.62,1.3,12.2,0,943.3,110,2.1,5.6,0,0,0,0,0,0,0,282,40,21,97
RUE,1998,1,1,2,3,73.3,5.5,-1.4,3.66,1.2,12.2,0,943.6,76,2,5.3,0,0,0,0,0,0,0,281,40,21,97
RUE,1998,1,1,3,2.8,75.3,5.6,-1.2,3.71,1.2,12.1,0,944.1,63,1.6,3,0,0,0,0,0,0,0,288,55,21,97
RUE,1998,1,1,4,2.5,77.6,5.7,-1,3.76,1.1,11.9,0,944.4,70,1.5,3.3,0,0,0,0,0,0,0,306,100,21,97
RUE,1998,1,1,5,2.3,79.1,5.7,-1,3.78,1,11.7,0,944.5,74,1.5,3.6,0,0,0,0,0,0,0,300,88,21,97
RUE,1998,1,1,6,2.2,79.4,5.7,-0.9,3.78,1,11.7,0,944.8,54,1.4,2.8,0,0,0,0,0,0,0,305,100,21,97
RUE,1998,1,1,7,2.2,80.4,5.8,-0.8,3.82,1,11.8,0,945.1,67,2.6,4.4,14,20,13,8,23,21,8,307,100,21,97
RUE,1998,1,1,8,2,82.5,5.8,-0.7,3.84,0.9,11.6,0,945.3,67,2.3,3.7,111,247,68,39,204,241,38,302,80,21,97
RUE,1998,1,1,9,3.6,77,6.1,0,4.04,2.1,13.7,0,945.4,70,2,4.3,174,211,119,67,174,267,67,314,100,21,97
RUE,1998,1,1,10,4.8,75.2,6.4,0.8,4.24,3.1,15.5,0,945.1,75,2.3,3.8,261,422,128,70,205,500,70,312,88,21,97
RUE,1998,1,1,11,5.6,73.8,6.7,1.3,4.44,3.7,16.8,0,944.9,67,1.5,3.3,51,0,51,31,30,29,30,321,100,21,97
RUE,1998,1,1,12,5.8,72.6,6.7,1.3,4.44,3.8,17,0,944.4,67,1.5,2.6,44,0,44,26,26,25,26,324,100,21,97
RUE,1998,1,1,13,7.3,68.6,7,1.9,4.65,4.8,19,0,943.9,80,1.2,3.4,198,424,94,52,51,440,284,301,50,21,97
RUE,1998,1,1,14,7.9,60.4,6.4,0.7,4.25,4.7,18.6,0,943.5,135,1.6,3.6,99,285,54,31,30,257,226,313,80,21,97
RUE,1998,1,1,15,7.1,63,6.4,0.5,4.25,4.2,17.8,0,943.2,176,1.6,3.9,6,0,6,3,3,5,6,315,88,21,97
RUE,1998,1,1,16,6.7,63.4,6.2,0.3,4.12,3.9,17.1,0,943,211,0.7,2.8,0,0,0,0,0,0,0,313,88,21,97
RUE,1998,1,1,17,6.5,67.4,6.5,0.9,4.32,4,17.4,0,943,250,2.1,4.8,0,0,0,0,0,0,0,312,88,21,97
RUE,1998,1,1,18,5.4,84,7.5,2.9,4.99,4.2,17.9,0,942.8,270,1.2,4.1,0,0,0,0,0,0,0,316,100,21,97
RUE,1998,1,1,19,5.2,86.4,7.7,3.1,5.12,4.2,18.1,0,942.6,45,0.7,1.8,0,0,0,0,0,0,0,316,100,21,97
RUE,1998,1,1,20,5.1,90.3,8,3.6,5.33,4.4,18.5,0,942.1,32,1,1.9,0,0,0,0,0,0,0,316,100,21,97
RUE,1998,1,1,21,5.1,89.9,7.9,3.6,5.27,4.4,18.3,0,941,72,1,2.6,0,0,0,0,0,0,0,316,100,21,97
RUE,1998,1,1,22,7.3,70.9,7.3,2.4,4.87,5,19.6,0,939.7,219,4.6,11.7,0,0,0,0,0,0,0,316,100,21,97
RUE,1998,1,1,23,7.3,71.2,7.3,2.4,4.87,5,19.6,0,938.9,227,4.1,9.7,0,0,0,0,0,0,0,316,100,21,97
RUE,1998,1,2,0,7.1,72.8,7.3,2.6,4.88,5,19.4,0,937.8,221,7.4,15.9,0,0,0,0,0,0,0,317,100,21,97
RUE,1998,1,2,1,6.8,78.1,7.7,3.3,5.15,5.1,19.8,0.1,937.2,228,4.4,11.2,0,0,0,0,0,0,0,319,100,21,97
RUE,1998,1,2,2,7.1,78.8,8,3.7,5.36,5.5,20.6,0.1,936.8,215,10.2,20.3,0,0,0,0,0,0,0,321,100,21,97
RUE,1998,1,2,3,6.9,80.7,8,3.8,5.36,5.4,20.4,0.3,936,218,11.2,21,0,0,0,0,0,0,0,322,100,21,97
RUE,1998,1,2,4,7.1,80.3,8.1,3.9,5.43,5.6,20.8,0,935.6,221,10.5,21.8,0,0,0,0,0,0,0,319,88,21,97
RUE,1998,1,2,5,7.6,79.8,8.3,4.3,5.57,6,21.6,0,935.5,220,10.2,19.6,0,0,0,0,0,0,0,320,88,21,97
RUE,1998,1,2,6,7.7,79.8,8.4,4.4,5.64,6.1,21.9,0,934.8,220,9.8,18.3,0,0,0,0,0,0,0,316,75,21,97
RUE,1998,1,2,7,8,77.5,8.3,4.3,5.58,6.2,22.1,0,933.9,227,8,14.9,2,0,2,1,1,1,1,327,100,21,97
RUE,1998,1,2,8,8.1,77.7,8.4,4.4,5.64,6.3,22.3,0.1,934,228,8.6,15.3,9,0,9,5,5,5,5,328,100,21,97
RUE,1998,1,2,9,7.9,80.5,8.6,4.8,5.78,6.4,22.5,0.3,933.7,228,8.7,18.6,16,0,16,10,10,9,10,329,100,21,97
RUE,1998,1,2,10,8.3,74.8,8.2,4.1,5.52,6.3,22.2,0.1,932.4,218,10.2,22.2,42,0,42,25,25,24,25,329,100,21,97
