station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
SAM,2012,1,1,0,-4.3,94.9,4.3,-5,3.26,-4.5,3.8,0,831.8,193,1.2,2.8,0,0,0,0,0,0,0,238,26,52,96
SAM,2012,1,1,1,-3.2,95.4,4.7,-3.9,3.54,-3.4,5.6,0,830.4,153,0.9,3.8,0,0,0,0,0,0,0,233,20,52,96
SAM,2012,1,1,2,-2.5,96,5,-3,3.74,-2.7,6.8,0,829.5,243,0.7,3.8,0,0,0,0,0,0,0,229,26,52,96
SAM,2012,1,1,3,-1.7,96.4,5.2,-2.2,3.96,-1.9,8.2,0,828.8,180,0.6,1.8,0,0,0,0,0,0,0,238,43,52,96
SAM,2012,1,1,4,-1.1,96.4,5.4,-1.6,4.11,-1.3,9.1,0,828.5,180,0.8,2.3,0,0,0,0,0,0,0,241,40,52,96
SAM,2012,1,1,5,-1.1,96.8,5.5,-1.6,4.14,-1.3,9.2,0,828.9,198,0.7,3,0,0,0,0,0,0,0,245,50,52,96
SAM,2012,1,1,6,-1.2,97.4,5.5,-1.6,4.14,-1.4,9.1,0,829.3,198,0.4,2.2,0,0,0,0,0,0,0,244,39,52,96
SAM,2012,1,1,7,-1.3,97.5,5.5,-1.6,4.13,-1.4,9,0,829.8,198,0.5,2.6,18,0,18,19,19,19,19,246,39,52,96
SAM,2012,1,1,8,-1.3,97.9,5.5,-1.6,4.15,-1.4,9,0,830.5,153,0.4,3,114,205,70,67,199,243,67,254,53,52,96
SAM,2012,1,1,9,-1.3,96.3,5.4,-1.8,4.07,-1.5,8.8,0,830.8,117,0.6,2.4,260,576,100,103,389,641,103,254,48,52,96
SAM,2012,1,1,10,-1.1,96,5.4,-1.7,4.07,-1.3,9,0,830.8,191,0.9,2.2,326,627,117,125,311,753,125,266,69,52,96
SAM,2012,1,1,11,-0.3,97.7,5.8,-0.6,4.37,-0.4,10.6,0,830.6,153,0.3,1.4,132,15,126,92,92,109,92,274,100,52,96
SAM,2012,1,1,12,0.6,93.4,6,-0.3,4.53,0.2,11.9,0,830.4,104,0.9,2.8,112,4,111,80,77,85,81,274,100,52,96
SAM,2012,1,1,13,0.2,94.9,5.9,-0.5,4.45,-0.1,11.3,0,830.2,180,0.5,2.2,145,103,120,90,88,185,152,272,100,52,96
SAM,2012,1,1,14,-0.3,98.5,5.9,-0.5,4.45,-0.4,10.8,0,830.5,207,0.5,1.6,73,139,57,44,43,145,148,269,84,52,96
SAM,2012,1,1,15,-1.3,99.6,5.6,-1.4,4.22,-1.3,9.2,0,830.4,207,0.7,1.9,6,0,6,5,5,5,5,265,78,52,96
SAM,2012,1,1,16,-3.6,100,4.7,-3.6,3.54,-3.6,5.2,0,830.6,207,0.7,2.1,0,0,0,0,0,0,0,262,71,52,96
SAM,2012,1,1,17,-4.5,100,4.4,-4.5,3.31,-4.5,3.7,0,830.9,198,0.5,1.3,0,0,0,0,0,0,0,265,100,52,96
SAM,2012,1,1,18,-4.6,100,4.3,-4.6,3.24,-4.6,3.4,0,830.9,207,0.8,2.3,0,0,0,0,0,0,0,256,66,52,96
SAM,2012,1,1,19,-5.8,99.2,4,-5.9,3.01,-5.8,1.6,0,831,198,0.7,1.9,0,0,0,0,0,0,0,241,38,52,96
SAM,2012,1,1,20,-7.1,100,3.6,-7.1,2.71,-7.1,-0.4,0,830.9,214,0.5,1.3,0,0,0,0,0,0,0,257,100,52,96
SAM,2012,1,1,21,-8.3,100,3.3,-8.3,2.48,-8.3,-2.2,0,830.5,225,0.4,1.7,0,0,0,0,0,0,0,255,100,52,96
SAM,2012,1,1,22,-6.5,100,3.8,-6.5,2.86,-6.5,0.6,0,829.9,207,0.4,1.4,0,0,0,0,0,0,0,252,100,52,96
SAM,2012,1,1,23,-6.3,98.9,3.8,-6.4,2.86,-6.3,0.8,0,829.8,203,0.9,2.6,0,0,0,0,0,0,0,249,100,52,96
SAM,2012,1,2,0,-6.8,99.3,3.7,-6.9,2.79,-6.8,0.1,0,829.2,180,0.7,2.3,0,0,0,0,0,0,0,248,100,52,96
SAM,2012,1,2,1,-7,98,3.6,-7.3,2.71,-7.1,-0.3,0,829,225,0.4,1.7,0,0,0,0,0,0,0,249,100,52,96
SAM,2012,1,2,2,-6.1,100,3.9,-6.1,2.94,-6.1,1.2,0,828.5,207,0.6,2.1,0,0,0,0,0,0,0,248,94,52,96
SAM,2012,1,2,3,-6.4,99.4,3.8,-6.5,2.87,-6.4,0.7,0,828,211,1.2,4.2,0,0,0,0,0,0,0,249,100,52,96
SAM,2012,1,2,4,-0.4,86.3,5.1,-2.4,3.86,-1.2,9.2,0,827.4,155,4.2,7.8,0,0,0,0,0,0,0,252,100,52,96
SAM,2012,1,2,5,0.2,85.1,5.3,-2,4.01,-0.7,10.2,0,827.1,147,2.8,7.3,0,0,0,0,0,0,0,253,100,52,96
SAM,2012,1,2,6,-1.6,88.4,4.8,-3.3,3.63,-2.3,7.4,0,826.8,198,1.4,3.9,0,0,0,0,0,0,0,254,100,52,96
SAM,2012,1,2,7,-2.1,87.9,4.6,-3.8,3.48,-2.8,6.6,0,826.7,190,2.3,6.6,21,0,21,16,16,16,16,255,94,52,96
