station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
SBE,1999,1,1,0,-5,85.6,3.7,-7.1,2.79,-5.6,1.9,0.7,833,135,0.2,1.6,0,0,0,0,0,0,0,264,88,32,96
SBE,1999,1,1,1,-4.5,89.4,4,-6,3.01,-4.9,3,0.6,833.5,0,0,0.5,0,0,0,0,0,0,0,268,100,32,96
SBE,1999,1,1,2,-4.1,92.1,4.2,-5.2,3.18,-4.4,3.8,0.5,833.9,0,0,0.3,0,0,0,0,0,0,0,269,100,32,96
SBE,1999,1,1,3,-3.7,94.7,4.5,-4.5,3.34,-4,4.6,0.7,834.3,0,0,1.6,0,0,0,0,0,0,0,269,100,32,96
SBE,1999,1,1,4,-3.5,96,4.6,-4.1,3.43,-3.7,5,1.1,834.5,135,0.2,1.5,0,0,0,0,0,0,0,269,100,32,96
SBE,1999,1,1,5,-3.4,95.8,4.6,-4,3.44,-3.6,5.1,1.7,834.7,141,0.6,2.5,0,0,0,0,0,0,0,269,100,32,96
SBE,1999,1,1,6,-3.4,95.7,4.6,-4,3.45,-3.6,5.1,1.7,834.9,135,0.5,1.8,0,0,0,0,0,0,0,270,100,32,96
SBE,1999,1,1,7,-3.2,95.4,4.6,-3.9,3.46,-3.5,5.3,0.9,835.2,146,0.7,2.4,18,0,18,11,12,12,11,266,88,32,96
SBE,1999,1,1,8,-3.1,95,4.6,-3.8,3.44,-3.4,5.4,1.6,835.7,135,0.8,2.3,74,54,65,38,77,82,37,266,88,32,96
SBE,1999,1,1,9,-2.9,94.6,4.7,-3.6,3.52,-3.2,5.8,0.6,836,132,1.4,3.5,18,0,18,10,10,11,10,270,100,32,96
SBE,1999,1,1,10,-2.5,94,4.8,-3.3,3.59,-2.8,6.4,0.9,835.7,122,1.3,3,24,0,24,14,14,14,13,270,100,32,96
SBE,1999,1,1,11,-2.2,95,4.9,-2.9,3.67,-2.5,6.9,0.7,835.5,121,1.2,2.9,25,0,25,14,15,15,14,270,100,32,96
SBE,1999,1,1,12,-1.9,93.6,5,-2.8,3.74,-2.3,7.4,0.8,835.5,129,0.7,2.6,22,0,22,13,13,13,12,270,100,32,96
SBE,1999,1,1,13,-1.8,93.9,5,-2.6,3.75,-2.1,7.5,0.9,835.4,135,0.3,1.2,15,0,15,9,9,9,9,270,100,32,96
