station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
SBO,2021,1,1,0,-1.3,87.2,5,-3.1,3.18,-1.9,6.6,0,974.9,239,0.6,1.3,0,0,0,0,0,0,0,298,100,29,98
SBO,2021,1,1,1,-0.7,89.5,5.3,-2.2,3.4,-1.2,7.8,0,972.5,225,0.3,1,0,0,0,0,0,0,0,298,100,30,98
SBO,2021,1,1,2,-0.3,91.2,5.5,-1.6,3.54,-0.7,8.5,0,970.8,248,0.5,1.2,0,0,0,0,0,0,0,300,100,30,98
SBO,2021,1,1,3,0.1,92.9,5.7,-0.9,3.7,-0.3,9.3,0,969.2,239,0.6,1.3,0,0,0,0,0,0,0,301,100,30,98
SBO,2021,1,1,4,0.2,94.2,5.8,-0.6,3.77,-0.1,9.6,0,968.4,243,0.4,1.3,0,0,0,0,0,0,0,302,100,30,98
SBO,2021,1,1,5,0.2,95.2,5.9,-0.5,3.81,-0.1,9.7,0,968.4,225,0.3,0.7,0,0,0,0,0,0,0,302,100,30,98
SBO,2021,1,1,6,0.2,96.5,6,-0.3,3.87,0,9.8,0,968.4,0,0.1,0.6,0,0,0,0,0,0,0,303,100,30,98
SBO,2021,1,1,7,0.2,97.9,6.1,-0.1,3.91,0.1,9.9,0.3,968.5,225,0.1,0.4,0,0,0,0,0,0,0,304,100,30,98
SBO,2021,1,1,8,0.1,99.5,6.1,0,3.94,0.1,9.9,0.8,968.7,243,0.2,0.7,3,0,3,2,2,2,2,305,100,30,98
SBO,2021,1,1,9,0.1,99.9,6.1,0.1,3.94,0.1,9.9,1.4,968.8,243,0.2,0.6,8,0,8,5,5,5,5,305,100,30,98
SBO,2021,1,1,10,0,100,6.2,0,4.01,0,10,1.6,968.9,225,0.1,0.4,13,0,13,8,8,8,8,306,100,30,98
SBO,2021,1,1,11,0.1,99.9,6.1,0.1,3.94,0.1,9.9,1.8,968.5,270,0.1,0.5,22,0,22,13,13,13,14,307,100,30,98
SBO,2021,1,1,12,0.2,99.9,6.2,0.2,4.01,0.2,10.2,1.3,967.5,270,0.1,0.4,23,0,23,14,14,14,14,307,100,30,98
SBO,2021,1,1,13,0.5,98.5,6.2,0.3,4.01,0.4,10.5,0.6,966.9,252,0.3,0.8,26,0,26,16,16,16,16,308,100,30,98
SBO,2021,1,1,14,0.6,98.8,6.3,0.4,4.08,0.5,10.8,1.3,966.9,243,0.4,1.2,13,0,13,8,8,8,8,308,100,30,98
SBO,2021,1,1,15,0.5,99.4,6.3,0.4,4.08,0.5,10.7,2.2,967,270,0.2,0.7,7,0,7,4,4,4,4,308,100,30,98
SBO,2021,1,1,16,0.4,99.7,6.2,0.4,4.01,0.4,10.4,2.5,967.1,225,0.3,0.9,1,0,1,1,1,1,1,308,100,30,98
SBO,2021,1,1,17,0.4,99.5,6.2,0.3,4.01,0.4,10.4,2.1,967,225,0.4,1.2,0,0,0,0,0,0,0,308,100,30,98
SBO,2021,1,1,18,0.4,99.3,6.2,0.3,4.01,0.4,10.4,2.3,967.2,225,0.7,1.4,0,0,0,0,0,0,0,308,100,30,98
SBO,2021,1,1,19,0.2,99.8,6.2,0.2,4.01,0.2,10.2,2,967.1,214,0.4,1.2,0,0,0,0,0,0,0,308,100,30,98
SBO,2021,1,1,20,0.4,99,6.2,0.3,4.01,0.4,10.4,2,967.4,236,0.5,1,0,0,0,0,0,0,0,309,100,30,98
SBO,2021,1,1,21,0.4,99.5,6.3,0.3,4.08,0.4,10.6,1.6,967.5,236,0.4,1.3,0,0,0,0,0,0,0,309,100,30,98
SBO,2021,1,1,22,0.4,100,6.3,0.4,4.08,0.4,10.6,1,967.7,270,0.2,0.8,0,0,0,0,0,0,0,309,100,30,98
SBO,2021,1,1,23,0.8,99.3,6.4,0.7,4.14,0.8,11.1,0.1,967.5,27,0.5,1.6,0,0,0,0,0,0,0,310,100,30,98
SBO,2021,1,2,0,0.8,98.6,6.4,0.6,4.14,0.7,11.1,0.1,967.2,233,0.5,1.6,0,0,0,0,0,0,0,310,100,30,98
SBO,2021,1,2,1,0.7,98.5,6.3,0.5,4.08,0.6,10.9,0.8,967.2,229,1,2,0,0,0,0,0,0,0,311,100,30,98
SBO,2021,1,2,2,0.5,99.7,6.3,0.5,4.08,0.5,10.7,1.4,967.3,225,0.2,0.6,0,0,0,0,0,0,0,311,100,30,98
SBO,2021,1,2,3,0.6,99.5,6.3,0.5,4.08,0.6,10.8,1.1,967,243,0.5,0.9,0,0,0,0,0,0,0,311,100,30,98
SBO,2021,1,2,4,0.9,98,6.4,0.6,4.15,0.8,11.3,1.7,966.5,225,0.8,2.3,0,0,0,0,0,0,0,312,100,30,98
SBO,2021,1,2,5,1.1,99,6.6,1,4.28,1.1,11.8,3.3,966.3,270,0.3,0.9,0,0,0,0,0,0,0,312,100,30,98
SBO,2021,1,2,6,0.9,99,6.5,0.8,4.21,0.9,11.4,3.7,966,236,0.6,1.6,0,0,0,0,0,0,0,312,100,30,98
SBO,2021,1,2,7,1,98.5,6.5,0.8,4.21,0.9,11.5,0.8,965.9,236,0.4,1.3,0,0,0,0,0,0,0,313,100,30,98
SBO,2021,1,2,8,1.3,97.7,6.6,1,4.28,1.2,12,1.6,966,252,0.8,2,15,0,15,9,10,10,10,314,100,30,98
SBO,2021,1,2,9,1.3,98.6,6.6,1.1,4.28,1.2,12,0.9,966.3,233,0.6,1.3,12,0,12,7,7,7,7,315,100,30,98
SBO,2021,1,2,10,1.6,98.1,6.7,1.3,4.35,1.5,12.5,0.3,965.8,243,0.5,1.2,44,0,44,27,27,27,27,317,100,30,98
SBO,2021,1,2,11,1.9,97.7,6.9,1.6,4.48,1.8,13.1,0.7,965.1,231,0.7,1.8,17,0,17,11,11,11,11,318,100,30,98
SBO,2021,1,2,12,2.3,98.5,7.1,2.1,4.62,2.2,13.9,0.4,963.9,252,0.3,1.2,35,0,35,21,22,22,22,319,100,30,98
SBO,2021,1,2,13,3.2,96.8,7.4,2.7,4.82,3,15.3,0.1,963.1,243,0.4,1.3,22,0,22,13,13,13,13,320,100,30,98
SBO,2021,1,2,14,3.2,96.6,7.4,2.7,4.81,3,15.3,1.1,963.4,247,0.8,1.6,26,0,26,16,16,16,16,319,100,30,98
SBO,2021,1,2,15,3.1,96.7,7.3,2.6,4.75,2.9,15,1.3,963.1,249,1,2,29,125,14,10,10,98,104,319,94,30,98
SBO,2021,1,2,16,2.4,98.9,7.2,2.2,4.69,2.3,14.1,1.1,963.1,225,0.5,1.3,17,98,9,6,6,72,83,319,100,30,98
SBO,2021,1,2,17,2,99.3,7,1.9,4.55,2,13.4,1.9,963.3,252,0.4,1.2,0,0,0,0,0,0,0,318,100,30,98
SBO,2021,1,2,18,2.3,99.1,7.1,2.2,4.62,2.3,13.9,1.9,963.8,256,0.5,1.2,0,0,0,0,0,0,0,318,100,30,98
SBO,2021,1,2,19,2.1,98.8,7,1.9,4.55,2,13.5,0.2,963.8,225,0.6,1.4,0,0,0,0,0,0,0,318,100,30,98
SBO,2021,1,2,20,1.7,99.2,6.9,1.6,4.48,1.7,12.9,0,963.9,243,0.5,2,0,0,0,0,0,0,0,315,88,30,98
SBO,2021,1,2,21,1.9,99.1,6.9,1.8,4.48,1.9,13.1,0.2,964,248,0.6,1.6,0,0,0,0,0,0,0,317,100,30,98
SBO,2021,1,2,22,1.9,99.2,6.9,1.8,4.48,1.9,13.1,0.1,964.1,231,0.7,1.5,0,0,0,0,0,0,0,317,100,30,98
SBO,2021,1,2,23,1.5,99.8,6.8,1.5,4.42,1.5,12.5,0.3,964,236,0.4,1,0,0,0,0,0,0,0,317,100,30,98
SBO,2021,1,3,0,1.8,99.6,6.9,1.7,4.48,1.8,13,0.9,964.1,252,0.4,1,0,0,0,0,0,0,0,317,100,30,98
SBO,2021,1,3,1,1.7,100,6.9,1.7,4.48,1.7,12.9,2.2,964,270,0.2,0.8,0,0,0,0,0,0,0,316,100,32,98
SBO,2021,1,3,2,2.1,99.3,7,2,4.55,2.1,13.5,2.7,964.1,56,0.4,1.8,0,0,0,0,0,0,0,316,100,32,98
SBO,2021,1,3,3,2.4,99.4,7.2,2.3,4.68,2.4,14.1,1.3,964.2,39,0.6,1.4,0,0,0,0,0,0,0,316,100,32,98
SBO,2021,1,3,4,2.3,99.1,7.1,2.2,4.61,2.3,13.8,1.9,964.2,45,0.5,3.1,0,0,0,0,0,0,0,316,100,32,98
SBO,2021,1,3,5,2.4,99,7.2,2.3,4.68,2.4,14.1,2.8,964.4,45,0.4,2.3,0,0,0,0,0,0,0,316,100,32,98
SBO,2021,1,3,6,1.7,99.8,6.9,1.7,4.48,1.7,12.9,1.9,965.3,225,0.2,1,0,0,0,0,0,0,0,316,100,32,98
SBO,2021,1,3,7,2,99.2,7,1.9,4.54,2,13.4,1.2,965.8,0,0.4,1.8,0,0,0,0,0,0,0,316,100,32,98
SBO,2021,1,3,8,2,98.1,6.9,1.7,4.47,1.9,13.2,0,966.5,315,0.5,1.7,4,0,4,2,2,2,2,316,100,32,98
SBO,2021,1,3,9,2.3,96.6,7,1.8,4.53,2.1,13.6,0.4,967.4,239,0.8,2.3,8,0,8,5,5,5,5,316,100,32,98
SBO,2021,1,3,10,2.8,97.3,7.3,2.4,4.73,2.6,14.6,0.4,968,153,0.6,1.6,43,0,43,27,27,27,27,316,100,32,98
SBO,2021,1,3,11,3.7,95.6,7.6,3.1,4.92,3.4,16,0,968,240,1,3.1,18,0,18,11,11,11,12,316,100,32,98
SBO,2021,1,3,12,3.7,94.5,7.6,2.9,4.92,3.3,16,0,967.8,222,1.5,3.1,18,0,18,11,11,12,12,317,100,32,98
SBO,2021,1,3,13,3.4,96.9,7.6,3,4.92,3.2,15.7,0.1,967.5,243,0.9,2.4,70,0,70,44,44,45,45,309,94,32,98
SBO,2021,1,3,14,3.5,95.8,7.5,2.9,4.86,3.2,15.7,0,967.7,221,1,1.9,24,0,24,15,15,15,15,295,84,32,98
SBO,2021,1,3,15,3.7,94.5,7.6,2.9,4.92,3.3,16,0,967.9,219,0.8,2,7,0,7,4,4,4,4,292,74,32,98
SBO,2021,1,3,16,3,99.7,7.5,3,4.86,3,15.2,0,968.3,214,0.4,0.9,7,32,5,3,3,23,29,288,53,32,98
SBO,2021,1,3,17,2.6,99.5,7.3,2.5,4.72,2.6,14.4,0,968.5,243,0.4,1.1,0,0,0,0,0,0,0,282,13,32,98
SBO,2021,1,3,18,2.1,99.2,7.1,2,4.59,2.1,13.6,0,968.8,236,0.7,1.8,0,0,0,0,0,0,0,285,41,32,98
SBO,2021,1,3,19,1,99.5,6.5,0.9,4.2,1,11.5,0,969.1,243,0.5,1.4,0,0,0,0,0,0,0,304,88,32,98
SBO,2021,1,3,20,1,99.6,6.5,0.9,4.2,1,11.5,0,969.1,236,0.4,0.9,0,0,0,0,0,0,0,304,90,32,98
SBO,2021,1,3,21,0.9,99.5,6.5,0.8,4.2,0.9,11.4,0,969,243,0.4,1.1,0,0,0,0,0,0,0,299,65,32,98
SBO,2021,1,3,22,1.5,98.7,6.7,1.3,4.33,1.4,12.3,0,969.2,252,0.7,1.8,0,0,0,0,0,0,0,308,100,32,98
SBO,2021,1,3,23,1.5,99.5,6.8,1.4,4.39,1.5,12.5,2,969.2,225,0.2,1.1,0,0,0,0,0,0,0,307,100,32,98
SBO,2021,1,4,0,1.7,99.6,6.9,1.6,4.46,1.7,12.9,1.5,969,214,0.4,1.1,0,0,0,0,0,0,0,307,100,32,98
SBO,2021,1,4,1,2.2,99,7.1,2.1,4.59,2.2,13.7,1,968.5,198,0.5,1.4,0,0,0,0,0,0,0,306,94,34,98
SBO,2021,1,4,2,1.9,98.9,7,1.7,4.53,1.8,13.2,0,968.6,217,0.6,1.4,0,0,0,0,0,0,0,295,74,34,98
SBO,2021,1,4,3,1.8,99.6,6.9,1.7,4.46,1.8,13,0,968.4,233,0.5,1.1,0,0,0,0,0,0,0,299,78,34,98
SBO,2021,1,4,4,1.5,99.4,6.8,1.4,4.4,1.5,12.5,0,968.3,225,0.8,1.8,0,0,0,0,0,0,0,303,100,34,98
SBO,2021,1,4,5,1.8,98.8,6.9,1.6,4.46,1.7,13,0,968.4,231,0.7,1.8,0,0,0,0,0,0,0,300,100,34,98
SBO,2021,1,4,6,1.9,98.7,7,1.7,4.53,1.8,13.2,0,968.4,225,0.6,1.4,0,0,0,0,0,0,0,303,100,34,98
SBO,2021,1,4,7,1.4,99.4,6.7,1.3,4.33,1.4,12.2,0,968.4,217,0.5,1.2,0,0,0,0,0,0,0,302,100,34,98
SBO,2021,1,4,8,1.3,98.9,6.6,1.1,4.27,1.2,12,0,968.7,239,0.6,1.2,16,0,16,16,16,16,16,301,94,34,98
SBO,2021,1,4,9,1.8,98.6,6.8,1.6,4.4,1.7,12.8,0,969.1,225,0.6,1.8,15,0,15,9,9,9,9,305,100,34,98
SBO,2021,1,4,10,3.1,94.1,7.2,2.2,4.65,2.7,14.8,0,969.3,225,0.8,2,109,79,86,54,95,132,55,302,94,34,98
SBO,2021,1,4,11,3.6,92.3,7.3,2.5,4.72,3.1,15.4,0,968.9,225,0.3,1.4,44,0,44,28,28,28,28,309,100,34,98
SBO,2021,1,4,12,3.9,90.1,7.3,2.4,4.72,3.2,15.8,0,968.3,225,0.9,1.9,72,10,68,43,43,54,46,306,100,34,98
SBO,2021,1,4,13,4.2,89.5,7.4,2.6,4.79,3.5,16.2,0.1,968,225,0.7,1.6,78,6,76,48,48,55,50,313,100,34,98
SBO,2021,1,4,14,3.8,97,7.8,3.4,5.05,3.6,16.5,0.4,967.8,202,0.5,1.3,20,0,20,13,13,13,13,312,100,34,98
SBO,2021,1,4,15,3.7,99.1,7.9,3.6,5.12,3.7,16.5,0.1,968.1,202,0.5,0.9,27,5,26,16,16,20,20,311,100,34,98
SBO,2021,1,4,16,3.4,96.5,7.5,2.9,4.86,3.2,15.6,1.2,968.2,233,0.6,1.6,5,6,5,3,3,7,8,311,100,34,98
SBO,2021,1,4,17,2.9,98.5,7.4,2.7,4.79,2.8,14.9,0.1,968.3,225,0.6,1.9,0,0,0,0,0,0,0,310,100,34,98
SBO,2021,1,4,18,2.7,100,7.4,2.7,4.79,2.7,14.7,0.3,968.4,207,0.2,0.9,0,0,0,0,0,0,0,309,100,34,98
SBO,2021,1,4,19,2.8,99.4,7.4,2.7,4.79,2.8,14.8,1.2,968.6,0,0.4,1.3,0,0,0,0,0,0,0,309,100,34,98
SBO,2021,1,4,20,3.3,96.5,7.5,2.8,4.85,3.1,15.5,1.8,968.5,45,0.8,2.4,0,0,0,0,0,0,0,308,100,34,98
SBO,2021,1,4,21,3,96.7,7.3,2.5,4.72,2.8,14.8,2.1,968.8,256,1,2.6,0,0,0,0,0,0,0,306,100,34,98
SBO,2021,1,4,22,2.6,97.4,7.2,2.2,4.66,2.4,14.3,1.5,968.7,252,0.5,2.1,0,0,0,0,0,0,0,305,100,34,98
SBO,2021,1,4,23,2,96.5,6.8,1.5,4.4,1.8,13,0.1,968.7,234,0.9,2.3,0,0,0,0,0,0,0,304,100,34,98
SBO,2021,1,5,0,1.8,98.9,6.9,1.6,4.46,1.7,13,0,968.6,225,0.3,0.8,0,0,0,0,0,0,0,303,100,34,98
SBO,2021,1,5,1,2,99,7,1.9,4.53,2,13.3,0.1,968.6,225,0.3,1.1,0,0,0,0,0,0,0,299,100,34,98
SBO,2021,1,5,2,1.9,99.3,7,1.8,4.53,1.9,13.2,0,968.6,270,0.2,0.6,0,0,0,0,0,0,0,299,94,34,98
SBO,2021,1,5,3,2.4,97.8,7.1,2.1,4.59,2.3,13.9,0,968.3,58,1,2.3,0,0,0,0,0,0,0,300,100,34,98
SBO,2021,1,5,4,2.1,98.5,7,1.9,4.53,2,13.4,0,968,225,0.5,1.3,0,0,0,0,0,0,0,299,94,34,98
SBO,2021,1,5,5,1.9,99.2,6.9,1.8,4.47,1.9,13.1,0,967.9,217,0.5,1.1,0,0,0,0,0,0,0,298,100,34,98
SBO,2021,1,5,6,1.8,98.5,6.9,1.6,4.47,1.7,13,0,967.9,243,0.6,1.5,0,0,0,0,0,0,0,295,100,34,98
SBO,2021,1,5,7,1.7,99.2,6.8,1.6,4.4,1.7,12.7,0,967.8,207,0.3,1.2,0,0,0,0,0,0,0,297,100,34,98
SBO,2021,1,5,8,1.8,98.9,6.8,1.6,4.4,1.7,12.8,0,967.8,211,0.6,1.3,10,0,10,8,8,8,8,298,100,34,98
SBO,2021,1,5,9,2,98.3,7,1.8,4.53,1.9,13.3,0,967.9,217,0.6,1.3,45,8,43,31,36,38,31,299,100,34,98
SBO,2021,1,5,10,2.7,96.3,7.2,2.2,4.66,2.5,14.4,0,967.8,233,0.5,1.3,55,0,55,35,35,35,35,300,100,34,98
SBO,2021,1,5,11,3.3,93.5,7.3,2.4,4.73,2.9,15.2,0,967,207,0.2,0.8,45,0,45,28,28,29,29,301,100,34,98
SBO,2021,1,5,12,3.8,91.9,7.4,2.6,4.8,3.3,15.8,0,966.1,211,0.6,1.2,48,0,48,31,31,31,31,302,100,34,98
SBO,2021,1,5,13,4.1,90.9,7.5,2.8,4.87,3.5,16.3,0,965.5,220,0.8,2.1,109,84,80,51,51,138,81,302,100,34,98
