station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
SCU,2001,1,1,0,-8.4,73,2.5,-12.4,1.81,-9.4,-4,0,870.2,259,3.6,7.5,0,0,0,0,0,0,0,175,40,43,97
SCU,2001,1,1,1,-9.8,71.9,2.2,-13.9,1.58,-10.7,-5.9,0,869.4,253,3.1,6,0,0,0,0,0,0,0,175,0,43,97
SCU,2001,1,1,2,-10.6,71.7,2,-14.7,1.45,-11.5,-7.1,0,868.8,254,3.4,6.5,0,0,0,0,0,0,0,178,0,43,97
SCU,2001,1,1,3,-11.4,71.5,1.9,-15.5,1.33,-12.2,-8.2,0,868.2,253,3.9,7,0,0,0,0,0,0,0,183,25,43,97
SCU,2001,1,1,4,-11.7,71.3,1.8,-15.8,1.28,-12.5,-8.6,0,867.8,256,3.6,7.1,0,0,0,0,0,0,0,186,25,43,97
SCU,2001,1,1,5,-11.2,71.3,1.8,-15.3,1.33,-12.1,-8,0,867.6,256,3.4,6.3,0,0,0,0,0,0,0,189,25,43,97
SCU,2001,1,1,6,-10.8,72.1,1.9,-14.8,1.38,-11.7,-7.5,0,867.4,245,1.4,4.8,0,0,0,0,0,0,0,193,25,43,97
SCU,2001,1,1,7,-9.8,70.6,2,-14.2,1.46,-10.8,-6.3,0,867.2,247,1.3,5.4,11,0,11,7,7,7,7,207,63,43,97
SCU,2001,1,1,8,-8.5,65.4,2.1,-13.8,1.51,-9.8,-4.8,0,866.9,254,2.9,6.1,80,0,80,58,60,59,59,222,100,43,97
SCU,2001,1,1,9,-7,60.1,2.2,-13.4,1.58,-8.6,-3.1,0,866.9,245,3.6,6.9,168,115,136,91,153,206,92,226,80,43,97
SCU,2001,1,1,10,-5,61.1,2.6,-11.3,1.87,-6.8,-0.4,0,866.4,234,2.7,6.6,99,1,99,64,67,67,64,241,100,43,97
SCU,2001,1,1,11,-4.6,68.3,3,-9.5,2.16,-6.1,0.7,0,865.5,117,0.6,1.8,144,23,136,89,92,115,93,237,50,43,97
SCU,2001,1,1,12,-3.6,67.1,3.1,-8.8,2.24,-5.2,1.9,0,864.8,117,0.5,1.8,193,141,150,102,104,246,164,241,40,43,97
SCU,2001,1,1,13,-3.3,65.8,3.2,-8.8,2.31,-5,2.4,0,864.3,270,0.4,1.5,74,6,73,47,49,54,52,255,88,43,97
SCU,2001,1,1,14,-3.1,67.3,3.3,-8.3,2.38,-4.8,2.8,0,864.2,315,0.3,1.6,71,112,53,41,41,131,120,256,88,43,97
SCU,2001,1,1,15,-3.1,73.2,3.6,-7.2,2.6,-4.5,3.3,0,864.3,360,0.4,1.4,0,0,0,0,0,0,0,260,100,43,97
SCU,2001,1,1,16,-2.8,70.9,3.5,-7.3,2.53,-4.3,3.5,0,864.2,262,0.7,2.5,0,0,0,0,0,0,0,260,100,43,97
SCU,2001,1,1,17,-2.9,71.6,3.5,-7.3,2.53,-4.4,3.4,0,864,263,0.9,2.4,0,0,0,0,0,0,0,254,80,43,97
SCU,2001,1,1,18,-3.3,75,3.6,-7.1,2.6,-4.6,3.1,0,864.6,360,0.5,1.8,0,0,0,0,0,0,0,261,100,43,97
SCU,2001,1,1,19,-3.6,81.7,3.8,-6.3,2.75,-4.5,3.2,0,864,333,0.7,2.3,0,0,0,0,0,0,0,260,100,43,97
SCU,2001,1,1,20,-3.9,80.8,3.7,-6.7,2.67,-4.8,2.7,0,864.4,262,0.7,2.3,0,0,0,0,0,0,0,256,88,43,97
SCU,2001,1,1,21,-4.1,78.9,3.6,-7.2,2.6,-5.1,2.3,0,864.5,297,0.7,2.2,0,0,0,0,0,0,0,253,80,43,97
SCU,2001,1,1,22,-4.2,76.2,3.4,-7.8,2.45,-5.4,1.9,0,864.9,270,0.7,2.1,0,0,0,0,0,0,0,241,43,43,97
SCU,2001,1,1,23,-5.2,81.1,3.4,-7.9,2.45,-6,0.9,0,865.1,27,0.4,2.3,0,0,0,0,0,0,0,243,50,43,97
SCU,2001,1,2,0,-4.9,81.6,3.5,-7.6,2.53,-5.8,1.3,0,864.8,360,0.3,1.4,0,0,0,0,0,0,0,252,80,42,97
SCU,2001,1,2,1,-4.9,71.8,3.1,-9.2,2.24,-6.2,0.6,0,864.7,297,0.8,2.8,0,0,0,0,0,0,0,256,88,42,97
SCU,2001,1,2,2,-5.8,81.4,3.2,-8.5,2.31,-6.6,-0.1,0,864.4,360,0.5,2.8,0,0,0,0,0,0,0,245,50,42,97
SCU,2001,1,2,3,-6,80.2,3.1,-8.9,2.24,-6.9,-0.5,0,864.2,34,0.7,2.7,0,0,0,0,0,0,0,253,68,42,97
SCU,2001,1,2,4,-5.6,80.9,3.2,-8.4,2.31,-6.5,0.1,0,864.2,27,0.8,3.4,0,0,0,0,0,0,0,245,40,42,97
SCU,2001,1,2,5,-4.7,79.3,3.4,-7.7,2.46,-5.7,1.4,0,863.7,279,0.8,3,0,0,0,0,0,0,0,239,20,42,97
SCU,2001,1,2,6,-5.1,84.1,3.5,-7.4,2.53,-5.8,1.1,0,863.1,45,0.7,2.7,0,0,0,0,0,0,0,261,75,42,97
SCU,2001,1,2,7,-4.6,81.4,3.5,-7.3,2.53,-5.5,1.7,0,863.2,11,0.6,2.8,9,0,9,6,6,6,6,273,100,42,97
SCU,2001,1,2,8,-3.6,79.6,3.8,-6.6,2.75,-4.6,3.2,0,862.7,256,0.4,3,47,0,47,30,32,31,31,271,88,42,97
SCU,2001,1,2,9,-2.2,75.2,3.9,-6,2.82,-3.5,4.8,0,862.7,225,0.7,2.6,60,0,60,38,40,39,39,280,100,42,97
SCU,2001,1,2,10,-2.3,75.8,3.9,-6,2.83,-3.6,4.7,0,862.3,68,0.6,2.5,92,1,92,58,61,61,59,283,100,42,97
SCU,2001,1,2,11,-0.5,68.2,4,-5.6,2.9,-2.3,6.7,0,861.5,18,0.5,2,117,14,113,72,75,89,76,286,100,42,97
SCU,2001,1,2,12,-0.1,70.3,4.3,-4.8,3.12,-1.8,7.7,0,861.2,360,0.7,2.7,128,66,109,72,74,139,103,289,100,42,97
SCU,2001,1,2,13,-0.4,83,4.9,-2.9,3.56,-1.4,8.5,0.2,861.4,253,1.1,2.5,79,14,76,49,51,63,57,288,100,42,97
SCU,2001,1,2,14,-0.7,94.3,5.5,-1.5,4,-1,9.3,0.5,861.5,248,0.6,1.8,25,0,25,16,17,16,16,287,100,42,97
SCU,2001,1,2,15,-1,95.8,5.5,-1.6,4,-1.2,9,0.9,861.8,243,0.2,1.2,0,0,0,0,0,0,0,287,100,42,97
SCU,2001,1,2,16,-1.2,97,5.5,-1.6,4,-1.4,8.7,0.7,861.8,167,0.2,1,0,0,0,0,0,0,0,286,100,42,97
SCU,2001,1,2,17,-1.3,98.1,5.5,-1.6,4,-1.4,8.6,0.5,861.8,90,0.2,0.8,0,0,0,0,0,0,0,285,100,42,97
SCU,2001,1,2,18,-1.4,96.4,5.3,-1.9,3.85,-1.6,8.2,0.1,861.6,270,0.1,0.7,0,0,0,0,0,0,0,284,100,42,97
