station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
SHA,2005,1,1,0,1.1,89.2,5.9,-0.5,3.79,0.5,10.6,0,975,249,5.1,8.1,0,0,0,0,0,0,0,306,54,33,96
SHA,2005,1,1,1,1.4,90,6.1,0,3.91,0.8,11.2,0,975.7,253,4.9,6.5,0,0,0,0,0,0,0,292,27,33,96
SHA,2005,1,1,2,1.7,90.7,6.3,0.3,4.01,1.1,11.7,0,976.1,248,4,5.6,0,0,0,0,0,0,0,306,20,33,96
SHA,2005,1,1,3,1.9,91.4,6.4,0.7,4.11,1.4,12.2,0,976.6,254,3.2,4.3,0,0,0,0,0,0,0,311,20,33,96
SHA,2005,1,1,4,2.1,92.1,6.5,1,4.19,1.6,12.6,0,976.8,245,2.6,4.2,0,0,0,0,0,0,0,315,36,33,96
SHA,2005,1,1,5,2.2,92.3,6.6,1.1,4.23,1.7,12.8,0,976.8,240,3.4,5.1,0,0,0,0,0,0,0,302,36,33,96
SHA,2005,1,1,6,2.3,92.2,6.6,1.2,4.26,1.8,13,0,976.9,243,3.4,5,0,0,0,0,0,0,0,314,30,33,96
SHA,2005,1,1,7,2.4,92.2,6.7,1.3,4.29,1.9,13.2,0,977,251,3.9,6.5,7,0,7,5,5,5,5,300,30,33,96
SHA,2005,1,1,8,2.5,92.6,6.8,1.4,4.36,2,13.4,0,977.1,256,4.1,5.9,32,15,30,19,31,31,19,315,81,33,96
SHA,2005,1,1,9,2.7,92,6.8,1.5,4.36,2.2,13.6,0,977.1,259,4.8,6.6,23,0,23,15,15,15,14,321,94,33,96
SHA,2005,1,1,10,3.1,90.8,6.9,1.7,4.43,2.5,14.2,0,976.7,261,3.8,5.9,121,22,114,73,81,97,71,323,88,33,96
SHA,2005,1,1,11,3.5,88.5,7,1.8,4.49,2.8,14.8,0,976.2,262,3.8,5.1,34,0,34,22,22,22,21,326,100,33,96
SHA,2005,1,1,12,3.8,87.9,7,2,4.5,3,15.1,0,975.6,264,2.9,4.3,168,171,117,75,76,249,145,318,71,33,96
SHA,2005,1,1,13,4.2,87.9,7.3,2.4,4.69,3.4,16,0,975.1,266,2.8,4.6,105,107,77,50,50,153,102,311,69,33,96
SHA,2005,1,1,14,4.3,87.9,7.3,2.5,4.69,3.5,16.1,0,975.2,262,4.5,6.1,6,0,6,4,4,4,4,318,75,33,96
SHA,2005,1,1,15,4.5,87.5,7.3,2.6,4.69,3.6,16.3,0,974.9,253,4.2,6.3,6,0,6,4,4,4,4,306,48,33,96
