station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
STG,2013,1,1,0,2.2,72.2,5.1,-3,3.4,0.3,10.7,0,929.7,124,1.1,2,0,0,0,0,0,0,0,243,78,28,97
STG,2013,1,1,1,2.5,64.4,4.6,-4.1,3.11,0.1,10.3,0,926.4,172,0.7,1.5,0,0,0,0,0,0,0,238,53,28,97
STG,2013,1,1,2,2.6,59.8,4.4,-4.8,2.94,-0.1,9.9,0,924.2,198,0.7,1.4,0,0,0,0,0,0,0,248,100,28,97
STG,2013,1,1,3,2.8,54.8,4.1,-5.6,2.76,-0.2,9.7,0,922,194,1.6,5.5,0,0,0,0,0,0,0,250,100,28,97
STG,2013,1,1,4,2.9,52.4,3.9,-5.9,2.67,-0.3,9.6,0,920.8,184,3.9,6.5,0,0,0,0,0,0,0,251,100,28,97
STG,2013,1,1,5,3.1,51.3,3.9,-6,2.65,-0.2,9.7,0,920.7,177,2.1,3.8,0,0,0,0,0,0,0,251,100,28,97
STG,2013,1,1,6,3.4,50,3.9,-6.1,2.62,-0.1,9.9,0,920.5,135,0.8,1.7,0,0,0,0,0,0,0,253,100,28,97
STG,2013,1,1,7,3.8,48.2,3.8,-6.2,2.6,0.2,10.3,0,920.6,183,2.2,5.6,13,0,13,10,9,9,10,258,94,28,97
STG,2013,1,1,8,4.6,43.4,3.7,-6.8,2.51,0.5,10.9,0,920.5,193,3.1,6.8,38,6,37,27,29,29,26,262,84,28,97
STG,2013,1,1,9,5.1,44.8,3.9,-5.9,2.65,1,11.8,0,920.9,236,1.4,4.3,62,9,60,39,42,44,38,272,100,28,97
STG,2013,1,1,10,5.2,48.5,4.3,-4.8,2.92,1.3,12.5,0,921.1,240,1.4,3.4,112,40,99,63,72,100,62,280,100,28,97
STG,2013,1,1,11,5.4,49.3,4.4,-4.4,2.99,1.6,12.9,0,921.2,270,1.6,4.7,126,40,112,72,68,109,78,286,100,28,97
STG,2013,1,1,12,5.6,49.6,4.5,-4.1,3.05,1.8,13.3,0,921.4,254,1.8,4.7,96,7,94,60,57,62,61,293,100,28,97
STG,2013,1,1,13,5.9,48.6,4.5,-4.1,3.05,1.9,13.6,0,921.6,230,1.8,4.7,32,0,32,21,20,19,20,293,100,28,97
STG,2013,1,1,14,5.8,50.1,4.6,-3.8,3.12,2,13.7,0,921.7,221,2,5.6,11,0,11,7,6,6,7,294,100,28,97
STG,2013,1,1,15,4.8,63.5,5.5,-1.5,3.73,2.2,14.2,0,922.1,265,2.2,6.2,0,0,0,0,0,0,0,294,100,28,97
STG,2013,1,1,16,4.5,64.7,5.4,-1.6,3.66,2,13.7,0,922.3,243,1.4,3.6,0,0,0,0,0,0,0,295,100,28,97
STG,2013,1,1,17,4.1,67.1,5.5,-1.4,3.73,1.8,13.5,0,922.7,210,1.7,5.2,0,0,0,0,0,0,0,295,100,28,97
STG,2013,1,1,18,4.1,71.7,5.9,-0.5,4,2.2,14.1,0,923,235,2.2,5.8,0,0,0,0,0,0,0,295,100,28,97
STG,2013,1,1,19,3.6,74.6,5.9,-0.5,4,1.9,13.6,0,923.2,231,1.4,4.7,0,0,0,0,0,0,0,297,100,28,97
STG,2013,1,1,20,3.9,71.9,5.8,-0.7,3.93,2,13.8,0,923.6,201,1.9,4.9,0,0,0,0,0,0,0,300,100,28,97
STG,2013,1,1,21,4.2,72.4,6,-0.3,4.07,2.3,14.4,0,924,237,2.1,5.4,0,0,0,0,0,0,0,299,100,28,97
STG,2013,1,1,22,3.9,78.8,6.3,0.6,4.27,2.5,14.6,0,924.5,229,2.8,6.3,0,0,0,0,0,0,0,299,100,28,97
STG,2013,1,1,23,3,87.7,6.7,1.2,4.54,2.2,14.4,0.8,924.9,212,1.9,5.2,0,0,0,0,0,0,0,298,100,28,97
STG,2013,1,2,0,2.8,90.3,6.8,1.4,4.6,2.2,14.3,0.6,925.6,239,1.9,4.7,0,0,0,0,0,0,0,296,100,28,97
STG,2013,1,2,1,1.7,95.5,6.6,1.1,4.46,1.4,12.9,1.4,926.7,263,2.5,6.3,0,0,0,0,0,0,0,292,100,28,97
STG,2013,1,2,2,0.8,96.7,6.3,0.3,4.25,0.6,11.4,1.5,927.7,241,1.1,3.9,0,0,0,0,0,0,0,288,100,28,97
STG,2013,1,2,3,0.6,97,6.2,0.2,4.18,0.4,11,1.6,928.5,255,1.2,5,0,0,0,0,0,0,0,283,100,28,97
STG,2013,1,2,4,0.6,89.5,5.7,-0.9,3.84,0,10.2,0.2,929.2,249,2.2,5.5,0,0,0,0,0,0,0,278,100,28,97
STG,2013,1,2,5,0.6,88.9,5.7,-1,3.84,0,10.2,0,929.7,203,1.4,2.8,0,0,0,0,0,0,0,274,100,28,97
STG,2013,1,2,6,0.5,87.7,5.5,-1.3,3.7,-0.2,9.7,0,930.3,180,2.1,3.9,0,0,0,0,0,0,0,271,100,28,97
STG,2013,1,2,7,0.5,85.7,5.5,-1.6,3.7,-0.3,9.7,0,931.3,167,2.6,3.9,14,0,14,10,10,9,10,270,100,28,97
STG,2013,1,2,8,0.5,84.5,5.4,-1.8,3.62,-0.4,9.5,0,932.4,166,3,4.4,50,18,47,30,41,43,30,268,100,28,97
STG,2013,1,2,9,0.8,81.6,5.3,-2,3.55,-0.3,9.7,0,933.2,161,3,4.2,66,12,62,40,43,49,39,268,90,28,97
STG,2013,1,2,10,1.2,79.3,5.3,-2,3.55,-0.1,10.1,0,933.7,190,1.8,3.2,61,0,61,39,37,36,38,267,94,28,97
STG,2013,1,2,11,1.7,81.4,5.6,-1.1,3.75,0.6,11.1,0,933.7,162,0.7,1.8,62,1,61,39,38,37,39,266,94,28,97
STG,2013,1,2,12,2.1,83.1,5.9,-0.5,3.95,1,12,0,934.1,284,0.9,2.8,16,0,16,10,10,9,10,264,100,28,97
STG,2013,1,2,13,2.1,79.2,5.7,-1.1,3.82,0.8,11.6,0,934.6,270,1.2,4,25,0,25,16,15,14,16,262,100,28,97
STG,2013,1,2,14,1.7,89.3,6.1,0.1,4.08,1,11.9,0,935.3,354,1.3,2.7,6,0,6,4,4,3,4,259,100,28,97
STG,2013,1,2,15,1.4,93.3,6.3,0.4,4.22,1,11.9,0,935.9,82,0.9,2.2,0,0,0,0,0,0,0,253,81,28,97
STG,2013,1,2,16,0.7,90.3,5.8,-0.7,3.88,0.1,10.4,0,936.7,164,0.9,1.7,0,0,0,0,0,0,0,241,10,28,97
STG,2013,1,2,17,0,90.9,5.6,-1.3,3.74,-0.5,9.3,0,937.3,175,1.1,2.1,0,0,0,0,0,0,0,241,10,28,97
STG,2013,1,2,18,-0.4,88.9,5.3,-2,3.53,-1,8.4,0,938.1,167,2.3,3.8,0,0,0,0,0,0,0,244,6,28,97
STG,2013,1,2,19,-0.4,86.4,5.1,-2.4,3.4,-1.2,8.1,0,938.5,176,1.6,2.8,0,0,0,0,0,0,0,241,0,28,97
STG,2013,1,2,20,-0.4,84.3,5,-2.7,3.33,-1.3,7.9,0,938.6,175,1.1,2,0,0,0,0,0,0,0,231,0,28,97
STG,2013,1,2,21,-1,85.5,4.8,-3.1,3.2,-1.8,7,0,938.9,185,1.2,2.7,0,0,0,0,0,0,0,242,0,28,97
STG,2013,1,2,22,-0.9,85.3,4.9,-3.1,3.26,-1.7,7.2,0,939.4,177,2,3,0,0,0,0,0,0,0,241,0,28,97
STG,2013,1,2,23,-1.1,83.9,4.8,-3.5,3.2,-2,6.9,0,939.2,180,1.8,2.4,0,0,0,0,0,0,0,239,0,28,97
STG,2013,1,3,0,-0.9,81.5,4.7,-3.7,3.13,-1.9,6.9,0,939.4,180,1.1,2.6,0,0,0,0,0,0,0,239,25,28,97
STG,2013,1,3,1,-1,82.5,4.7,-3.6,3.12,-1.9,6.8,0,940.4,185,1.2,2.4,0,0,0,0,0,0,0,242,29,28,97
STG,2013,1,3,2,-1.3,83.2,4.6,-3.8,3.06,-2.2,6.3,0,940.6,169,1.6,3.2,0,0,0,0,0,0,0,245,25,28,97
STG,2013,1,3,3,-1.3,82.2,4.6,-3.9,3.05,-2.2,6.3,0,941.3,180,1.4,3.3,0,0,0,0,0,0,0,247,25,28,97
STG,2013,1,3,4,-1.4,81.6,4.5,-4.1,2.99,-2.4,6,0,941.7,183,1.9,3.8,0,0,0,0,0,0,0,249,44,28,97
STG,2013,1,3,5,-0.8,80.7,4.6,-3.7,3.05,-1.9,6.8,0,942.2,186,1.1,2.4,0,0,0,0,0,0,0,251,94,28,97
STG,2013,1,3,6,0.1,73.7,4.5,-4,2.99,-1.4,7.5,0,941.5,170,2.3,5.4,0,0,0,0,0,0,0,255,74,28,97
