station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
TAE,2013,1,1,0,-4.6,85.3,3.8,-6.8,2.53,-5.3,1.6,0,949.9,191,0.5,1.3,0,0,0,0,0,0,0,263,94,32,98
TAE,2013,1,1,1,-3,83.7,4.2,-5.5,2.77,-3.9,3.8,0,949.3,146,0.4,1.4,0,0,0,0,0,0,0,264,81,32,98
TAE,2013,1,1,2,-1.5,80.5,4.5,-4.6,2.93,-2.6,5.8,0,948.9,194,0.5,2,0,0,0,0,0,0,0,270,100,32,98
TAE,2013,1,1,3,0.2,76.4,4.7,-3.6,3.11,-1.2,8,0,948.4,191,2.1,4.5,0,0,0,0,0,0,0,271,100,32,98
TAE,2013,1,1,4,1.6,71.8,4.9,-3.1,3.21,-0.2,9.6,0,948,117,0.6,3.4,0,0,0,0,0,0,0,272,100,32,98
TAE,2013,1,1,5,2.8,66,4.9,-3,3.22,0.6,10.9,0,947.8,76,0.4,2,0,0,0,0,0,0,0,267,94,32,98
TAE,2013,1,1,6,3.8,61.5,4.9,-3,3.22,1.1,11.9,0,947.6,202,0.8,5.3,0,0,0,0,0,0,0,277,94,32,98
TAE,2013,1,1,7,4.9,56.2,4.8,-3.2,3.19,1.7,12.9,0,947.6,224,3.4,8.6,1,0,1,1,1,1,1,286,100,32,98
TAE,2013,1,1,8,6.3,49.1,4.7,-3.6,3.1,2.4,14.1,0,947.5,232,3.9,11.7,7,0,7,5,5,5,5,292,100,32,98
TAE,2013,1,1,9,6.1,51.7,4.9,-3.1,3.23,2.4,14.2,0,948,230,4.3,11.5,95,17,91,59,67,72,57,297,100,32,98
TAE,2013,1,1,10,6.8,51.4,5.1,-2.5,3.36,3,15.3,0,948.3,225,4.5,10.8,119,8,116,76,77,80,73,305,100,32,98
TAE,2013,1,1,11,6.8,53.3,5.2,-2,3.43,3.2,15.4,0,948.4,226,3.5,8.2,49,0,49,32,31,30,31,311,100,32,98
TAE,2013,1,1,12,6.5,61.6,5.9,-0.3,3.89,3.6,16.3,0.4,948.5,227,3.3,8.8,72,1,71,46,46,45,45,315,100,32,98
TAE,2013,1,1,13,5.5,75.9,6.8,1.6,4.49,3.8,16.8,2,948.8,217,3,7.3,13,0,13,9,9,8,8,315,100,32,98
TAE,2013,1,1,14,5,83.7,7.3,2.5,4.82,3.9,17.1,2.3,949.3,211,3.9,8.3,6,0,6,4,4,4,4,315,100,32,98
TAE,2013,1,1,15,4.6,87.7,7.5,2.7,4.95,3.7,17,2.4,949.6,214,3.3,8.2,0,0,0,0,0,0,0,315,100,32,98
TAE,2013,1,1,16,4.4,89.3,7.5,2.8,4.95,3.7,16.8,1.8,949.7,213,2.8,5.8,0,0,0,0,0,0,0,315,100,32,98
TAE,2013,1,1,17,4.6,87.9,7.4,2.8,4.88,3.8,16.9,0.5,949.9,218,2.5,6.5,0,0,0,0,0,0,0,315,100,32,98
TAE,2013,1,1,18,4.7,88,7.5,2.9,4.95,3.9,17.1,0.5,950.2,215,3.6,8.9,0,0,0,0,0,0,0,315,100,32,98
TAE,2013,1,1,19,4.5,87.1,7.3,2.5,4.81,3.6,16.6,0.6,950.6,204,3.8,9,0,0,0,0,0,0,0,314,100,32,98
TAE,2013,1,1,20,4.3,86.9,7.2,2.3,4.75,3.4,16.2,0.3,951,216,3.1,7.8,0,0,0,0,0,0,0,311,94,32,98
TAE,2013,1,1,21,4.7,87.1,7.4,2.7,4.88,3.8,16.9,0.2,951.4,218,2.9,7.2,0,0,0,0,0,0,0,313,100,32,98
TAE,2013,1,1,22,4.5,89.2,7.5,2.9,4.94,3.8,16.9,0.6,952,233,2.1,7.5,0,0,0,0,0,0,0,312,100,32,98
TAE,2013,1,1,23,4.4,91.2,7.6,3.1,5,3.8,17,0.4,952.6,242,2,5.2,0,0,0,0,0,0,0,311,100,32,98
TAE,2013,1,2,0,4.2,92.8,7.7,3.1,5.06,3.7,16.9,0.2,953.4,267,1.7,3.7,0,0,0,0,0,0,0,309,100,30,98
TAE,2013,1,2,1,4.1,88.8,7.3,2.4,4.79,3.3,16.1,0.4,954.5,274,1.5,3.7,0,0,0,0,0,0,0,305,100,30,98
TAE,2013,1,2,2,2.7,90.9,6.8,1.4,4.46,2.1,13.9,1.8,955.6,252,1.6,4.6,0,0,0,0,0,0,0,301,100,30,98
TAE,2013,1,2,3,2.2,93.2,6.6,1.2,4.32,1.8,13,0.1,956.3,220,0.9,2.3,0,0,0,0,0,0,0,296,100,30,98
TAE,2013,1,2,4,1.8,95.6,6.7,1.2,4.39,1.5,12.8,0,956.8,169,0.7,1.6,0,0,0,0,0,0,0,293,100,30,98
TAE,2013,1,2,5,1.7,95.6,6.6,1.1,4.32,1.4,12.5,0,957.4,171,0.6,1.2,0,0,0,0,0,0,0,287,100,30,98
TAE,2013,1,2,6,1.5,94,6.4,0.6,4.18,1.1,12,0,958.2,236,0.4,1.7,0,0,0,0,0,0,0,283,88,30,98
TAE,2013,1,2,7,1.1,95.3,6.3,0.4,4.11,0.8,11.4,0,959.3,194,0.5,1.3,15,25,14,9,28,25,8,278,81,30,98
TAE,2013,1,2,8,1.9,91.1,6.4,0.6,4.17,1.4,12.3,0,960.3,225,0.6,2,146,512,58,39,379,454,39,277,43,30,98
TAE,2013,1,2,9,1.4,93.8,6.3,0.5,4.1,1,11.7,0,961.3,180,0.3,1,152,158,112,71,157,218,69,285,61,30,98
TAE,2013,1,2,10,3.3,85.1,6.5,1,4.23,2.3,13.9,0,961.7,247,0.7,2.7,128,120,89,57,85,180,56,287,75,30,98
TAE,2013,1,2,11,3.8,80.4,6.5,0.7,4.23,2.5,14.4,0,961.7,263,1.7,4.7,211,181,151,97,102,282,125,280,58,30,98
TAE,2013,1,2,12,4.1,77.3,6.3,0.5,4.1,2.6,14.4,0,962,238,1.6,4.3,314,767,77,63,64,812,307,283,36,30,98
TAE,2013,1,2,13,3.9,75.9,6.1,0,3.97,2.3,13.9,0,962.5,234,0.8,2.3,50,12,47,30,30,39,37,281,75,30,98
TAE,2013,1,2,14,3.9,74.6,6,-0.2,3.9,2.2,13.7,0,963.3,333,1,2.6,31,2,30,19,19,20,20,275,81,30,98
TAE,2013,1,2,15,3,82.7,6.3,0.4,4.09,1.9,13.3,0,963.8,198,0.6,1.3,2,0,2,1,1,1,1,255,35,30,98
TAE,2013,1,2,16,0.9,91.8,6,-0.3,3.89,0.4,10.6,0,964.7,216,0.9,2,0,0,0,0,0,0,0,248,0,30,98
TAE,2013,1,2,17,-0.3,94.3,5.6,-1.1,3.63,-0.6,8.7,0,965.4,210,0.8,1.9,0,0,0,0,0,0,0,253,0,30,98
TAE,2013,1,2,18,-0.5,94.1,5.5,-1.3,3.56,-0.8,8.4,0,966.1,230,0.8,1.6,0,0,0,0,0,0,0,244,0,30,98
TAE,2013,1,2,19,-1.1,95.6,5.4,-1.7,3.49,-1.3,7.6,0,966.5,231,0.6,1.5,0,0,0,0,0,0,0,241,0,30,98
TAE,2013,1,2,20,-1.7,96.3,5.2,-2.2,3.36,-1.9,6.7,0,966.8,207,0.7,1.4,0,0,0,0,0,0,0,240,0,30,98
TAE,2013,1,2,21,-2.3,98.2,5.1,-2.5,3.3,-2.4,5.9,0,967.2,180,0.2,0.6,0,0,0,0,0,0,0,239,0,30,98
TAE,2013,1,2,22,-2.3,96.5,5,-2.8,3.23,-2.5,5.7,0,967.5,153,0.5,1.1,0,0,0,0,0,0,0,238,0,30,98
TAE,2013,1,2,23,-2.7,97.8,4.9,-3,3.17,-2.8,5.2,0,967.7,162,0.3,1.3,0,0,0,0,0,0,0,237,0,30,98
TAE,2013,1,3,0,-2.6,96.9,4.9,-3,3.16,-2.7,5.3,0,968,162,0.3,1.2,0,0,0,0,0,0,0,237,6,28,98
TAE,2013,1,3,1,-3.3,94.9,4.6,-4,2.97,-3.5,4.1,0,968.7,191,0.6,1.3,0,0,0,0,0,0,0,243,31,28,98
TAE,2013,1,3,2,-3.1,96.1,4.7,-3.6,3.03,-3.3,4.4,0,969.4,169,0.6,1.9,0,0,0,0,0,0,0,244,0,28,98
TAE,2013,1,3,3,-3.3,95.3,4.6,-3.9,2.96,-3.5,4,0,969.6,135,0.2,1.2,0,0,0,0,0,0,0,249,20,28,98
TAE,2013,1,3,4,-1.2,87.8,4.9,-3,3.16,-1.9,6.7,0,970,230,0.8,3.8,0,0,0,0,0,0,0,260,60,28,98
TAE,2013,1,3,5,0.9,78.8,5.1,-2.4,3.29,-0.4,9.1,0,970.3,247,1.4,3.1,0,0,0,0,0,0,0,278,71,28,98
TAE,2013,1,3,6,1.5,74.3,5.1,-2.6,3.29,-0.1,9.7,0,970.6,279,1.4,4.8,0,0,0,0,0,0,0,277,64,28,98
TAE,2013,1,3,7,1.6,73,5,-2.7,3.22,0,9.6,0,971.2,227,1.7,5.3,15,37,12,8,36,33,7,281,68,28,98
