station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
ULR,2011,1,1,0,-13.2,65,1.5,-18.4,1.11,-14.2,-10.6,0,861.1,72,0.6,2,0,0,0,0,0,0,0,171,0,54,96
ULR,2011,1,1,1,-14.5,65.4,1.4,-19.5,1,-15.4,-12.1,0,862.9,51,0.7,1.3,0,0,0,0,0,0,0,171,0,54,96
ULR,2011,1,1,2,-15.4,65.3,1.3,-20.4,0.93,-16.2,-13.2,0,864,90,0.3,1,0,0,0,0,0,0,0,172,0,54,96
ULR,2011,1,1,3,-16.4,64.5,1.1,-21.5,0.83,-17.1,-14.4,0,865.3,68,0.5,1,0,0,0,0,0,0,0,172,0,54,96
ULR,2011,1,1,4,-17,63.9,1.1,-22.2,0.76,-17.7,-15.3,0,865.8,63,0.2,0.8,0,0,0,0,0,0,0,173,0,54,96
ULR,2011,1,1,5,-17.1,63.6,1,-22.4,0.75,-17.8,-15.4,0,865.8,63,0.5,1.4,0,0,0,0,0,0,0,172,0,54,96
ULR,2011,1,1,6,-17.3,63.7,1,-22.6,0.73,-18,-15.7,0,865.8,90,0.4,1.5,0,0,0,0,0,0,0,172,0,54,96
ULR,2011,1,1,7,-17.3,62.7,1,-22.7,0.72,-18,-15.7,0,866,56,0.4,1.5,11,0,11,14,14,14,14,174,6,54,96
ULR,2011,1,1,8,-17,59.5,1,-23,0.72,-17.8,-15.4,0,866.3,56,0.4,1.9,35,0,35,67,66,66,66,175,6,54,96
ULR,2011,1,1,9,-17.3,57.7,0.9,-23.7,0.65,-18.2,-15.8,0,866.1,360,0.2,1.3,44,0,44,110,107,108,107,176,6,54,96
ULR,2011,1,1,10,-16.4,73.4,1.3,-20,0.94,-17,-14.2,0,865.4,90,0.5,1.8,49,0,49,137,133,134,133,178,6,54,96
ULR,2011,1,1,11,-13.4,78.4,1.7,-16.4,1.23,-14,-10.5,0,864.8,56,0.4,1.3,376,765,110,145,188,916,199,180,0,54,96
ULR,2011,1,1,12,-9.3,84.5,2.6,-11.4,1.88,-9.8,-4.7,0,864.2,90,0.2,0.9,344,733,106,134,131,854,369,180,13,54,96
ULR,2011,1,1,13,-7.9,85.9,2.9,-9.8,2.1,-8.4,-2.8,0,863.7,207,0.2,0.9,262,664,89,105,103,705,457,180,6,54,96
ULR,2011,1,1,14,-6.5,81.3,3.1,-9.2,2.24,-7.3,-1,0,863.9,56,0.4,1.8,142,524,59,61,60,469,426,179,0,54,96
ULR,2011,1,1,15,-7.5,81.7,2.8,-10.1,2.02,-8.2,-2.5,0,863.9,72,0.4,1.3,21,135,12,11,11,99,117,178,0,54,96
ULR,2011,1,1,16,-10.1,90.4,2.6,-11.4,1.88,-10.4,-5.5,0,864.1,360,0.3,1.1,0,0,0,0,0,0,0,178,0,54,96
ULR,2011,1,1,17,-11.6,88.9,2.3,-13.1,1.66,-11.9,-7.6,0,864,56,0.4,1.4,0,0,0,0,0,0,0,177,0,54,96
ULR,2011,1,1,18,-12.6,74.2,1.7,-16.2,1.23,-13.3,-9.7,0,863.9,56,0.5,1.6,0,0,0,0,0,0,0,178,0,54,96
ULR,2011,1,1,19,-13.5,84.8,1.8,-15.5,1.3,-13.9,-10.4,0,863.6,45,0.3,1.1,0,0,0,0,0,0,0,177,0,54,96
ULR,2011,1,1,20,-14.4,81.1,1.6,-16.9,1.15,-14.9,-11.7,0,863.3,51,0.7,2.2,0,0,0,0,0,0,0,177,0,54,96
ULR,2011,1,1,21,-15.2,74.6,1.4,-18.7,1.01,-15.8,-12.8,0,863.2,0,0.3,1.2,0,0,0,0,0,0,0,177,0,54,96
ULR,2011,1,1,22,-14.8,74.4,1.5,-18.3,1.08,-15.4,-12.3,0,863.3,63,0.6,2.6,0,0,0,0,0,0,0,176,0,54,96
