station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
VAD,1998,1,1,0,7.3,67.1,6.2,0,4.02,3.7,17.4,0,964.7,325,0.7,2.6,0,0,0,0,0,0,0,310,100,28,97
VAD,1998,1,1,1,4.5,75.7,5.9,-0.6,3.84,2,14.1,0,963.9,280,0.4,1.8,0,0,0,0,0,0,0,310,100,28,97
VAD,1998,1,1,2,2.6,81.5,5.7,-1,3.71,0.9,11.9,0,963.4,163,0.3,1.9,0,0,0,0,0,0,0,310,100,28,97
VAD,1998,1,1,3,0.7,87.3,5.5,-1.4,3.59,-0.2,9.7,0,962.9,235,0.3,1.9,0,0,0,0,0,0,0,310,100,28,97
VAD,1998,1,1,4,-0.1,90.3,5.5,-1.6,3.55,-0.7,8.7,0,962.7,325,0.4,1.9,0,0,0,0,0,0,0,310,100,28,97
VAD,1998,1,1,5,0,90.4,5.5,-1.4,3.58,-0.5,8.9,0,962.8,55,0.2,1.8,0,0,0,0,0,0,0,310,100,28,97
VAD,1998,1,1,6,0.1,90.4,5.6,-1.3,3.62,-0.4,9.2,0,962.9,190,0.9,2.6,0,0,0,0,0,0,0,310,100,28,97
VAD,1998,1,1,7,0.4,90.4,5.7,-1,3.69,-0.1,9.6,0,963,352,0.8,3.8,2,0,2,1,1,1,1,312,100,28,97
VAD,1998,1,1,8,0.5,91.2,5.8,-0.8,3.77,0,9.9,0,963.1,317,0.6,2.5,10,0,10,6,5,6,6,314,100,28,97
VAD,1998,1,1,9,1.1,89.8,6,-0.4,3.9,0.5,10.8,0,963.5,280,0.5,3.3,96,38,86,50,66,86,51,316,100,28,97
VAD,1998,1,1,10,2.1,87.5,6.2,0.2,4.03,1.3,12.2,0,963.1,340,0.9,3.1,193,123,153,90,122,218,90,313,88,28,97
VAD,1998,1,1,11,2.2,87.4,6.2,0.3,4.03,1.4,12.3,0,962.5,329,2,5.6,230,205,161,94,101,312,119,320,100,28,97
VAD,1998,1,1,12,2.7,86.1,6.4,0.6,4.17,1.8,13.1,0,961.7,351,1.8,4.7,236,340,132,79,76,419,217,311,75,28,97
VAD,1998,1,1,13,5.2,77.4,6.9,1.6,4.5,3.6,16.5,0,961.2,342,2.3,7.7,88,17,84,49,44,64,60,321,100,28,97
VAD,1998,1,1,14,5.1,79.1,6.9,1.8,4.5,3.6,16.4,0,961.5,346,4.1,7.7,7,0,7,4,3,4,4,320,100,28,97
VAD,1998,1,1,15,4,81.8,6.6,1.2,4.3,2.8,14.8,0,961.4,340,2.8,5.8,0,0,0,0,0,0,0,320,100,28,97
VAD,1998,1,1,16,2.6,87.3,6.4,0.7,4.17,1.8,13,0,961,352,1.6,3.9,0,0,0,0,0,0,0,319,100,28,97
VAD,1998,1,1,17,1.9,90.5,6.3,0.5,4.11,1.3,12.2,0,959.5,353,1.1,2.8,0,0,0,0,0,0,0,319,100,28,97
VAD,1998,1,1,18,6.9,65.4,6.1,0.9,3.98,4.3,16.9,0,959.1,160,3.8,12.7,0,0,0,0,0,0,0,318,100,28,97
VAD,1998,1,1,19,13.1,34.9,5.2,-2,3.39,6.4,21.7,0,958.7,171,6.9,15.4,0,0,0,0,0,0,0,313,88,28,97
