station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
VIS,2013,1,1,0,-0.2,82.8,5.1,-2.8,3.44,-1.1,8.4,0,934.2,127,0.5,1.8,0,0,0,0,0,0,0,244,78,36,97
VIS,2013,1,1,1,-0.9,80.5,4.7,-3.9,3.14,-1.9,6.9,0,936.1,117,0.8,1.8,0,0,0,0,0,0,0,247,100,36,97
VIS,2013,1,1,2,-1.5,79.3,4.4,-4.6,2.95,-2.5,5.9,0,937.3,108,1,2.3,0,0,0,0,0,0,0,244,100,36,97
VIS,2013,1,1,3,-2.1,78.4,4.2,-5.3,2.77,-3.1,4.8,0,938.5,121,0.6,2.1,0,0,0,0,0,0,0,246,100,36,97
VIS,2013,1,1,4,-2.4,78.6,4,-5.7,2.69,-3.5,4.2,0,938.9,270,0.5,1.7,0,0,0,0,0,0,0,238,94,36,97
VIS,2013,1,1,5,-2.4,79.5,4.1,-5.5,2.72,-3.4,4.4,0,938.8,108,0.7,1.8,0,0,0,0,0,0,0,245,100,36,97
VIS,2013,1,1,6,-2.7,81.6,4.1,-5.4,2.73,-3.6,4.1,0,938.7,135,0.7,2.5,0,0,0,0,0,0,0,247,100,36,97
VIS,2013,1,1,7,-2.1,80.6,4.2,-5,2.82,-3.1,5,0,938.9,135,0.4,1.6,1,0,1,1,1,1,1,254,100,36,97
VIS,2013,1,1,8,-1,77.4,4.4,-4.4,2.93,-2.2,6.3,0,939.2,279,1.6,3.8,10,0,10,6,6,6,6,260,100,36,97
VIS,2013,1,1,9,-0.1,75.3,4.5,-3.9,2.99,-1.5,7.4,0,939.7,99,0.8,1.8,52,0,52,30,32,30,33,268,100,36,97
VIS,2013,1,1,10,0.7,73.2,4.7,-3.5,3.13,-0.9,8.5,0,939.2,108,0.8,2.4,107,0,107,67,70,66,71,275,100,36,97
VIS,2013,1,1,11,2.7,67,4.9,-2.8,3.27,0.6,10.9,0,938.1,90,1.7,3.3,63,0,63,37,39,37,40,282,100,36,97
VIS,2013,1,1,12,3.7,60.3,4.8,-3.3,3.2,1,11.7,0,937.6,107,1.2,2.5,30,0,30,18,19,18,19,286,100,36,97
VIS,2013,1,1,13,3.2,65.4,5,-2.7,3.33,0.9,11.6,0,938,273,2,4.2,29,0,29,17,18,17,18,287,100,36,97
VIS,2013,1,1,14,3.1,63.8,4.8,-3.1,3.2,0.7,11.1,0,938.3,287,1.2,3,9,0,9,5,5,5,5,288,100,36,97
VIS,2013,1,1,15,2.9,66.9,5,-2.6,3.33,0.7,11.2,0,939,292,1.8,5.4,1,0,1,1,1,1,1,289,100,36,97
VIS,2013,1,1,16,2.6,67.6,5,-2.8,3.33,0.5,10.9,0,939.5,280,1.5,5.3,0,0,0,0,0,0,0,289,100,36,97
VIS,2013,1,1,17,1.9,74.9,5.2,-2.1,3.46,0.3,10.6,0,940.3,153,0.3,1,0,0,0,0,0,0,0,290,100,36,97
VIS,2013,1,1,18,1.4,78.9,5.3,-1.9,3.52,0.1,10.2,0,940.6,117,0.3,1.3,0,0,0,0,0,0,0,290,100,36,97
VIS,2013,1,1,19,1,82.3,5.4,-1.7,3.59,-0.1,10,0,941,104,0.4,1,0,0,0,0,0,0,0,290,100,36,97
VIS,2013,1,1,20,1.2,82.2,5.5,-1.5,3.66,0.1,10.3,0,941.1,117,0.5,1.2,0,0,0,0,0,0,0,289,100,36,97
VIS,2013,1,1,21,0.8,83.9,5.4,-1.6,3.59,-0.1,9.8,0,941.2,270,0.3,1,0,0,0,0,0,0,0,288,100,36,97
VIS,2013,1,1,22,0.6,85.8,5.5,-1.5,3.66,-0.2,9.7,0,941.3,180,0.1,0.8,0,0,0,0,0,0,0,282,94,36,97
VIS,2013,1,1,23,0.3,87.5,5.5,-1.5,3.65,-0.4,9.4,0,941.6,297,0.3,1.1,0,0,0,0,0,0,0,286,100,36,97
VIS,2013,1,2,0,0.5,87.4,5.5,-1.3,3.65,-0.2,9.6,0,941.9,288,0.6,1.4,0,0,0,0,0,0,0,284,100,37,97
VIS,2013,1,2,1,0.6,86.6,5.5,-1.4,3.65,-0.2,9.7,0,942.6,279,0.7,2,0,0,0,0,0,0,0,281,100,37,97
VIS,2013,1,2,2,1.5,85.4,5.8,-0.7,3.85,0.6,11.1,0,943.4,305,1.3,3.1,0,0,0,0,0,0,0,277,88,37,97
VIS,2013,1,2,3,1.5,89,6.1,-0.1,4.05,0.8,11.6,0,943.8,72,1.3,2.4,0,0,0,0,0,0,0,273,94,37,97
VIS,2013,1,2,4,1.5,89.7,6.1,0,4.04,0.9,11.6,0,944.1,85,1.1,2.3,0,0,0,0,0,0,0,263,74,37,97
