station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
WAE,2023,1,1,0,6.2,75.3,7.4,2.1,4.82,4.4,18.3,0,961.9,270,0.5,1.6,0,0,0,0,0,0,0,292,0,26,97
WAE,2023,1,1,1,7.5,75.7,8.1,3.4,5.26,5.6,20.7,0,963.4,220,1,2.9,0,0,0,0,0,0,0,328,0,24,97
WAE,2023,1,1,2,8.3,76.3,8.5,4.3,5.54,6.4,22.3,0,964.5,198,1.1,3.4,0,0,0,0,0,0,0,337,0,24,97
WAE,2023,1,1,3,9,77.2,8.9,5.2,5.82,7.2,23.7,0,965.7,238,1.2,4,0,0,0,0,0,0,0,317,0,24,97
WAE,2023,1,1,4,9.4,77.6,9.2,5.7,5.96,7.6,24.5,0,966.4,247,1.5,5,0,0,0,0,0,0,0,294,0,24,97
WAE,2023,1,1,5,9.3,77.9,9.1,5.6,5.91,7.4,24.2,0,966.6,180,2.3,4.4,0,0,0,0,0,0,0,276,0,24,97
WAE,2023,1,1,6,9,78.6,9,5.4,5.86,7.2,23.8,0,966.8,180,1.2,3.5,0,0,0,0,0,0,0,274,0,24,97
WAE,2023,1,1,7,8.7,80.2,9,5.5,5.87,7.1,23.5,0,967,196,1,3.3,0,0,0,0,0,0,0,303,0,24,97
WAE,2023,1,1,8,8.3,83.2,9.1,5.6,5.91,7,23.2,0,967.4,207,0.7,2.8,27,175,14,9,143,127,8,317,8,24,97
WAE,2023,1,1,9,9.3,80.2,9.4,6.1,6.1,7.7,24.7,0,967.5,207,0.7,2,142,576,46,30,412,487,30,338,0,24,97
WAE,2023,1,1,10,10.1,77.2,9.5,6.3,6.17,8.1,25.7,0,967.6,135,0.5,1.8,250,745,56,42,402,715,43,332,23,24,97
WAE,2023,1,1,11,12.3,69,9.9,6.8,6.43,9.4,28.6,0,967,194,0.7,2.3,326,745,89,59,275,797,60,329,39,24,97
WAE,2023,1,1,12,12.1,69.6,9.8,6.7,6.37,9.3,28.2,0,966.4,315,0.5,1.3,327,723,84,58,96,786,112,335,25,24,97
WAE,2023,1,1,13,13.9,61.9,9.8,6.7,6.38,10.1,30.1,0,965.7,194,0.6,1.5,335,783,92,59,59,830,321,309,29,24,97
WAE,2023,1,1,14,13.5,65.7,10.2,7.2,6.64,10.1,30.3,0,965.3,127,0.6,1.3,255,759,68,45,45,726,447,278,29,24,97
WAE,2023,1,1,15,13.6,60,9.3,6,6.05,9.6,29,0,965.2,171,1.4,2.5,109,390,44,29,29,338,290,290,33,24,97
WAE,2023,1,1,16,11,69.7,9.2,5.7,5.98,8.3,26.1,0,965.4,300,0.8,1.6,4,0,4,3,3,3,3,312,33,24,97
WAE,2023,1,1,17,9.9,73.4,9,5.4,5.85,7.6,24.7,0,965.3,240,0.8,2.6,0,0,0,0,0,0,0,330,6,24,97
WAE,2023,1,1,18,9.6,77.3,9.2,5.8,5.99,7.7,24.7,0,965,252,0.7,2,0,0,0,0,0,0,0,340,19,24,97
WAE,2023,1,1,19,10.2,74.5,9.2,5.9,5.99,8,25.3,0,965.2,300,1.1,2.8,0,0,0,0,0,0,0,338,25,24,97
WAE,2023,1,1,20,10.1,75.6,9.4,6,6.12,8,25.6,0,965.1,143,0.8,2,0,0,0,0,0,0,0,338,25,24,97
WAE,2023,1,1,21,9.6,76,9.1,5.6,5.92,7.6,24.6,0,964.9,193,1.4,3.3,0,0,0,0,0,0,0,333,33,24,97
WAE,2023,1,1,22,8.6,78.7,8.8,5.1,5.73,6.9,23,0,964.6,166,0.8,1.9,0,0,0,0,0,0,0,321,38,24,97
WAE,2023,1,1,23,7.9,82,8.7,5,5.66,6.5,22.2,0,964.4,243,0.6,1.6,0,0,0,0,0,0,0,336,50,24,97
WAE,2023,1,2,0,8.5,79.2,8.8,5.1,5.73,6.8,22.9,0,964.4,301,0.9,2.3,0,0,0,0,0,0,0,327,59,24,97
WAE,2023,1,2,1,9.3,75.3,8.8,5.2,5.73,7.3,23.8,0,964.2,252,1.5,5,0,0,0,0,0,0,0,320,69,26,97
WAE,2023,1,2,2,9,76.6,8.8,5.1,5.73,7.1,23.5,0,964.1,229,2.8,5,0,0,0,0,0,0,0,304,56,26,97
WAE,2023,1,2,3,7.5,81.9,8.5,4.6,5.53,6.1,21.4,0,963.7,198,1,2.6,0,0,0,0,0,0,0,304,51,26,97
WAE,2023,1,2,4,7.5,81.4,8.4,4.5,5.47,6,21.3,0,963.4,270,0.6,2.3,0,0,0,0,0,0,0,324,84,26,97
WAE,2023,1,2,5,8.3,74.1,8.1,4,5.27,6.2,21.6,0,963.4,259,0.7,2.1,0,0,0,0,0,0,0,307,51,26,97
WAE,2023,1,2,6,8.1,71.2,7.7,3.2,5.01,5.8,20.7,0,963.5,239,0.7,2.6,0,0,0,0,0,0,0,297,36,26,97
WAE,2023,1,2,7,8.1,72.4,7.8,3.4,5.08,5.9,20.9,0,963.7,236,1.1,2.7,0,0,0,0,0,0,0,301,46,26,97
WAE,2023,1,2,8,8.6,71.8,8,3.8,5.2,6.3,21.7,0,964.2,225,0.7,2.2,17,101,8,5,82,75,5,335,100,26,97
WAE,2023,1,2,9,9.2,71.9,8.3,4.4,5.4,6.8,22.8,0,964.7,225,1,3,84,87,70,43,103,112,41,333,94,26,97
WAE,2023,1,2,10,9.9,72,8.8,5.1,5.72,7.5,24.4,0,965.3,104,0.5,1.9,131,69,113,69,104,132,67,341,100,26,97
WAE,2023,1,2,11,10.8,70,9,5.6,5.85,8.1,25.6,0,965.2,252,0.7,1.6,188,192,127,76,143,272,74,344,100,26,97
WAE,2023,1,2,12,12.8,60.5,8.9,5.4,5.79,9,27.5,0,965.4,229,1,2.5,211,209,141,85,104,302,105,342,94,26,97
WAE,2023,1,2,13,13.7,50.3,7.9,3.6,5.13,8.6,26.7,0,965.8,243,1.2,3.1,229,384,112,74,73,443,212,339,84,26,97
WAE,2023,1,2,14,13.5,50.1,7.7,3.3,5,8.4,26.2,0,965.9,180,0.9,3.3,122,86,98,60,60,140,103,347,100,26,97
