station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
WINSTA,2011,1,1,0,6.2,79.2,7.6,2.7,4.93,4.5,18.6,0,969.2,317,1.6,2.4,0,0,0,0,0,0,0,246,100,48,97
WINSTA,2011,1,1,1,4.8,81,7.1,1.7,4.57,3.4,16.3,0,969.1,315,1.1,1.9,0,0,0,0,0,0,0,245,100,48,97
WINSTA,2011,1,1,2,4,81.8,6.7,1.1,4.35,2.7,15,0,969,360,0.5,0.9,0,0,0,0,0,0,0,245,100,48,97
WINSTA,2011,1,1,3,3.1,83.1,6.3,0.4,4.1,1.9,13.3,0,968.9,90,0.3,0.7,0,0,0,0,0,0,0,245,100,48,97
WINSTA,2011,1,1,4,2.5,84.1,6.2,0.1,3.99,1.5,12.5,0,968.7,56,0.7,1.5,0,0,0,0,0,0,0,249,100,48,97
WINSTA,2011,1,1,5,2.6,83.6,6.1,0.1,3.97,1.5,12.5,0,968.8,270,0.6,1.3,0,0,0,0,0,0,0,244,100,48,97
WINSTA,2011,1,1,6,2.5,83.2,6.1,0,3.94,1.5,12.4,0,968.9,225,1.3,2.4,0,0,0,0,0,0,0,245,100,48,97
WINSTA,2011,1,1,7,2.5,81.8,6,-0.3,3.87,1.4,12.2,0,969,225,1.3,2.8,20,77,15,11,71,64,11,246,81,48,97
WINSTA,2011,1,1,8,2.5,80.5,5.9,-0.5,3.81,1.3,12,0,969.1,250,1.2,2.5,109,218,74,57,207,234,57,248,81,48,97
WINSTA,2011,1,1,9,2.4,81.1,5.9,-0.5,3.81,1.2,11.9,0,969.2,253,1.3,2.6,182,224,125,95,215,309,95,252,0,48,97
WINSTA,2011,1,1,10,2.4,81.1,5.9,-0.5,3.81,1.2,11.9,0,968.8,242,1.9,3.2,230,236,156,119,200,365,119,261,0,48,97
WINSTA,2011,1,1,11,2.3,84.7,6.1,0,3.94,1.4,12.2,0,968.2,227,1.8,3.2,236,207,168,127,145,349,149,266,0,48,97
WINSTA,2011,1,1,12,2.4,81.1,5.9,-0.5,3.82,1.2,12,0,967.7,243,2,5,217,206,154,116,116,329,195,264,6,48,97
WINSTA,2011,1,1,13,2.4,78.8,5.7,-0.9,3.69,1.1,11.6,0,967.2,236,3.1,5.4,164,190,117,89,89,267,197,264,38,48,97
WINSTA,2011,1,1,14,2.5,78.2,5.7,-0.9,3.69,1.1,11.7,0,967.2,234,2.6,4.5,87,165,64,49,48,177,167,265,100,48,97
WINSTA,2011,1,1,15,2.6,77.7,5.7,-0.9,3.69,1.2,11.8,0,967.5,225,2.3,4.2,8,28,6,5,5,24,27,261,94,48,97
WINSTA,2011,1,1,16,2.4,81.1,5.9,-0.5,3.81,1.2,11.9,0,967.9,329,2.4,4.4,0,0,0,0,0,0,0,270,100,48,97
WINSTA,2011,1,1,17,2.1,78.7,5.6,-1.2,3.62,0.8,11.2,0,967.8,323,2.1,3.9,0,0,0,0,0,0,0,265,100,48,97
WINSTA,2011,1,1,18,2.2,74.2,5.3,-1.9,3.42,0.6,10.8,0,967.9,288,2,3.5,0,0,0,0,0,0,0,268,100,48,97
WINSTA,2011,1,1,19,1.7,82.8,5.7,-0.9,3.68,0.7,10.9,0,968.2,317,2.2,4.6,0,0,0,0,0,0,0,270,100,48,97
WINSTA,2011,1,1,20,1.4,84.6,5.7,-0.9,3.68,0.5,10.6,0,967.9,331,2.3,4.4,0,0,0,0,0,0,0,265,100,48,97
WINSTA,2011,1,1,21,1.3,83.4,5.6,-1.2,3.62,0.3,10.3,0,967.8,324,1.9,2.8,0,0,0,0,0,0,0,265,100,48,97
WINSTA,2011,1,1,22,1.5,81,5.5,-1.4,3.56,0.4,10.4,0,967.4,330,1.5,3,0,0,0,0,0,0,0,265,100,48,97
WINSTA,2011,1,1,23,1.6,80.4,5.5,-1.4,3.56,0.4,10.5,0,967.1,18,1.1,2.6,0,0,0,0,0,0,0,265,100,48,97
