station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
WYN,2013,1,1,0,1.8,95.7,6.9,1.2,4.45,1.5,12.9,0,967.1,240,0.8,2.2,0,0,0,0,0,0,0,279,88,29,97
WYN,2013,1,1,1,0.6,94.9,6.2,-0.1,4.04,0.4,10.7,0,965.6,232,1.2,2.6,0,0,0,0,0,0,0,287,100,29,97
WYN,2013,1,1,2,0,94.2,5.8,-0.8,3.79,-0.3,9.4,0,964.5,228,1.4,2.7,0,0,0,0,0,0,0,289,100,29,97
WYN,2013,1,1,3,-0.6,93.5,5.5,-1.5,3.57,-0.9,8.3,0,963.4,243,0.5,1.5,0,0,0,0,0,0,0,292,100,29,97
WYN,2013,1,1,4,-0.8,92.8,5.3,-1.8,3.47,-1.2,7.8,0,962.7,225,0.5,1.7,0,0,0,0,0,0,0,294,100,29,97
WYN,2013,1,1,5,-0.6,92.7,5.4,-1.6,3.52,-1,8.2,0,962.6,225,0.9,1.7,0,0,0,0,0,0,0,296,100,29,97
WYN,2013,1,1,6,-0.4,92.5,5.5,-1.4,3.57,-0.8,8.5,0,962.4,230,0.9,1.6,0,0,0,0,0,0,0,299,100,29,97
WYN,2013,1,1,7,0,91.8,5.6,-1.1,3.65,-0.5,9.1,0,962.5,254,0.7,1.7,1,0,1,1,1,1,1,300,100,29,97
WYN,2013,1,1,8,0.2,91.6,5.7,-1,3.71,-0.3,9.4,0,962.5,219,0.7,3,56,39,48,30,56,63,30,306,100,29,97
WYN,2013,1,1,9,1.1,88.1,5.8,-0.6,3.77,0.4,10.5,0,962.7,257,1.4,3.3,31,0,31,20,20,19,20,312,100,29,97
WYN,2013,1,1,10,4,77,6.3,0.3,4.1,2.4,14.3,0,962.3,224,2.8,6.9,160,90,131,81,111,174,81,316,94,29,97
WYN,2013,1,1,11,5.8,80.8,7.5,2.8,4.89,4.4,18.1,0.1,962.3,229,4.9,12,129,91,99,61,73,157,62,317,88,29,97
WYN,2013,1,1,12,6.3,82.5,7.9,3.5,5.15,5,19.3,0.2,962.5,238,5.2,12.2,39,0,39,24,24,24,24,321,100,29,97
