station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
ZUESTA,2013,1,1,0,5.7,75.1,7.1,1.5,4.59,3.7,17.2,0,968.2,135,0.2,0.9,0,0,0,0,0,0,0,279,80,26,96
ZUESTA,2013,1,1,1,3.7,77.5,6.4,0.1,4.12,2.1,14.1,0,966.7,270,0.3,0.9,0,0,0,0,0,0,0,290,88,26,96
ZUESTA,2013,1,1,2,2.5,79.4,5.9,-0.8,3.83,1.1,12.1,0,965.7,104,0.5,1.3,0,0,0,0,0,0,0,291,100,26,96
ZUESTA,2013,1,1,3,1.4,80.5,5.5,-1.6,3.55,0.2,10.2,0,964.5,90,0.5,1.4,0,0,0,0,0,0,0,293,100,26,96
ZUESTA,2013,1,1,4,0.9,81.1,5.3,-2,3.41,-0.3,9.4,0,963.8,90,0.4,1,0,0,0,0,0,0,0,294,100,26,96
ZUESTA,2013,1,1,5,1.5,78.4,5.3,-1.9,3.45,0.2,10.1,0,963.6,90,0.4,1.1,0,0,0,0,0,0,0,295,100,26,96
ZUESTA,2013,1,1,6,2.1,76.5,5.4,-1.7,3.51,0.6,10.9,0,963.5,101,0.5,1.3,0,0,0,0,0,0,0,297,100,26,96
ZUESTA,2013,1,1,7,3.5,69.8,5.4,-1.6,3.52,1.5,12.3,0,963.5,238,2.2,6.3,1,0,1,1,1,1,1,301,100,26,96
ZUESTA,2013,1,1,8,5.4,61.5,5.5,-1.4,3.57,2.6,14.4,0,963.6,245,4.3,7.6,26,0,26,16,16,16,16,308,100,26,96
ZUESTA,2013,1,1,9,6.4,55.3,5.3,-1.9,3.44,3,15.1,0,963.8,242,2.6,5.8,65,4,64,39,40,43,39,313,100,26,96
ZUESTA,2013,1,1,10,7,55,5.5,-1.4,3.57,3.5,16,0,963.7,239,2.7,6.9,75,19,69,42,49,61,42,318,100,26,96
ZUESTA,2013,1,1,11,7.2,59.3,6,-0.2,3.9,4,17,0,963.6,236,2.6,7.3,29,0,29,18,17,18,18,321,100,26,96
ZUESTA,2013,1,1,12,7.5,60.7,6.3,0.4,4.09,4.4,17.8,0,963.6,212,1.9,5.4,44,4,43,26,25,30,27,324,100,26,96
ZUESTA,2013,1,1,13,7.4,70,7.2,2.3,4.68,5.1,19.2,0.1,964.1,219,2.5,8.5,11,0,11,7,7,7,7,324,100,26,96
ZUESTA,2013,1,1,14,6.9,77.3,7.7,3.2,5,5.2,19.5,0.4,964.7,219,2.9,6.6,6,0,6,3,3,3,3,324,100,26,96
ZUESTA,2013,1,1,15,6.6,81.1,7.9,3.6,5.13,5.2,19.5,0.7,965,224,2.8,7,1,0,1,0,0,0,0,324,100,26,96
ZUESTA,2013,1,1,16,6.5,79.4,7.7,3.2,5,5,19.1,0.8,965,211,2.6,6.2,0,0,0,0,0,0,0,324,100,26,96
ZUESTA,2013,1,1,17,6.5,79.4,7.7,3.2,5,5,19.1,0.5,965.2,229,2.2,4.7,0,0,0,0,0,0,0,324,100,26,96
ZUESTA,2013,1,1,18,6.4,81.1,7.8,3.4,5.07,5,19.1,0.2,965.6,228,2.6,6.2,0,0,0,0,0,0,0,323,100,26,96
ZUESTA,2013,1,1,19,6.7,80.6,7.9,3.6,5.13,5.2,19.6,0.5,966,192,2,5.3,0,0,0,0,0,0,0,321,94,26,96
ZUESTA,2013,1,1,20,6.5,79.4,7.7,3.2,5,5,19.1,0.1,966.2,213,2.4,8.7,0,0,0,0,0,0,0,323,100,26,96
